gene	node_type
DOHH	gene
DHPS	gene
EIF5A2	PPI
EIF5A	PPI
UBC	PPI
MAPK3	PPI
EIF5AL1	PPI
E2F4	PPI
MAPK1	PPI
PSMD14	PPI
NUDT18	PPI
NIF3L1	PPI
RPL9	PPI
BRCA1	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
SUMO4	PPI
BAG3	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA2	PPI
CNBP	PPI
ZCCHC13	PPI
HSPA4L	PPI
CDK9	PPI
HSPH1	PPI
PSMD2	PPI
SRRM2	PPI
DHX38	PPI
UBE2H	PPI
RBL2	PPI
CSNK1D	PPI
TCEA2	PPI
TCEA1	PPI
GSK3A	PPI
GSK3B	PPI
CDC45	PPI
ADA	PPI
CARNMT1	PPI
RTF1	PPI
KPNA1	PPI
AP2B1	PPI
AP1B1	PPI
KPNA5	PPI
MED31	PPI
ARF1	PPI
XPO1	PPI
RCC1	PPI
CSE1L	PPI
ARF6	PPI
VASH1	PPI
DNAJB4	PPI
DNAJB5	PPI
TAF1	PPI
DNAJB1	PPI
HSPA1L	PPI
DNAJB13	PPI
PRELID3A	PPI
ZNF138	PPI
PTPRH	PPI
RAB27B	PPI
TMEM165	PPI
PCYT1B	PPI
ASL	PPI
PYCR1	PPI
HSPA4	PPI
PCYT1A	PPI
HSD17B7	PPI
PPID	PPI
PYCRL	PPI
PYCR2	PPI
TIRAP	PPI
CDK17	PPI
REL	PPI
SUSD4	PPI
WDYHV1	PPI
SPHK1	PPI
KCNAB3	PPI
SLC25A31	PPI
OLA1	PPI
TUBA8	PPI
COPG2	PPI
RUVBL2	PPI
RUVBL1	PPI
COPG1	PPI
TUBAL3	PPI
ARPC2	PPI
PMM2	PPI
IDH3B	PPI
ACSL4	PPI
DNAJA2	PPI
CS	PPI
EIF3G	PPI
ALDH1A2	PPI
GFPT2	PPI
ACSL3	PPI
ALDH1A1	PPI
GAPDH	PPI
ALDH2	PPI
SLC25A5	PPI
BPGM	PPI
HSP90AA1	PPI
GALT	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
ENO2	PPI
HSPD1	PPI
HSPA5	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
ENO3	PPI
IDE	PPI
PGAM2	PPI
ATP6V1B1	PPI
PFKL	PPI
TCP1	PPI
PGAM1	PPI
ATP6V1B2	PPI
ME2	PPI
ATP5A1	PPI
PSMA3	PPI
DDX6	PPI
EEF1G	PPI
CAD	PPI
PDHA2	PPI
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
RRM2	PPI
DNAJA1	PPI
STIP1	PPI
COPB2	PPI
DLST	PPI
HSPA9	PPI
CCT6A	PPI
PSMC4	PPI
NSF	PPI
ALDH1A3	PPI
ARCN1	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
IDH3G	PPI
COPB1	PPI
COPA	PPI
CLTCL1	PPI
VCP	PPI
ACTB	PPI
ACTR2	PPI
PSMC5	PPI
YWHAE	PPI
PSMC6	PPI
ACTA2	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
CCT2	PPI
MAT1A	PPI
CLTC	PPI
GALK2	PPI
PFKP	PPI
GFPT1	PPI
ACACA	PPI
EIF3I	PPI
TUBA3C	PPI
PSMD6	PPI
WDR43	PPI
NOM1	PPI
TUBA3E	PPI
TUBA1A	PPI
RRM2B	PPI
PGAM4	PPI
DNAJA4	PPI
CCT6B	PPI
PMM1	PPI
DNAJA3	PPI
CCT7	PPI
BYSL	PPI
XPO4	PPI
IGF2BP1	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
GHR	PPI
IRF1	PPI
LAMC1	PPI
MYH3	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
PC	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
PSKH1	PPI
CDK4	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
