V1	V2
PYCR1	HSPA1L
PYCR1	HSPA4
PYCR1	BMI1
PYCR1	GCK
PYCR1	COPB2
PYCR1	FUS
PYCR1	HSPA9
PYCR1	CCT6A
PYCR1	EIF2S3
PYCR1	PSMC4
PYCR1	NSF
PYCR1	ALDH1A3
PYCR1	ARCN1
PYCR1	PCYT1A
PYCR1	EIF2B2
PYCR1	IDH3A
PYCR1	CCT8
PYCR1	CCT4
PYCR1	DAP3
PYCR1	IDH3G
PYCR1	KPNA1
PYCR1	NUP98
PYCR1	COPB1
PYCR1	COPA
PYCR1	HSPA2
PYCR1	VCP
PYCR1	NAP1L1
PYCR1	HNRNPH2
PYCR1	HSD17B7
PYCR1	ACTB
PYCR1	MAX
PYCR1	SUMO2
PYCR1	CALM1
PYCR1	PSMC5
PYCR1	YWHAE
PYCR1	CNBP
PYCR1	ACTA2
PYCR1	ACTG1
PYCR1	ACTG2
PYCR1	ACTC1
PYCR1	EEF1A1
PYCR1	ACTA1
PYCR1	TUBA1B
PYCR1	TUBA4A
PYCR1	TUBB4B
PYCR1	CCT2
PYCR1	DAB2
PYCR1	MAT1A
PYCR1	MDM2
PYCR1	GALK2
PYCR1	PFKP
PYCR1	EEF1A2
PYCR1	GFPT1
PYCR1	PPID
PYCR1	CDC16
PYCR1	EIF2B5
PYCR1	PSMD2
PYCR1	EIF3I
PYCR1	TUBB3
PYCR1	CUL3
PYCR1	TUBA3C
PYCR1	TUBB2A
PYCR1	HNRNPD
PYCR1	EIF2B1
PYCR1	MDC1
PYCR1	USP10
PYCR1	KPNB1
PYCR1	FASTKD3
PYCR1	PSMD6
PYCR1	SUZ12
PYCR1	NEDD8
PYCR1	TUBB8
PYCR1	PYCRL
PYCR1	CEP78
PYCR1	LRRK2
PYCR1	CEP162
PYCR1	ARMC6
PYCR1	TUBA3E
PYCR1	KLHDC10
PYCR1	TUBA1A
PYCR1	RRM2B
PYCR1	BNIPL
PYCR1	LCA5
PYCR1	PGAM4
PYCR1	DDX55
PYCR1	CALML6
PYCR1	DNAJA4
PYCR1	ZCCHC13
PYCR1	CCT6B
PYCR1	HSPH1
PYCR1	KAT5
PYCR1	PYCR2
PYCR1	DNAJA3
PYCR1	MMS19
PYCR1	RNF2
PYCR1	PARK7
PYCR1	NAP1L4
PYCR1	CCT7
PYCR1	DOHH
PYCR1	TUBB6
PYCR1	TUBB2B
PYCR1	SLC25A31
PYCR1	TUBB1
PYCR1	TMEM165
PYCR1	EIF2B3
PYCR1	CTPS2
PYCR1	TUBA8
PYCR1	CALML5
PYCR1	COPG2
PYCR1	NXF1
PYCR1	EIF2B4
PYCR1	CDC23
PYCR1	NUDT5
PYCR1	NAP1L2
PYCR1	RUVBL2
PYCR1	RUVBL1
PYCR1	PCYT1B
PYCR1	ATP6V1D
PYCR1	COPG1
PYCR1	SIRT4
PYCR1	TUBAL3
PYCR1	ATOX1
PYCR1	PSMD14
PYCR1	KPNA5
PYCR1	XPOT
PYCR1	NUDT21
PYCR1	IDH3B
PYCR1	ACSL4
PYCR1	DNAJA2
PYCR1	CS
PYCR1	EIF3G
PYCR1	CDK2AP2
PYCR1	ALDH1A2
PYCR1	GFPT2
PYCR1	IPO7
PYCR1	ACSL3
PYCR1	HSPA4L
PYCR1	BAG3
PYCR1	ALDH1A1
PYCR1	MYC
PYCR1	TUBB4A
PYCR1	GAPDH
PYCR1	ASL
PYCR1	NTRK1
PYCR1	ALDH2
PYCR1	SLC25A5
PYCR1	JUN
PYCR1	TUBB
PYCR1	BPGM
PYCR1	HSP90AA1
PYCR1	GALT
PYCR1	PFKM
PYCR1	HSP90AB1
PYCR1	PDHA1
PYCR1	ENO2
PYCR1	UBC
PYCR1	HSPA1A
PYCR1	HSPA1B
PYCR1	HSPD1
PYCR1	HSPA5
PYCR1	HSPA8
PYCR1	SLC25A4
PYCR1	SLC25A6
PYCR1	ITGA4
PYCR1	EEF2
PYCR1	ENO3
PYCR1	PGAM2
PYCR1	ATP6V1B1
PYCR1	HSPA6
PYCR1	CTPS1
PYCR1	PFKL
PYCR1	TCP1
PYCR1	PGAM1
PYCR1	VCAM1
PYCR1	HK1
PYCR1	EIF2S2
PYCR1	ATP6V1B2
PYCR1	GART
PYCR1	ME2
PYCR1	AHCY
PYCR1	ATP5A1
PYCR1	PSMA3
PYCR1	DDX6
PYCR1	EEF1G
PYCR1	CALML3
PYCR1	CAD
PYCR1	PDHA2
PYCR1	ALDH1B1
PYCR1	POLR2B
PYCR1	MAT2A
PYCR1	RRM2
PYCR1	DNAJA1
PYCR1	STIP1
PYCR2	DNAJA3
PYCR2	CIC
PYCR2	MMS19
PYCR2	NAP1L4
PYCR2	CCT7
PYCR2	DOHH
PYCR2	TUBB6
PYCR2	TUBB2B
PYCR2	SLC25A31
PYCR2	TUBB1
PYCR2	RC3H2
PYCR2	TMEM165
PYCR2	EIF2B3
PYCR2	CTPS2
PYCR2	CUTC
PYCR2	TUBA8
PYCR2	CALML5
PYCR2	WRAP73
PYCR2	COPG2
PYCR2	NXF1
PYCR2	EIF2B4
PYCR2	FKBPL
PYCR2	CDC23
PYCR2	ANAPC2
PYCR2	KCND3
PYCR2	NUDT5
PYCR2	NAP1L2
PYCR2	RUVBL2
PYCR2	RUVBL1
PYCR2	MRPL11
PYCR2	MRPS16
PYCR2	PCYT1B
PYCR2	ATP6V1D
PYCR2	COPG1
PYCR2	SIRT4
PYCR2	TUBAL3
PYCR2	MYO1F
PYCR2	ATOX1
PYCR2	PSMD14
PYCR2	KPNA5
PYCR2	XPOT
PYCR2	IDH3B
PYCR2	ACSL4
PYCR2	DNAJA2
PYCR2	CS
PYCR2	EED
PYCR2	EIF3G
PYCR2	ALDH1A2
PYCR2	GFPT2
PYCR2	IPO7
PYCR2	ACSL3
PYCR2	HSPA4L
PYCR2	ALDH1A1
PYCR2	EGFR
PYCR2	MYC
PYCR2	TUBB4A
PYCR2	GAPDH
PYCR2	ASL
PYCR2	NTRK1
PYCR2	APP
PYCR2	ALDH2
PYCR2	SLC25A5
PYCR2	TUBB
PYCR2	BPGM
PYCR2	HSP90AA1
PYCR2	GALT
PYCR2	PFKM
PYCR2	HSP90AB1
PYCR2	PDHA1
PYCR2	ENO2
PYCR2	UBC
PYCR2	HSPA1A
PYCR2	HSPA1B
PYCR2	AR
PYCR2	HSPD1
PYCR2	HSPA5
PYCR2	HSPA8
PYCR2	SLC25A4
PYCR2	SLC25A6
PYCR2	SKIL
PYCR2	EEF2
PYCR2	ENO3
PYCR2	PGAM2
PYCR2	ATP6V1B1
PYCR2	HSPA6
PYCR2	CTPS1
PYCR2	PFKL
PYCR2	TCP1
PYCR2	PGAM1
PYCR2	VCAM1
PYCR2	HK1
PYCR2	EIF2S2
PYCR2	ATP6V1B2
PYCR2	TAF1
PYCR2	GART
PYCR2	ME2
PYCR2	MCC
PYCR2	AHCY
PYCR2	ATP5A1
PYCR2	PSMA3
PYCR2	DDX6
PYCR2	EEF1G
PYCR2	MAPK3
PYCR2	CALML3
PYCR2	CAD
PYCR2	MAPK1
PYCR2	PDHA2
PYCR2	ALDH1B1
PYCR2	POLR2B
PYCR2	MAT2A
PYCR2	RRM2
PYCR2	DNAJA1
PYCR2	STIP1
PYCR2	PRDX2
PYCR2	PYCR1
PYCR2	HSPA1L
PYCR2	HSPA4
PYCR2	NF2
PYCR2	GCK
PYCR2	COPB2
PYCR2	HSPA9
PYCR2	CCT6A
PYCR2	EIF2S3
PYCR2	PSMC4
PYCR2	NSF
PYCR2	ALDH1A3
PYCR2	ARCN1
PYCR2	CSNK1D
PYCR2	PCYT1A
PYCR2	CEBPA
PYCR2	EIF2B2
PYCR2	IDH3A
PYCR2	CCT8
PYCR2	CCT4
PYCR2	IDH3G
PYCR2	KPNA1
PYCR2	HMGA2
PYCR2	COPB1
PYCR2	COPA
PYCR2	HSPA2
PYCR2	VCP
PYCR2	NAP1L1
PYCR2	HSD17B7
PYCR2	ACTB
PYCR2	MAX
PYCR2	SUMO2
PYCR2	YWHAG
PYCR2	CALM1
PYCR2	PSMC5
PYCR2	YWHAE
PYCR2	CNBP
PYCR2	ACTA2
PYCR2	ACTG1
PYCR2	ACTG2
PYCR2	ACTC1
PYCR2	EEF1A1
PYCR2	ACTA1
PYCR2	TUBA1B
PYCR2	TUBA4A
PYCR2	TUBB4B
PYCR2	CCT2
PYCR2	MAT1A
PYCR2	MDM2
PYCR2	GALK2
PYCR2	PFKP
PYCR2	RELA
PYCR2	YWHAH
PYCR2	EEF1A2
PYCR2	GFPT1
PYCR2	PPID
PYCR2	CDC16
PYCR2	EIF2B5
PYCR2	PRDX4
PYCR2	PSMD2
PYCR2	EIF3I
PYCR2	TUBB3
PYCR2	CUL3
PYCR2	TUBA3C
PYCR2	TUBB2A
PYCR2	ICT1
PYCR2	EIF2B1
PYCR2	MDC1
PYCR2	USP10
PYCR2	KPNB1
PYCR2	FASTKD3
PYCR2	PSMD6
PYCR2	PDK1
PYCR2	TERF2
PYCR2	TUBB8
PYCR2	PYCRL
PYCR2	CEP85L
PYCR2	CEP162
PYCR2	RC3H1
PYCR2	TUBA3E
PYCR2	TUBA1A
PYCR2	RRM2B
PYCR2	AHNAK2
PYCR2	SKA3
PYCR2	PGAM4
PYCR2	DDX55
PYCR2	NPLOC4
PYCR2	CALML6
PYCR2	DNAJA4
PYCR2	ZCCHC13
PYCR2	CCT6B
PYCR2	HSPH1
PYCR2	MYO18A
PYCR2	KAT5
PYCR2	SKA1
PYCRL	TUBA3E
PYCRL	TUBA1A
PYCRL	RRM2B
PYCRL	ULK2
PYCRL	PGAM4
PYCRL	DDX55
PYCRL	CALML6
PYCRL	DNAJA4
PYCRL	ZCCHC13
PYCRL	DGCR8
PYCRL	CCT6B
PYCRL	HSPH1
PYCRL	KAT5
PYCRL	PYCR2
PYCRL	DNAJA3
PYCRL	PRMT6
PYCRL	UIMC1
PYCRL	MMS19
PYCRL	NAP1L4
PYCRL	CCT7
PYCRL	DOHH
PYCRL	TUBB6
PYCRL	TUBB2B
PYCRL	SLC25A31
PYCRL	TUBB1
PYCRL	TMEM165
PYCRL	EIF2B3
PYCRL	CTPS2
PYCRL	CUTC
PYCRL	BABAM1
PYCRL	TUBA8
PYCRL	CALML5
PYCRL	WRAP73
PYCRL	COPG2
PYCRL	NXF1
PYCRL	EIF2B4
PYCRL	NAP1L2
PYCRL	RUVBL2
PYCRL	RUVBL1
PYCRL	MRPL11
PYCRL	MRPS16
PYCRL	PCYT1B
PYCRL	ATP6V1D
PYCRL	SNX11
PYCRL	COPG1
PYCRL	TUBAL3
PYCRL	ATOX1
PYCRL	PSMD14
PYCRL	SDCBP
PYCRL	KPNA5
PYCRL	XPOT
PYCRL	IDH3B
PYCRL	ACSL4
PYCRL	DNAJA2
PYCRL	CS
PYCRL	EED
PYCRL	EIF3G
PYCRL	ALDH1A2
PYCRL	GFPT2
PYCRL	IPO7
PYCRL	ACSL3
PYCRL	HSPA4L
PYCRL	ALDH1A1
PYCRL	TUBB4A
PYCRL	GAPDH
PYCRL	ASL
PYCRL	TP53
PYCRL	ALDH2
PYCRL	SLC25A5
PYCRL	TUBB
PYCRL	BPGM
PYCRL	HSP90AA1
PYCRL	GALT
PYCRL	PFKM
PYCRL	HSP90AB1
PYCRL	PDHA1
PYCRL	ENO2
PYCRL	UBC
PYCRL	HSPA1A
PYCRL	HSPA1B
PYCRL	HSPD1
PYCRL	HSPA5
PYCRL	HSPA8
PYCRL	SLC25A4
PYCRL	SLC25A6
PYCRL	EEF2
PYCRL	ENO3
PYCRL	PGAM2
PYCRL	ATP6V1B1
PYCRL	HSPA6
PYCRL	CTPS1
PYCRL	PFKL
PYCRL	TCP1
PYCRL	LBP
PYCRL	PGAM1
PYCRL	HK1
PYCRL	EIF2S2
PYCRL	ATP6V1B2
PYCRL	PCMT1
PYCRL	GART
PYCRL	ME2
PYCRL	AHCY
PYCRL	ATP5A1
PYCRL	PSMA3
PYCRL	DDX6
PYCRL	EEF1G
PYCRL	MAPK3
PYCRL	CALML3
PYCRL	CAD
PYCRL	MAPK1
PYCRL	PDHA2
PYCRL	ALDH1B1
PYCRL	POLR2B
PYCRL	MAT2A
PYCRL	RRM2
PYCRL	DNAJA1
PYCRL	STIP1
PYCRL	PRDX2
PYCRL	PYCR1
PYCRL	HSPA1L
PYCRL	HSPA4
PYCRL	GCK
PYCRL	COPB2
PYCRL	FUS
PYCRL	HSPA9
PYCRL	CCT6A
PYCRL	EIF2S3
PYCRL	CDKN2B
PYCRL	PSMC4
PYCRL	NSF
PYCRL	ALDH1A3
PYCRL	ARCN1
PYCRL	CSNK1D
PYCRL	PCYT1A
PYCRL	CEBPA
PYCRL	EIF2B2
PYCRL	IDH3A
PYCRL	CCT8
PYCRL	CCT4
PYCRL	IDH3G
PYCRL	KPNA1
PYCRL	HMGA2
PYCRL	COPB1
PYCRL	COPA
PYCRL	HSPA2
PYCRL	VCP
PYCRL	NAP1L1
PYCRL	HSD17B7
PYCRL	ACTB
PYCRL	SUMO2
PYCRL	YWHAG
PYCRL	CALM1
PYCRL	PSMC5
PYCRL	YWHAE
PYCRL	CNBP
PYCRL	ACTA2
PYCRL	ACTG1
PYCRL	ACTG2
PYCRL	ACTC1
PYCRL	EEF1A1
PYCRL	ACTA1
PYCRL	TUBA1B
PYCRL	TUBA4A
PYCRL	TUBB4B
PYCRL	CCT2
PYCRL	MAT1A
PYCRL	GALK2
PYCRL	PFKP
PYCRL	YWHAH
PYCRL	EEF1A2
PYCRL	GFPT1
PYCRL	PPID
PYCRL	TP53BP1
PYCRL	EIF2B5
PYCRL	PRDX4
PYCRL	PSMD2
PYCRL	EIF3I
PYCRL	TUBB3
PYCRL	CUL3
PYCRL	TUBA3C
PYCRL	TUBB2A
PYCRL	EIF2B1
PYCRL	USP10
PYCRL	KPNB1
PYCRL	PSMD6
PYCRL	TUBB8
