gene	node_type
PYCR3	gene
PYCR1	gene
PYCR2	gene
PYCRL	gene
P5CR2	gene
UBC	PPI
PARK7	PPI
CALML6	PPI
CALML5	PPI
CALML3	PPI
CALM1	PPI
COPB2	PPI
FASTKD3	PPI
RC3H2	PPI
RC3H1	PPI
KAT5	PPI
PSMD14	PPI
TP53	PPI
SIRT4	PPI
CDKN2B	PPI
KCND3	PPI
LRRK2	PPI
WRAP73	PPI
CEBPA	PPI
SUMO2	PPI
DAB2	PPI
EIF2B2	PPI
MAPK3	PPI
MAPK1	PPI
HSPA2	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
YWHAG	PPI
YWHAH	PPI
DDX55	PPI
ICT1	PPI
HMGA2	PPI
HSPA1L	PPI
USP10	PPI
BAG3	PPI
EGFR	PPI
TERF2	PPI
NPLOC4	PPI
GAPDH	PPI
HSPA9	PPI
CNBP	PPI
TUBB4B	PPI
TUBB3	PPI
TUBB2A	PPI
TUBB8	PPI
ZCCHC13	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
TUBB4A	PPI
TUBB	PPI
HSPA1A	PPI
ATP6V1B1	PPI
ATP6V1B2	PPI
PRMT6	PPI
FUS	PPI
PSMD2	PPI
ITGA4	PPI
DGCR8	PPI
HNRNPD	PPI
ATOX1	PPI
VCAM1	PPI
NF2	PPI
CSNK1D	PPI
FKBPL	PPI
SKIL	PPI
RELA	PPI
KPNA1	PPI
MDC1	PPI
KPNB1	PPI
NEDD8	PPI
KPNA5	PPI
CIC	PPI
ULK2	PPI
UIMC1	PPI
BABAM1	PPI
BMI1	PPI
MDM2	PPI
SUZ12	PPI
NXF1	PPI
CDK2AP2	PPI
CUTC	PPI
NAP1L1	PPI
MAX	PPI
BNIPL	PPI
RNF2	PPI
NAP1L4	PPI
NAP1L2	PPI
NUDT21	PPI
MYC	PPI
NTRK1	PPI
JUN	PPI
EEF2	PPI
EED	PPI
TAF1	PPI
MCC	PPI
LBP	PPI
EEF1A1	PPI
EEF1A2	PPI
CUL3	PPI
CEP162	PPI
LCA5	PPI
MRPL11	PPI
MRPS16	PPI
PRDX2	PPI
PRDX4	PPI
HSPA4	PPI
HSD17B7	PPI
KLHDC10	PPI
HSPH1	PPI
DOHH	PPI
TMEM165	PPI
HSPA4L	PPI
APP	PPI
AHNAK2	PPI
SDCBP	PPI
GCK	PPI
CCT6A	PPI
EIF2S3	PPI
PSMC4	PPI
NSF	PPI
ALDH1A3	PPI
ARCN1	PPI
PCYT1A	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
IDH3G	PPI
COPB1	PPI
COPA	PPI
VCP	PPI
ACTB	PPI
PSMC5	PPI
YWHAE	PPI
ACTA2	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
CCT2	PPI
MAT1A	PPI
GALK2	PPI
PFKP	PPI
GFPT1	PPI
PPID	PPI
CDC16	PPI
EIF2B5	PPI
EIF3I	PPI
TUBA3C	PPI
EIF2B1	PPI
PSMD6	PPI
CEP78	PPI
ARMC6	PPI
TUBA3E	PPI
TUBA1A	PPI
RRM2B	PPI
PGAM4	PPI
DNAJA4	PPI
CCT6B	PPI
DNAJA3	PPI
MMS19	PPI
CCT7	PPI
SLC25A31	PPI
EIF2B3	PPI
CTPS2	PPI
TUBA8	PPI
COPG2	PPI
EIF2B4	PPI
NUDT5	PPI
RUVBL2	PPI
RUVBL1	PPI
PCYT1B	PPI
ATP6V1D	PPI
COPG1	PPI
TUBAL3	PPI
XPOT	PPI
IDH3B	PPI
ACSL4	PPI
DNAJA2	PPI
CS	PPI
EIF3G	PPI
ALDH1A2	PPI
GFPT2	PPI
IPO7	PPI
ACSL3	PPI
ALDH1A1	PPI
ASL	PPI
ALDH2	PPI
SLC25A5	PPI
BPGM	PPI
HSP90AA1	PPI
GALT	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
ENO2	PPI
HSPD1	PPI
HSPA5	PPI
SLC25A4	PPI
SLC25A6	PPI
ENO3	PPI
PGAM2	PPI
CTPS1	PPI
PFKL	PPI
TCP1	PPI
PGAM1	PPI
HK1	PPI
EIF2S2	PPI
GART	PPI
ME2	PPI
AHCY	PPI
ATP5A1	PPI
PSMA3	PPI
DDX6	PPI
EEF1G	PPI
CAD	PPI
PDHA2	PPI
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
RRM2	PPI
DNAJA1	PPI
STIP1	PPI
ANAPC2	PPI
MYO1F	PPI
PDK1	PPI
CEP85L	PPI
SKA3	PPI
MYO18A	PPI
SKA1	PPI
SNX11	PPI
PCMT1	PPI
DAP3	PPI
NUP98	PPI
HNRNPH2	PPI
CDC23	PPI
AR	PPI
TP53BP1	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
