gene1	gene	score
ALDH1A2	UBC	1
ALDH1A2	PSMD14	1
ALDH1A2	PRDX2	0.212
ALDH1A2	PRDX4	0.212
ALDH1A2	PRKAA2	0.185
ALDH1A2	PRKAR1A	0.179
ALDH1A2	PRKAR2A	0.179
ALDH1A2	PRKAR1B	0.179
ALDH1A2	PRKAR2B	0.178
ALDH1A2	HTRA2	0.177
ALDH1A2	NPEPPS	0.169
ALDH1A2	SUMO3	0.169
ALDH1A2	SUMO2	0.169
ALDH1A2	SUMO1	0.169
ALDH1A2	SUMO4	0.169
ALDH1A2	SRP54	0.168
ALDH1A2	CNBP	0.167
ALDH1A2	ZCCHC13	0.167
ALDH1A2	MYH1	0.166
ALDH1A2	MYH7	0.166
ALDH1A2	MYH8	0.166
ALDH1A2	MYH14	0.166
ALDH1A2	MYH13	0.166
ALDH1A2	MYH15	0.166
ALDH1A2	MYH4	0.166
ALDH1A2	MYH7B	0.166
ALDH1A2	MYH3	0.165
ALDH1A2	MYH10	0.165
ALDH1A2	MYH11	0.165
ALDH1A2	PGD	0.165
ALDH1A2	RPF2	0.165
ALDH1A2	MYH2	0.165
ALDH1A2	MYH9	0.164
ALDH1A2	PSMC3	0.157
ALDH1A2	PSMD2	0.157
ALDH1A2	TUBB4A	0.156
ALDH1A2	TUBB	0.156
ALDH1A2	PSMD4	0.156
ALDH1A2	TUBB4B	0.156
ALDH1A2	TUBB3	0.156
ALDH1A2	TUBB2A	0.156
ALDH1A2	TUBB8	0.156
ALDH1A2	TUBB6	0.156
ALDH1A2	TUBB2B	0.156
ALDH1A2	TUBB1	0.156
ALDH1A2	HSPA1A	0.155
ALDH1A2	HSPA1B	0.155
ALDH1A2	HSPA8	0.155
ALDH1A2	HSPA6	0.155
ALDH1A2	HSPA2	0.155
ALDH1A2	ENO2	0.152
ALDH1A2	ENO3	0.152
ALDH1A2	CBS	0.152
ALDH1A2	TNPO2	0.152
ALDH1A2	ALDH2	0.151
ALDH1A2	TPR	0.151
ALDH1A2	HSPA1L	0.151
ALDH1A2	CCT8	0.151
ALDH1A2	USP10	0.151
ALDH1A2	TNPO1	0.151
ALDH1A2	ACSS2	0.151
ALDH1A2	ACSS1	0.151
ALDH1A2	XPO1	0.151
ALDH1A2	GFPT2	0.15
ALDH1A2	HSPA4L	0.15
ALDH1A2	SLC25A5	0.15
ALDH1A2	BPGM	0.15
ALDH1A2	SLC25A4	0.15
ALDH1A2	SLC25A6	0.15
ALDH1A2	EEF2	0.15
ALDH1A2	PGAM2	0.15
ALDH1A2	PGAM1	0.15
ALDH1A2	DNAJB1	0.15
ALDH1A2	CAD	0.15
ALDH1A2	MAT2A	0.15
ALDH1A2	DNAJA1	0.15
ALDH1A2	CSNK1A1	0.15
ALDH1A2	IDH3A	0.15
ALDH1A2	DNAJB13	0.15
ALDH1A2	EIF4A1	0.15
ALDH1A2	RAN	0.15
ALDH1A2	EEF1A1	0.15
ALDH1A2	TUBA1B	0.15
ALDH1A2	TUBA4A	0.15
ALDH1A2	CCT2	0.15
ALDH1A2	MAT1A	0.15
ALDH1A2	EEF1A2	0.15
ALDH1A2	GFPT1	0.15
ALDH1A2	TUBA3C	0.15
ALDH1A2	EIF4A2	0.15
ALDH1A2	TUBA3E	0.15
ALDH1A2	PGAM4	0.15
ALDH1A2	IPO4	0.15
ALDH1A2	DNAJA4	0.15
ALDH1A2	HSPH1	0.15
ALDH1A2	SLC25A31	0.15
ALDH1A2	TUBA8	0.15
ALDH1A2	DNAJB4	0.15
ALDH1A2	RUVBL2	0.15
ALDH1A2	GMPPB	0.15
ALDH1A2	DNAJA2	0.15
ALDH1A2	CLUH	0.15
ALDH1A2	DNAJB5	0.15
ALDH1A2	CSNK1D	0.149
ALDH1A2	CSNK1E	0.149
ALDH1A2	TUBA1A	0.149
ALDH1A2	LSM1	0.148
ALDH1A2	BTRC	0.147
ALDH1A2	UBE2D4	0.147
SDR16C5	EXTL1	0.147
ALDH1A2	ATP6V0D2	0.146
ALDH1A2	ATP6V0B	0.146
ALDH1A2	ATP6V0D1	0.145
SDR16C5	NLK	0.145
SDR16C5	UBC	0.145
ALDH1A2	ENO1	0.144
ALDH1A2	CSE1L	0.144
ALDH1A2	CYP51A1	0.144
ALDH1A2	MAEA	0.144
ALDH1A2	NUP93	0.144
ALDH1A2	GCLC	0.143
ALDH1A2	SHQ1	0.143
ALDH1A2	ALDH1A1	0.142
ALDH1A2	RPLP0	0.142
ALDH1A2	ALDH1B1	0.142
ALDH1A2	HSPA4	0.142
