V1	V2
DARS2	FOXI2
DARS2	DCP2
DARS2	BBS1
DARS2	HSPH1
DARS2	ARHGEF26
DARS2	NARS2
DARS2	GFM1
DARS2	FOXB1
DARS2	PRMT1
DARS2	DPYSL5
DARS2	PRMT8
DARS2	MRPL27
DARS2	MRPS2
DARS2	MRPL11
DARS2	MRPS16
DARS2	UBD
DARS2	FOXH1
DARS2	GFPT2
DARS2	TGDS
DARS2	HSPA4L
DARS2	PGK1
DARS2	GAPDH
DARS2	NTRK1
DARS2	ATP5B
DARS2	PGK2
DARS2	FH
DARS2	HSP90AB1
DARS2	DLD
DARS2	UBC
DARS2	HSPA1A
DARS2	HSPA1B
DARS2	HSPD1
DARS2	HSPA8
DARS2	HSPA6
DARS2	PRKACA
DARS2	PRKACG
DARS2	PRKACB
DARS2	ATP5A1
DARS2	EPHA8
DARS2	PRDX2
DARS2	HSPA1L
DARS2	HSPA4
DARS2	TALDO1
DARS2	PRKX
DARS2	PPP5C
DARS2	CLTCL1
DARS2	HSPA2
DARS2	NPEPPS
DARS2	FOXL2
DARS2	UBE2G2
DARS2	HSPE1
DARS2	RBX1
DARS2	SUMO1
DARS2	CLTC
DARS2	PLAUR
DARS2	GFPT1
DARS2	FOXL1
DARS2	AIMP2
DARS2	PRDX4
DARS2	KARS
DARS2	TERF2
DARS2	NEDD8
DARS2	UGP2
DARS	ATP6V1B1
DARS	H2AFX
DARS	HSPA6
DARS	GJA1
DARS	AKR1C4
DARS	PRKACA
DARS	CTPS1
DARS	PFKL
DARS	PSMC3
DARS	RCC1
DARS	VCAM1
DARS	HK1
DARS	RAB4A
DARS	HIST1H2AD
DARS	ATP6V1B2
DARS	TAF1
DARS	UBA1
DARS	PRKACG
DARS	PRKACB
DARS	FECH
DARS	AHCY
DARS	ACAT1
DARS	ATP5A1
DARS	VARS
DARS	EEF1G
DARS	CAD
DARS	CANX
DARS	PIK3R1
DARS	EEF1D
DARS	PDIA3
DARS	ALDH1B1
DARS	ATIC
DARS	CTH
DARS	HSPA1L
DARS	HSPA4
DARS	MPI
DARS	NF2
DARS	CBS
DARS	GCK
DARS	PSMC2
DARS	PGM1
DARS	HSPA9
DARS	MDH2
DARS	GARS
DARS	IARS
DARS	RANBP1
DARS	PSMC4
DARS	ALDH1A3
DARS	QARS
DARS	CSNK1D
DARS	AARS
DARS	SARS
DARS	MCM2
DARS	IDH3A
DARS	IDH3G
DARS	VAMP7
DARS	PRKX
DARS	AKR1D1
DARS	PGD
DARS	KPNA2
DARS	AKR1C2
DARS	CLTCL1
DARS	RARS
DARS	PMS2
DARS	HSPA2
DARS	BCAT1
DARS	RAD23B
DARS	PSMD4
DARS	CSE1L
DARS	VCP
DARS	ADK
DARS	NPEPPS
DARS	MARS
DARS	ACTB
DARS	EIF4A1
DARS	MAX
DARS	SEC61A1
DARS	YWHAE
DARS	PSMC6
DARS	ACTA2
DARS	RAN
DARS	GRB2
DARS	SUMO1
DARS	EIF5A
DARS	ACTG1
DARS	ACTG2
DARS	ACTC1
DARS	EEF1A1
DARS	ACTA1
DARS	TUBA1B
DARS	TUBA4A
DARS	TUBB4B
DARS	CLTC
DARS	E2F1
DARS	GALK2
DARS	PFKP
DARS	AKR1C1
DARS	EEF1A2
DARS	GFPT1
DARS	RPL18
DARS	FOXM1
DARS	AIMP1
DARS	ACACA
DARS	AIMP2
DARS	STK3
DARS	PSMD2
DARS	PABPC4
DARS	FZD5
DARS	SQSTM1
DARS	TUBB3
DARS	CUL1
DARS	CUL3
DARS	TUBA3C
DARS	TUBB2A
DARS	BYSL
DARS	EIF4A2
DARS	NBR1
DARS	PLS1
DARS	USP10
DARS	CUL7
DARS	KARS
DARS	PGM5
DARS	PPA1
DARS	PKN2
DARS	CRY1
DARS	HIST2H2AC
DARS	UGP2
DARS	SLC25A35
DARS	TUBB8
DARS	CRY2
DARS	PABPC1L
DARS	PABPC1L2A
DARS	HIST2H2AA3
DARS	EIF5AL1
DARS	PRPF40B
DARS	TUBA3E
DARS	SLC25A34
DARS	NAPRT
DARS	FOXI2
DARS	TUBA1A
DARS	HIST3H2A
DARS	SDCCAG8
DARS	KTN1
DARS	COMTD1
DARS	THNSL2
DARS	HIST2H2AB
DARS	SEPT12
DARS	UBQLNL
DARS	AADAT
DARS	FBXO25
