gene1	gene	score
DARS2	UBC	1
DARS	IARS	1
DARS	QARS	1
DARS	RARS	1
DARS	MARS	1
DARS	AIMP1	1
DARS	AIMP2	1
DARS	KARS	1
DARS	LARS	1
DARS	EEF1E1	1
DARS	EPRS	1
DARS	UBC	1
FARSA	UBC	1
FARSA	FARSB	1
FARSB	FARSA	1
FARSB	UBC	1
HARS	UBC	1
HARS2	UBC	1
NARS	UBC	1
QARS	RARS	1
QARS	MARS	1
QARS	AIMP1	1
QARS	AIMP2	1
QARS	KARS	1
QARS	LARS	1
QARS	EEF1E1	1
QARS	EPRS	1
QARS	UBC	1
QARS	DARS	1
QARS	IARS	1
YARS	UBC	1
CARS	UBC	1
RARS	MARS	1
RARS	AIMP1	1
RARS	AIMP2	1
RARS	KARS	1
RARS	LARS	1
RARS	EEF1E1	1
RARS	EPRS	1
RARS	UBC	1
RARS	DARS	1
RARS	IARS	1
RARS	QARS	1
RARS2	UBC	1
IARS2	UBC	1
IARS	QARS	1
IARS	RARS	1
IARS	HSPA2	1
IARS	SUMO3	1
IARS	MARS	1
IARS	SUMO2	1
IARS	EEF1A1	1
IARS	EEF1A2	1
IARS	AIMP1	1
IARS	AIMP2	1
IARS	KARS	1
IARS	LARS	1
IARS	EEF1E1	1
IARS	EPRS	1
IARS	UBC	1
IARS	HSPA1B	1
IARS	HSPA8	1
IARS	DARS	1
IARS	HSPA6	1
VARS	EEF1G	1
VARS	PSMD14	1
VARS	HSP90AA1	1
VARS	UBC	1
EARS2	UBC	1
LARS	EEF1E1	1
LARS	EPRS	1
LARS	UBC	1
LARS	DARS	1
LARS	IARS	1
LARS	QARS	1
LARS	RARS	1
LARS	MARS	1
LARS	AIMP1	1
LARS	AIMP2	1
LARS	KARS	1
SARS	UBC	1
MARS	SUMO2	1
MARS	AIMP1	1
MARS	AIMP2	1
MARS	KARS	1
MARS	LARS	1
MARS	EEF1E1	1
MARS	EPRS	1
MARS	UBC	1
MARS	DARS	1
MARS	IARS	1
MARS	QARS	1
MARS	RARS	1
AARS	UBC	1
TARSL2	UBC	1
TARS	UBC	1
WARS	UBC	1
CARS	EEF1G	0.395
MARS	HSP90AA1	0.388
DARS	EEF1A1	0.387
IARS	GARS	0.387
WARS	CDH5	0.385
DARS	HSP90AA1	0.375
QARS	MAP3K5	0.373
SARS	JUN	0.37
YARS	NOL6	0.367
YARS	PARP1	0.367
QARS	HSP90AA1	0.357
LARS	RRAGB	0.263
LARS	RRAGA	0.263
VARS	RRAGB	0.222
VARS	RRAGA	0.222
FARSA	RAN	0.215
VARS	EEF1A1	0.215
CARS2	TRMT10C	0.208
RARS2	TRMT10C	0.203
VARS	EEF1B2	0.202
SARS2	TRMT10C	0.202
VARS	EEF1D	0.201
VARS	JDP2	0.201
HARS	STAM	0.195
IARS	SUMO4	0.189
IARS	SUMO1	0.188
IARS	SART3	0.185
VARS	SART3	0.185
MARS	SUMO3	0.185
TARS	SUMO3	0.184
DARS2	AIMP2	0.183
RARS	IRS1	0.183
TARS	SUMO1	0.183
DARS2	KARS	0.182
IARS	SKP1	0.181
NARS	SUMO4	0.18
NARS	SUMO3	0.179
NARS	SUMO1	0.179
MARS	SUMO4	0.179
YARS2	L1RE1	0.178
MARS	SUMO1	0.178
TARSL2	PSMD14	0.178
TARSL2	SUMO3	0.178
TARSL2	SUMO4	0.178
TARS	SUMO2	0.178
TARS	SUMO4	0.178
TARS	PSMD14	0.178
DARS	PSMD14	0.177
NARS2	CLPP	0.177
CARS2	CLPP	0.177
LARS	PSMD14	0.177
TARSL2	SUMO1	0.177
LARS	LAMTOR1	0.176
LARS	RRAGC	0.176
LARS	RRAGD	0.176
WARS2	CLPP	0.176
LARS	RPTOR	0.175
IARS	SNCA	0.174
LARS	MTOR	0.174
NARS	SUMO2	0.173
IARS	HSPA1L	0.173
IARS	HSPA9	0.173
TARS	NEDD8	0.173
DARS	VAMP7	0.172
DARS	HSP90AB1	0.172
SARS2	KCMF1	0.172
TARS2	FASTKD3	0.172
FARSA	CHEK2	0.171
VARS	PPP2R1B	0.171
AARS	PRKAR1A	0.171
AARS	PRKAR2A	0.171
AARS	PRKAR1B	0.171
DARS	ESR1	0.17
HARS	PSMD14	0.17
HARS2	PSMD14	0.17
IARS2	FASTKD3	0.17
VARS	PPP2R1A	0.17
LARS	ESR1	0.17
MARS	ESR1	0.17
AARS	PRKAR2B	0.17
WARS2	CREB1	0.169
NARS2	NEDD4L	0.168
NARS2	NEDD4	0.168
IARS	EEF2	0.168
IARS	CAD	0.168
TARSL2	ABCG1	0.168
TARS	UBD	0.168
FARSB	SUMO3	0.167
FARSB	SUMO2	0.167
HARS	EEF1B2	0.167
IARS	UBD	0.167
IARS	EGFR	0.167
MARS	MYC	0.167
TARS	ABCG1	0.167
TARS	ISG15	0.167
FARSA	EEF1D	0.166
HARS	EEF1G	0.166
IARS	MYH14	0.166
IARS	MYH2	0.166
IARS	MYH13	0.166
IARS	MYH15	0.166
IARS	MYH4	0.166
IARS	MYH7B	0.166
IARS	MYH3	0.166
IARS	MYH1	0.166
