gene	node_type
DARS2	gene
DARS	gene
FARSA	gene
FARS2	gene
FARSB	gene
HARS	gene
HARS2	gene
NARS	gene
NARS2	gene
QARS	gene
YARS	gene
YARS2	gene
CARS	gene
CARS2	gene
RARS	gene
RARS2	gene
IARS2	gene
IARS	gene
VARS	gene
VARS2	gene
EARS2	gene
LARS	gene
LARS2	gene
SARS	gene
SARS2	gene
MARS	gene
MARS2	gene
AARS	gene
AARS2	gene
PARS2	gene
TARS2	gene
TARSL2	gene
TARS	gene
WARS	gene
WARS2	gene
UBC	PPI
AIMP1	PPI
AIMP2	PPI
KARS	PPI
EEF1E1	PPI
EPRS	PPI
HSPA2	PPI
SUMO3	PPI
SUMO2	PPI
EEF1A1	PPI
EEF1A2	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
EEF1G	PPI
PSMD14	PPI
HSP90AA1	PPI
GARS	PPI
CDH5	PPI
MAP3K5	PPI
JUN	PPI
NOL6	PPI
PARP1	PPI
RRAGB	PPI
RRAGA	PPI
RAN	PPI
TRMT10C	PPI
EEF1B2	PPI
EEF1D	PPI
JDP2	PPI
STAM	PPI
SUMO4	PPI
SUMO1	PPI
SART3	PPI
IRS1	PPI
SKP1	PPI
L1RE1	PPI
CLPP	PPI
LAMTOR1	PPI
RRAGC	PPI
RRAGD	PPI
RPTOR	PPI
SNCA	PPI
MTOR	PPI
HSPA1L	PPI
HSPA9	PPI
NEDD8	PPI
VAMP7	PPI
HSP90AB1	PPI
KCMF1	PPI
FASTKD3	PPI
CHEK2	PPI
PPP2R1B	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
ESR1	PPI
PPP2R1A	PPI
PRKAR2B	PPI
CREB1	PPI
NEDD4L	PPI
NEDD4	PPI
EEF2	PPI
CAD	PPI
ABCG1	PPI
UBD	PPI
EGFR	PPI
MYC	PPI
ISG15	PPI
MYH14	PPI
MYH2	PPI
MYH13	PPI
MYH15	PPI
MYH4	PPI
MYH7B	PPI
MYH3	PPI
MYH1	PPI
MYH7	PPI
MYH8	PPI
MYH9	PPI
MYH10	PPI
MYH11	PPI
PGD	PPI
TP53	PPI
SIRT4	PPI
PSEN1	PPI
YBX1	PPI
PSMD4	PPI
KAT5	PPI
PRMT1	PPI
PRMT8	PPI
GRSF1	PPI
SENP3	PPI
CUL1	PPI
CUL2	PPI
COX5B	PPI
NPEPPS	PPI
GJA1	PPI
UBE2A	PPI
UBE2B	PPI
GRB2	PPI
NAPRT	PPI
UBA5	PPI
GLS	PPI
RAE1	PPI
TMEM173	PPI
YWHAE	PPI
CCT3	PPI
LRRK2	PPI
WRAP73	PPI
VCAM1	PPI
YOD1	PPI
SPRTN	PPI
PSMD2	PPI
LSM5	PPI
LSM1	PPI
PRRC2A	PPI
DDX6	PPI
HSPH1	PPI
HSPA4L	PPI
HSPA4	PPI
PSMC3	PPI
USP7	PPI
MAPK1	PPI
RNF11	PPI
PARK7	PPI
PACSIN1	PPI
PACSIN3	PPI
PACSIN2	PPI
PSTPIP1	PPI
POLR2B	PPI
ESR2	PPI
MAPK3	PPI
EIF2B1	PPI
SLX4	PPI
ICT1	PPI
PTBP3	PPI
MCM2	PPI
YWHAG	PPI
YWHAH	PPI
DTX2	PPI
RNF126	PPI
CNBP	PPI
ZCCHC13	PPI
DUX4	PPI
CHD7	PPI
CSNK1D	PPI
HSPA1A	PPI
NDRG1	PPI
PSMA3	PPI
FBXO25	PPI
WWOX	PPI
CD4	PPI
ACTB	PPI
MTNR1B	PPI
PRPF40A	PPI
PRPF40B	PPI
ACACA	PPI
GMPPB	PPI
HSPA5	PPI
RHOU	PPI
PSMC5	PPI
CDK9	PPI
ABCE1	PPI
RAB40B	PPI
POU5F1	PPI
POU5F1B	PPI
HDAC5	PPI
HMGA2	PPI
PXN	PPI
HSPB2	PPI
METTL18	PPI
YWHAQ	PPI
MAT2A	PPI
MTNR1A	PPI
MAT1A	PPI
WDR76	PPI
SNTB1	PPI
XPO1	PPI
IFI16	PPI
MARCH6	PPI
RAB39B	PPI
IFT22	PPI
RAB22A	PPI
CTSE	PPI
TERF2	PPI
RAB4A	PPI
PAN2	PPI
OTUB1	PPI
SLC2A4	PPI
HDGF	PPI
HDAC4	PPI
MDM2	PPI
ECSIT	PPI
COPB1	PPI
YWHAZ	PPI
PIK3CA	PPI
ARG2	PPI
METAP1	PPI
TAF1	PPI
NAPSA	PPI
REN	PPI
CTSD	PPI
PGA3	PPI
PGA5	PPI
BBS1	PPI
MRPL27	PPI
MRPS16	PPI
USP10	PPI
CRY1	PPI
CRY2	PPI
ASB4	PPI
CDK7	PPI
BAG2	PPI
HSPB1	PPI
