gene	node_type
GCH1	gene
PTS	gene
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
DNAJA1	PPI
STIP1	PPI
PRDX2	PPI
HIST1H2BB	PPI
HSPA1L	PPI
HSPA4	PPI
CBS	PPI
GCK	PPI
ATP5C1	PPI
DLST	PPI
TALDO1	PPI
HSPA9	PPI
CAP2	PPI
PSMC4	PPI
VDAC2	PPI
MAP2K4	PPI
ALDH1A3	PPI
PSMD8	PPI
CCT3	PPI
SARS	PPI
PSMB3	PPI
PSMB2	PPI
EIF2B2	PPI
RGS19	PPI
CCT8	PPI
RAB5C	PPI
IDH3G	PPI
PRKX	PPI
PGD	PPI
KPNA1	PPI
SUCLG1	PPI
COPA	PPI
CLTCL1	PPI
MAPK12	PPI
MAPK10	PPI
HSPA2	PPI
VCP	PPI
NAP1L1	PPI
EIF6	PPI
HIST1H2BD	PPI
DNAJB13	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
RAB5B	PPI
ACTR2	PPI
PSMC5	PPI
YWHAE	PPI
PPP2CB	PPI
ACTA2	PPI
HIST1H2BC	PPI
PPIA	PPI
RPS27A	PPI
UBA52	PPI
YWHAZ	PPI
SKP1	PPI
EIF5A	PPI
ACTG1	PPI
ACTG2	PPI
PPP2CA	PPI
CSNK2B	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
CSNK2A1	PPI
MAT1A	PPI
CLTC	PPI
GALK2	PPI
CAP1	PPI
PFKP	PPI
SP3	PPI
EEF1A2	PPI
PPID	PPI
ACACA	PPI
RLF	PPI
PRDX4	PPI
MAP2K5	PPI
MAPK7	PPI
EIF3I	PPI
PPP2R5C	PPI
TUBB3	PPI
CUL1	PPI
CUL2	PPI
TUBA3C	PPI
TUBB2A	PPI
EIF3A	PPI
GIT2	PPI
EIF4A2	PPI
PPP2R5D	PPI
KPNB1	PPI
PPP2R5A	PPI
PPP2R5B	PPI
PPA1	PPI
MPPED2	PPI
PPP2R5E	PPI
CDC37	PPI
HIST2H2BE	PPI
TUBB8	PPI
HIST2H2BF	PPI
ATL3	PPI
EIF5AL1	PPI
TUBA3E	PPI
DHRS11	PPI
TUBA1A	PPI
H2BFWT	PPI
PGAM4	PPI
HIST3H2BB	PPI
CAMKK1	PPI
ATL2	PPI
THOC2	PPI
CALML6	PPI
IPO4	PPI
DNAJA4	PPI
ATL1	PPI
HSPH1	PPI
HIST1H2BH	PPI
HIST1H2BA	PPI
DNAJA3	PPI
CNRIP1	PPI
SDSL	PPI
OSBPL9	PPI
EIF3C	PPI
NAP1L4	PPI
CCT7	PPI
HIST1H2BN	PPI
HIST1H2BM	PPI
HIST1H2BL	PPI
AGPAT1	PPI
SH3GL2	PPI
TUBB6	PPI
NTMT1	PPI
TUBB2B	PPI
MLST8	PPI
RIOK2	PPI
FUT8	PPI
WDR12	PPI
EIF5A2	PPI
NACA2	PPI
SLC25A31	PPI
DDX47	PPI
PPA2	PPI
TUBB1	PPI
CSNK1G1	PPI
TUBA8	PPI
CALML5	PPI
DNAJB4	PPI
PACSIN3	PPI
RAB26	PPI
NAP1L2	PPI
PPIE	PPI
RUVBL2	PPI
VDAC3	PPI
CFL2	PPI
RPH3A	PPI
GMPPB	PPI
PSAT1	PPI
TUBAL3	PPI
EIF4E1B	PPI
EIF3CL	PPI
PSMD11	PPI
IPO5	PPI
AGPAT2	PPI
KPNA5	PPI
MPPED1	PPI
IDH3B	PPI
RANBP6	PPI
EIF4E2	PPI
HIST1H2BK	PPI
DNAJA2	PPI
CS	PPI
PPM1B	PPI
EIF3G	PPI
DNAJB5	PPI
ALDH1A2	PPI
IPO7	PPI
AHSA1	PPI
NSA2	PPI
HSPA4L	PPI
ALDH1A1	PPI
SOD1	PPI
OTC	PPI
SOD2	PPI
OAT	PPI
TUBB4A	PPI
ATP1B1	PPI
ALDH2	PPI
SLC25A5	PPI
ATP5B	PPI
EIF4E	PPI
GPI	PPI
HIST1H2BJ	PPI
TUBB	PPI
BPGM	PPI
APRT	PPI
HSP90AA1	PPI
GALT	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
DLD	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
DLAT	PPI
PRKAR1A	PPI
HSPD1	PPI
HSPA8	PPI
PC	PPI
SLC25A4	PPI
SLC25A6	PPI
PRKAR2A	PPI
PGAM2	PPI
ATP6V1B1	PPI
