gene	node_type
LRAT	gene
RDH12	gene
RDH11	gene
RDH13	gene
RDH14	gene
RDH8	gene
RDH10	gene
DHRS3	gene
RDH5	gene
RBP1	PPI
RBP2	PPI
UBC	PPI
RLBP1	PPI
MINOS1	PPI
COA3	PPI
ALDH3A1	PPI
ALDH3B2	PPI
ALDH3A2	PPI
SLC25A5	PPI
ISG15	PPI
HMGA2	PPI
RAB18	PPI
ORC4	PPI
CNBP	PPI
ZCCHC13	PPI
ELAVL1	PPI
NMES1	PPI
COQ9	PPI
SUMO2	PPI
NDUFA4	PPI
NEDD8	PPI
CA12	PPI
ANXA8	PPI
ANXA8L1	PPI
ROBO2	PPI
NTRK1	PPI
BLOC1S2	PPI
GADD45G	PPI
TP53	PPI
CYP3A5	PPI
MAP1LC3A	PPI
BUB1	PPI
HNF4A	PPI
PSKH1	PPI
TAF1	PPI
TSPAN3	PPI
UBAC1	PPI
UBE2T	PPI
AGFG1	PPI
TSPAN5	PPI
LASP1	PPI
TKFC	PPI
RNF123	PPI
ARPIN	PPI
CCDC25	PPI
ZBTB8OS	PPI
RBPMS	PPI
MCOLN3	PPI
HTR3C	PPI
POMK	PPI
GINM1	PPI
HEPACAM2	PPI
PLTP	PPI
NRG1	PPI
PON2	PPI
ZACN	PPI
L3HYPDH	PPI
NAPSA	PPI
NT5E	PPI
OLFM4	PPI
MORC3	PPI
UBE2G1	PPI
HERC3	PPI
DDI2	PPI
PEX19	PPI
UBE2D2	PPI
ARFGAP1	PPI
UBE2E3	PPI
SRPRB	PPI
GNAI3	PPI
IDH3A	PPI
DNMT1	PPI
E2F1	PPI
RBBP4	PPI
HDAC1	PPI
TFDP1	PPI
TFDP2	PPI
E2F2	PPI
RBBP7	PPI
SIN3A	PPI
E2F3	PPI
SAP30	PPI
RB1	PPI
AKR1C1	PPI
AKR1B10	PPI
AKR1C4	PPI
AKR1C3	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
HSPA1A	PPI
HSPA1B	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
HSPA5	PPI
LAMC1	PPI
MYH3	PPI
HSPA8	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
PC	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
CDK4	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
HARS	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPR	PPI
CKB	PPI
SKI	PPI
SKIL	PPI
ACTN1	PPI
CDH1	PPI
MYH1	PPI
MYH7	PPI
SRC	PPI
PEPD	PPI
XRCC6	PPI
XRCC5	PPI
UNG	PPI
COX4I1	PPI
IFITM1	PPI
ALAS1	PPI
RNH1	PPI
CYBA	PPI
MYH8	PPI
CFTR	PPI
NCAM1	PPI
ATP1A3	PPI
EEF2	PPI
KRT10	PPI
KRT5	PPI
PDIA4	PPI
TPT1	PPI
ALAD	PPI
F3	PPI
HLA-E	PPI
HLA-DRB1	PPI
LCP1	PPI
PLS3	PPI
APEH	PPI
ETFA	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
GTF2F2	PPI
MTHFD2	PPI
CTSE	PPI
MIF	PPI
PRKCSH	PPI
FDPS	PPI
TRIM27	PPI
COX7A2	PPI
AKR1A1	PPI
PKM	PPI
HSP90B1	PPI
CCNB1	PPI
MYL6B	PPI
SLC2A4	PPI
SNRPB	PPI
IDE	PPI
COX6B1	PPI
POU2F1	PPI
HNRNPL	PPI
DARS	PPI
IDO1	PPI
ETS1	PPI
JUP	PPI
ETS2	PPI
BRAF	PPI
GLUL	PPI
AKR1B1	PPI
RAC2	PPI
GSPT1	PPI
MYOD1	PPI
PGAM2	PPI
IFNGR1	PPI
EZR	PPI
ATP6V1B1	PPI
UCHL3	PPI
VAV1	PPI
CD46	PPI
NME1	PPI
NQO1	PPI
HIVEP1	PPI
RPS2	PPI
TCF4	PPI
TCF3	PPI
DSP	PPI
RPA2	PPI
