gene1	gene	score
TPK1	PARP2	0.176
TPK1	MARCH6	0.155
TPK1	PRPF40B	0.155
MARCH6	UBB	0.155
MARCH6	UBC	0.155
MARCH6	VCP	0.155
MARCH6	UBE2G2	0.155
MARCH6	RPS27A	0.155
MARCH6	UBA52	0.155
MARCH6	OS9	0.155
MARCH6	DERL2	0.155
MARCH6	SEL1L	0.155
PRPF40B	LUC7L	0.155
PRPF40B	NCBP2L	0.155
PRPF40B	LUC7L3	0.155
PRPF40B	SNRNP70	0.155
PRPF40B	SNRPB	0.155
PRPF40B	NCBP2	0.155
PRPF40B	SNRPF	0.155
PRPF40B	SNRPD1	0.155
PRPF40B	SNRPD3	0.155
TPK1	PRPF40A	0.154
TPK1	NEDD4	0.154
TPK1	NEDD4L	0.154
PRPF40A	SF3B1	0.154
PRPF40A	WBP4	0.154
PRPF40A	SNRNP200	0.154
PRPF40A	BCAS2	0.154
PRPF40A	DNAJC8	0.154
PRPF40A	SMNDC1	0.154
PRPF40A	PRPF6	0.154
PRPF40A	LUC7L3	0.154
PRPF40A	CD2BP2	0.154
PRPF40A	LSM8	0.154
PRPF40A	HNRNPC	0.154
PRPF40A	SNRPB2	0.154
PRPF40A	SNRNP70	0.154
PRPF40A	SNRPA	0.154
PRPF40A	SNRPC	0.154
PRPF40A	HNRNPA1	0.154
PRPF40A	SNRPA1	0.154
PRPF40A	UBC	0.154
PRPF40A	HSPA8	0.154
PRPF40A	GTF2F2	0.154
PRPF40A	SNRPB	0.154
PRPF40A	HNRNPL	0.154
PRPF40A	DDX5	0.154
PRPF40A	POLR2C	0.154
PRPF40A	POLR2E	0.154
PRPF40A	HNRNPA2B1	0.154
PRPF40A	POLR2A	0.154
PRPF40A	U2AF2	0.154
PRPF40A	PTBP1	0.154
PRPF40A	POLR2B	0.154
PRPF40A	HNRNPH1	0.154
PRPF40A	GTF2F1	0.154
PRPF40A	FUS	0.154
PRPF40A	POLR2I	0.154
PRPF40A	RBMX	0.154
PRPF40A	BUD31	0.154
PRPF40A	HTT	0.154
PRPF40A	HNRNPA3	0.154
PRPF40A	HNRNPM	0.154
PRPF40A	NCBP2	0.154
PRPF40A	POLR2H	0.154
PRPF40A	POLR2J	0.154
PRPF40A	HNRNPF	0.154
PRPF40A	RBM5	0.154
PRPF40A	POLR2K	0.154
PRPF40A	SNU13	0.154
PRPF40A	HNRNPH2	0.154
PRPF40A	POLR2F	0.154
PRPF40A	HNRNPK	0.154
PRPF40A	SNRPE	0.154
PRPF40A	SNRPF	0.154
PRPF40A	SNRPG	0.154
PRPF40A	LSM3	0.154
PRPF40A	LSM6	0.154
PRPF40A	SNRPD1	0.154
PRPF40A	SNRPD2	0.154
PRPF40A	SNRPD3	0.154
PRPF40A	POLR2G	0.154
PRPF40A	POLR2L	0.154
PRPF40A	SNRPN	0.154
PRPF40A	YBX1	0.154
PRPF40A	TXNL4A	0.154
PRPF40A	SRSF3	0.154
PRPF40A	HNRNPU	0.154
PRPF40A	U2AF1	0.154
PRPF40A	SRSF2	0.154
PRPF40A	SRSF11	0.154
PRPF40A	SRSF1	0.154
PRPF40A	SRSF4	0.154
PRPF40A	DHX9	0.154
PRPF40A	NCBP1	0.154
PRPF40A	SF3A3	0.154
PRPF40A	ELAVL2	0.154
PRPF40A	HNRNPA0	0.154
