V1	V2
TXNRD2	NDUFA13
TXNRD2	PUF60
TXNRD2	PPP1R3C
TXNRD2	SSX2IP
TXNRD2	SAMM50
TXNRD2	PSMD14
TXNRD2	AKR1B10
TXNRD2	NCOR1
TXNRD2	TADA3
TXNRD2	BCAS2
TXNRD2	SOD1
TXNRD2	ENO1
TXNRD2	P4HB
TXNRD2	ANXA6
TXNRD2	ENO2
TXNRD2	HMOX1
TXNRD2	DLD
TXNRD2	UBC
TXNRD2	TXN
TXNRD2	AKR1B1
TXNRD2	NME1
TXNRD2	PSMC3
TXNRD2	NME2
TXNRD2	PPIB
TXNRD2	MSN
TXNRD2	FKBP2
TXNRD2	ATP6V0C
TXNRD2	CALR
TXNRD2	TKT
TXNRD2	GTF2H1
TXNRD2	MDH2
TXNRD2	HINT1
TXNRD2	PGD
TXNRD2	NUTF2
TXNRD2	GSTO1
TXNRD2	VLDLR
TXNRD2	LRP8
TXNRD2	NCOA6
TXNRD2	PCBP1
TXNRD2	RGN
TXNRD2	NCOA2
TXNRD2	TANGO2
TXNRD2	FOXR2
TXNRD2	TXN2
TXNRD2	TXNDC17
TXNRD2	ADAM19
TXNRD2	TKTL2
TXNRD2	GSTO2
TXNRD1	DMRTC2
TXNRD1	ESR2
TXNRD1	PPP1R16A
TXNRD1	GLRX2
TXNRD1	HERC5
TXNRD1	RP2
TXNRD1	ESR1
TXNRD1	NTRK1
TXNRD1	TP53
TXNRD1	ISG15
TXNRD1	POU2F2
TXNRD1	UBC
TXNRD1	TXN
TXNRD1	THRA
TXNRD1	POU2F1
TXNRD1	GJA1
TXNRD1	TAF1
TXNRD1	APEX1
TXNRD1	HNF4A
TXNRD1	SUMO3
TXNRD1	SHFM1
TXNRD1	SUMO2
TXNRD1	CAV1
TXNRD1	FOXO1
TXNRD1	PDIA6
TXNRD1	NCOA2
TXNRD1	ELAVL1
TXNRD3	UBC
