gene	node_type
SELENOT	gene
TXNRD2	gene
TXNRD1	gene
TXNRD3	gene
NDUFA13	PPI
PUF60	PPI
PPP1R3C	PPI
SSX2IP	PPI
SAMM50	PPI
PSMD14	PPI
AKR1B10	PPI
NCOR1	PPI
TADA3	PPI
BCAS2	PPI
SOD1	PPI
ENO1	PPI
P4HB	PPI
ANXA6	PPI
ENO2	PPI
HMOX1	PPI
DLD	PPI
UBC	PPI
TXN	PPI
AKR1B1	PPI
NME1	PPI
PSMC3	PPI
NME2	PPI
PPIB	PPI
MSN	PPI
FKBP2	PPI
ATP6V0C	PPI
CALR	PPI
TKT	PPI
GTF2H1	PPI
MDH2	PPI
HINT1	PPI
PGD	PPI
NUTF2	PPI
GSTO1	PPI
VLDLR	PPI
LRP8	PPI
NCOA6	PPI
PCBP1	PPI
RGN	PPI
NCOA2	PPI
TANGO2	PPI
FOXR2	PPI
TXN2	PPI
TXNDC17	PPI
ADAM19	PPI
TKTL2	PPI
GSTO2	PPI
DMRTC2	PPI
ESR2	PPI
PPP1R16A	PPI
GLRX2	PPI
HERC5	PPI
RP2	PPI
ESR1	PPI
NTRK1	PPI
TP53	PPI
ISG15	PPI
POU2F2	PPI
THRA	PPI
POU2F1	PPI
GJA1	PPI
TAF1	PPI
APEX1	PPI
HNF4A	PPI
SUMO3	PPI
SHFM1	PPI
SUMO2	PPI
CAV1	PPI
FOXO1	PPI
PDIA6	PPI
ELAVL1	PPI
