gene1	gene	score
DLD	UBC	1
DLD	HSPA1B	1
DLD	DLAT	1
DLD	HSPA8	1
DLD	PDHB	1
DLD	DBT	1
DLD	BCKDHA	1
DLD	HSPA6	1
DLD	BCKDHB	1
DLD	GCSH	1
DLD	DLST	1
DLD	HSPA2	1
DLD	OGDH	1
DLD	PDK1	1
DLD	PDK2	1
DLD	PDK3	1
DLD	PDK4	1
DLD	PPM1K	1
DLD	PDPR	1
DLD	PDP1	1
DLD	PDP2	1
DLD	OGDHL	1
DLD	LIPT1	1
DLD	PDHX	1
DLD	BCKDK	1
DLD	PDHA1	1
ASL	UBC	1
GAD2	STX1A	1
GAD2	RIMS1	1
GAD2	GAD1	1
GAD2	DNAJC5	1
GAD2	SLC32A1	1
GAD2	CPLX1	1
GAD2	HSPA8	1
GAD2	RAB3A	1
GAD2	SYT1	1
GAD2	SNAP25	1
GAD2	STXBP1	1
GAD2	VAMP2	1
GAD1	DNAJC5	1
GAD1	SLC32A1	1
GAD1	CPLX1	1
GAD1	HSPA8	1
GAD1	RAB3A	1
GAD1	SYT1	1
GAD1	SNAP25	1
GAD1	STXBP1	1
GAD1	VAMP2	1
GAD1	GAD2	1
GAD1	STX1A	1
GAD1	RIMS1	1
GOT2	UBC	1
NAT8L	NAT14	1
NAT8L	NAT9	1
NAT8L	NAA50	1
NAT8L	NAT10	1
NAT8L	NAT8	1
NAT8L	NAT2	1
NAT8L	NAT1	1
NAT8L	NAA20	1
NAT8L	NAA30	1
NAT8L	NAA40	1
ASNS	UBC	1
ASNS	SUMO3	1
NIT2	UBC	1
ASS1	UBC	1
ASS1	NMRAL1	1
GOT2	HSPA8	0.622
DDO	PEX5	0.451
GOT2	HSPA1B	0.381
GOT2	HSPA6	0.38
GOT2	HSPA2	0.38
ASS1	CDR2	0.379
ASS1	TBPL1	0.369
ASS1	TBPL2	0.369
ASS1	TBP	0.363
ASS1	KAT2B	0.363
GAD1	UBC	0.359
GAD2	UBC	0.358
GAD2	ZDHHC17	0.248
DLD	PEBP1	0.222
GAD2	PRKCE	0.191
GAD2	PRKACA	0.19
GAD1	PRKCE	0.19
GAD1	PRKACA	0.189
ASNS	SUMO4	0.188
ASNS	SUMO2	0.187
ASNS	SUMO1	0.187
GOT2	PSMD4	0.182
ASNS	PSMD14	0.178
DLD	PSMD4	0.176
DLD	SUMO4	0.176
DLD	SUMO3	0.175
ASL	HSP90AB1	0.173
DLD	SURF1	0.172
ASS1	NSFL1C	0.171
DLD	HSPA1L	0.167
ASS1	SUMO2	0.167
GAD2	PSEN1	0.166
GOT2	NEDD4	0.166
GOT2	NEDD4L	0.166
GAD1	PSEN1	0.165
GOT2	SOST	0.165
ASS1	USP4	0.165
ASS1	PSMD14	0.164
DLD	SIRT4	0.163
NIT2	NPEPPS	0.163
DLD	NPEPPS	0.161
GOT2	NPEPPS	0.161
GOT2	KCNMA1	0.161
DLD	EZH2	0.16
DLD	ABCF1	0.16
GOT2	ALDOA	0.16
GOT2	ALDOB	0.16
ASS1	ARAF	0.16
DLD	ALDOA	0.159
DLD	ALDOB	0.159
GOT1L1	GRK5	0.159
ASNS	VCAM1	0.159
ASS1	CDK2	0.159
DLD	NPHS2	0.158
ASNS	SYK	0.158
GAD1	CMTM5	0.157
GOT2	GAPDH	0.157
ASNS	PGD	0.157
DLD	ESR2	0.156
DLD	NFS1	0.156
ASS1	SUMO3	0.156
ASS1	SUMO1	0.156
ASS1	SUMO4	0.156
DLD	CSNK1D	0.155
GAD1	HAAO	0.155
GOT2	CDK2	0.155
GOT2	YWHAG	0.155
GOT2	YWHAH	0.155
ASNS	ATXN1	0.155
ASS1	MLH1	0.155
ASS1	HSD17B10	0.155
DLD	HSPA1A	0.154
DLD	DLG4	0.154
DLD	ICT1	0.154
DLD	HSD17B10	0.154
ASL	HSPA8	0.154
ASL	HSPA6	0.154
ASL	HSPA2	0.154
ASL	HSD17B10	0.154
ASNS	ABCE1	0.154
DLD	SDHB	0.153
DLD	MAT2A	0.153
DLD	MAT1A	0.153
DLD	MSI2	0.153
DLD	TXNRD2	0.153
DLD	MSI1	0.153
GOT2	GLRX	0.153
GOT2	PRPF40B	0.153
GOT2	HDAC5	0.153
GOT2	MARCH6	0.153
ASNS	RAB4A	0.153
ASNS	RAB21	0.153
NIT2	PSMD14	0.153
ASS1	MYC	0.153
DLD	HTT	0.152
DLD	HSPB2	0.152
DLD	WDR76	0.152
GOT2	SUMO3	0.152
GOT2	SUMO2	0.152
GOT2	SUMO1	0.152
GOT2	PIN1	0.152
GOT2	SUMO4	0.152
GOT2	PSMD14	0.152
GOT2	EIF1B	0.152
GOT2	PRPF40A	0.152
ASNS	KAT2B	0.152
ASNS	OTUB1	0.152
ASNS	EGFR	0.152
NIT2	ZCCHC13	0.152
ASS1	YWHAZ	0.152
ASS1	ASB18	0.152
DLD	SLC2A4	0.151
DLD	ATF2	0.151
DLD	PITRM1	0.151
DLD	OTUB1	0.151
ASL	BAG3	0.151
GAD1	ABL1	0.151
GAD1	FYN	0.151
GAD1	NCK1	0.151
GAD1	GRB2	0.151
GOT2	SLC2A4	0.151
ASNS	CSNK1A1	0.151
ASNS	CHEK1	0.151
NIT2	CNBP	0.151
ASS1	HSPA1B	0.151
ASS1	HSPA8	0.151
ASS1	HSPA6	0.151
ASS1	HSPA1L	0.151
ASS1	HSPA2	0.151
ASS1	ASB9	0.151
DLD	PDHA2	0.15
DLD	EEF1A1	0.15
DLD	EEF1A2	0.15
DLD	ASB15	0.15
DLD	GMPPB	0.15
ASL	HSPA1A	0.15
ASL	HSPA1B	0.15
ASL	DNAJA1	0.15
ASL	HSPA1L	0.15
ASL	DNAJA4	0.15
ASL	DNAJA2	0.15
GOT2	GRIN2B	0.15
ASNS	PSMC3	0.15
ASNS	CSNK1D	0.15
ASNS	CSNK1E	0.15
ASNS	PSMD2	0.15
ASS1	PSMC3	0.15
ASS1	FBXO6	0.15
