gene	node_type
DLD	gene
DDO	gene
DDO	gene
ASL	gene
ASPA	gene
GAD65	gene
GAD2	gene
GAD1	gene
GIG18	gene
GOT2	gene
GOT1L1	gene
NAT8L	gene
ASNS	gene
NIT2	gene
ASS1	gene
UBC	PPI
HSPA1B	PPI
DLAT	PPI
HSPA8	PPI
PDHB	PPI
DBT	PPI
BCKDHA	PPI
HSPA6	PPI
BCKDHB	PPI
GCSH	PPI
DLST	PPI
HSPA2	PPI
OGDH	PPI
PDK1	PPI
PDK2	PPI
PDK3	PPI
PDK4	PPI
PPM1K	PPI
PDPR	PPI
PDP1	PPI
PDP2	PPI
OGDHL	PPI
LIPT1	PPI
PDHX	PPI
BCKDK	PPI
PDHA1	PPI
STX1A	PPI
RIMS1	PPI
DNAJC5	PPI
SLC32A1	PPI
CPLX1	PPI
RAB3A	PPI
SYT1	PPI
SNAP25	PPI
STXBP1	PPI
VAMP2	PPI
NAT14	PPI
NAT9	PPI
NAA50	PPI
NAT10	PPI
NAT8	PPI
NAT2	PPI
NAT1	PPI
NAA20	PPI
NAA30	PPI
NAA40	PPI
SUMO3	PPI
NMRAL1	PPI
PEX5	PPI
CDR2	PPI
TBPL1	PPI
TBPL2	PPI
TBP	PPI
KAT2B	PPI
ZDHHC17	PPI
PEBP1	PPI
PRKCE	PPI
PRKACA	PPI
SUMO4	PPI
SUMO2	PPI
SUMO1	PPI
PSMD4	PPI
PSMD14	PPI
HSP90AB1	PPI
SURF1	PPI
NSFL1C	PPI
HSPA1L	PPI
PSEN1	PPI
NEDD4	PPI
NEDD4L	PPI
SOST	PPI
USP4	PPI
SIRT4	PPI
NPEPPS	PPI
KCNMA1	PPI
EZH2	PPI
ABCF1	PPI
ALDOA	PPI
ALDOB	PPI
ARAF	PPI
GRK5	PPI
VCAM1	PPI
CDK2	PPI
NPHS2	PPI
SYK	PPI
CMTM5	PPI
GAPDH	PPI
PGD	PPI
ESR2	PPI
NFS1	PPI
CSNK1D	PPI
HAAO	PPI
YWHAG	PPI
YWHAH	PPI
ATXN1	PPI
MLH1	PPI
HSD17B10	PPI
HSPA1A	PPI
DLG4	PPI
ICT1	PPI
ABCE1	PPI
SDHB	PPI
MAT2A	PPI
MAT1A	PPI
MSI2	PPI
TXNRD2	PPI
MSI1	PPI
GLRX	PPI
PRPF40B	PPI
HDAC5	PPI
MARCH6	PPI
RAB4A	PPI
RAB21	PPI
MYC	PPI
HTT	PPI
HSPB2	PPI
WDR76	PPI
PIN1	PPI
EIF1B	PPI
PRPF40A	PPI
OTUB1	PPI
EGFR	PPI
ZCCHC13	PPI
YWHAZ	PPI
ASB18	PPI
SLC2A4	PPI
ATF2	PPI
PITRM1	PPI
BAG3	PPI
ABL1	PPI
FYN	PPI
NCK1	PPI
GRB2	PPI
CSNK1A1	PPI
CHEK1	PPI
CNBP	PPI
ASB9	PPI
PDHA2	PPI
EEF1A1	PPI
EEF1A2	PPI
ASB15	PPI
GMPPB	PPI
DNAJA1	PPI
DNAJA4	PPI
DNAJA2	PPI
GRIN2B	PPI
PSMC3	PPI
CSNK1E	PPI
PSMD2	PPI
FBXO6	PPI
HSPA5	PPI
NME1	PPI
NME2	PPI
FUS	PPI
IPO4	PPI
HSPH1	PPI
ISYNA1	PPI
SIRT7	PPI
CLUH	PPI
HSPA4L	PPI
CLK1	PPI
SRPK2	PPI
ITGA4	PPI
EEF1G	PPI
CEP55	PPI
KPNA1	PPI
KPNA5	PPI
HSPD1	PPI
PGAM2	PPI
PGAM1	PPI
TAF6	PPI
TAF5	PPI
TAF9	PPI
DARS2	PPI
PGAM4	PPI
TAF9B	PPI
FNTA	PPI
JUN	PPI
DDX6	PPI
LSM1	PPI
TERF1	PPI
TERF2	PPI
LATS1	PPI
CTPS1	PPI
ATIC	PPI
PREPL	PPI
CTPS2	PPI
DNPEP	PPI
COQ6	PPI
VAMP4	PPI
VAMP3	PPI
ALDH3A2	PPI
NEDD8	PPI
ONECUT1	PPI
ATG101	PPI
DDA1	PPI
PRKAG2	PPI
HUWE1	PPI
GABARAPL1	PPI
MAP1LC3A	PPI
QARS	PPI
APCS	PPI
MDM2	PPI
CUL7	PPI
C11ORF68	PPI
ZDHHC6	PPI
CTNNBIP1	PPI
STT3A	PPI
STT3B	PPI
STRN4	PPI
CREB1	PPI
ASCC2	PPI
AKTIP	PPI
PMS2	PPI
FN1	PPI
NTRK1	PPI
COPS5	PPI
FBP1	PPI
HMOX1	PPI
LAMP1	PPI
LAMP2	PPI
RCC1	PPI
CSE1L	PPI
GNB1	PPI
OVGP1	PPI
XPO1	PPI
ACY3	PPI
GH1	PPI
EPB41	PPI
EEF2	PPI
VDAC1	PPI
MCC	PPI
MPG	PPI
HLA-B	PPI
HLA-C	PPI
