gene	node_type
NANP	gene
NAGK	gene
CHIT1	gene
CHIA	gene
GFPT2	gene
GFPT1	gene
B4GALNT3	gene
B4GALNT4	gene
GNPDA1	gene
GNPDA2	gene
PCYT1A	gene
PCYT1B	gene
PCYT2	gene
ST6GALNAC1	gene
ST6GALNAC2	gene
ST6GAL1	gene
ST6GAL2	gene
PGM3	gene
PGM1	gene
NPL	gene
GNPNAT1	gene
AMDHD2	gene
RENBP	gene
CMAS	gene
HK3	gene
HK1-TC	gene
HK1	gene
HKDC1	gene
HK2	gene
HK1-TC	PPI
UBC	PPI
POLR2B	PPI
MAT2A	PPI
MAT1A	PPI
POLR1B	PPI
PSMD14	PPI
KPNA1	PPI
KPNA5	PPI
MUC12	PPI
MUC1	PPI
MUC5AC	PPI
MUC3A	PPI
MUC2	PPI
MUC21	PPI
MUC17	PPI
MUC6	PPI
MUC19	PPI
MUC20	PPI
MUC15	PPI
MUC7	PPI
MUC16	PPI
MUCL1	PPI
MUC4	PPI
MUC3B	PPI
MUC13	PPI
MUC5B	PPI
TIGAR	PPI
VDAC1	PPI
PEA15	PPI
STK16	PPI
KPNA2	PPI
MAPK3	PPI
MAPK1	PPI
PRKACG	PPI
YWHAZ	PPI
PRKACB	PPI
PRKACA	PPI
PRKCE	PPI
S100A1	PPI
S100B	PPI
ACTB	PPI
LSM3	PPI
ACTA2	PPI
ACTA1	PPI
PARK2	PPI
HSP90AB1	PPI
PPP3CA	PPI
FAM134B	PPI
PPP3CB	PPI
SUMO2	PPI
SUMO1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBA3E	PPI
TUBB2B	PPI
TUBB4A	PPI
GPD1L	PPI
RHOA	PPI
TUBA1A	PPI
GPD1	PPI
AKAP4	PPI
EIF3G	PPI
PSMA3	PPI
RPS8	PPI
ALDOC	PPI
SUMO3	PPI
SUMO4	PPI
PAK1	PPI
ALDOB	PPI
CPEB3	PPI
NEURL1B	PPI
NEURL1	PPI
UQCRC1	PPI
MCM7	PPI
CAMK2B	PPI
EPN2	PPI
IGFBP4	PPI
LEP	PPI
PTGDS	PPI
MPP5	PPI
ZBTB17	PPI
GRN	PPI
SPRTN	PPI
NR1H2	PPI
NR1H3	PPI
CDC7	PPI
NCOR1	PPI
USP4	PPI
TUBB3	PPI
NEDD8	PPI
DACH1	PPI
KAT2B	PPI
USP46	PPI
LRRK2	PPI
PSMD2	PPI
TTC27	PPI
ENO3	PPI
SMAD6	PPI
NOS2	PPI
USP10	PPI
WRNIP1	PPI
YWHAQ	PPI
YWHAB	PPI
WASL	PPI
ECM29	PPI
MTHFD2	PPI
PSMC3	PPI
ME2	PPI
ATL3	PPI
ATL2	PPI
ATL1	PPI
AKT1	PPI
CCT6A	PPI
CCT6B	PPI
GCN1	PPI
PDHA1	PPI
PDHA2	PPI
PRDX2	PPI
SHMT1	PPI
ACACA	PPI
PRDX4	PPI
XPO1	PPI
HSPA2	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
ATP6V1D	PPI
ATIC	PPI
POU5F1	PPI
POU5F1B	PPI
DDX6	PPI
RAB17	PPI
UBD	PPI
HSP90AA1	PPI
EEF1G	PPI
SHMT2	PPI
PSMC2	PPI
TUFM	PPI
IDH3A	PPI
CCT8	PPI
PSMD4	PPI
DDX55	PPI
TUBA8	PPI
RUVBL2	PPI
GMPPB	PPI
RNF126	PPI
ATP6V1A	PPI
PSMC5	PPI
ILF2	PPI
UPF1	PPI
ACTR2	PPI
CAMK1	PPI
CAMK4	PPI
PNCK	PPI
CAMK1D	PPI
CAMK1G	PPI
PSKH1	PPI
COPB2	PPI
RYR1	PPI
ICT1	PPI
IKBKB	PPI
LMO1	PPI
LNX2	PPI
WDYHV1	PPI
MTNR1A	PPI
FBXW7	PPI
ABCF3	PPI
PRKAA2	PPI
HSPB2	PPI
BRCA1	PPI
APP	PPI
UBQLN1	PPI
BAG3	PPI
SLC2A4	PPI
HMGA2	PPI
ARG2	PPI
PARD6G	PPI
PARD6A	PPI
CEP170	PPI
EXOSC2	PPI
KIF1B	PPI
DNAJB6	PPI
CDK2	PPI
RAB13	PPI
WDR76	PPI
EGFR	PPI
ENO1	PPI
PGK1	PPI
ARG1	PPI
PGK2	PPI
UBA52	PPI
AARS2	PPI
SPTLC3	PPI
STXBP5L	PPI
ARFGEF2	PPI
ARFGEF1	PPI
SPTLC2	PPI
RANBP6	PPI
MYC	PPI
HSPA1L	PPI
CNBP	PPI
ZCCHC13	PPI
GAN	PPI
SNCA	PPI
ENO2	PPI
ATF2	PPI
RCC1	PPI
DCP2	PPI
IPO7	PPI
GAPDH	PPI
ALDH2	PPI
SLC25A5	PPI
TUBB	PPI
SLC25A4	PPI
SLC25A6	PPI
CTPS1	PPI
ALDH1B1	PPI
