gene	node_type
NOS1	gene
NOS2	gene
NOS3	gene
ASL	gene
MAOA	gene
MAOB	gene
PYCR3	gene
PYCR1	gene
PYCR2	gene
PYCRL	gene
P5CR2	gene
P4HA3	gene
P4HA1	gene
P4HA2	gene
GIG18	gene
GOT2	gene
GOT1L1	gene
ASS1	gene
AGMAT	gene
MRI1	gene
MTAP-ANRIL FUSION	gene
MTAP	gene
MTAP	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
SAT1	gene
SAT2	gene
DKFZP686G18136	gene
AMD1	gene
MTAP-ANRIL FUSION	PPI
DKFZP686G18136	PPI
DLG4	PPI
STUB1	PPI
UBC	PPI
ATP2B4	PPI
RELA	PPI
SPSB1	PPI
SPSB2	PPI
AKT1	PPI
DNM2	PPI
CALM1	PPI
CAV1	PPI
NOSTRIN	PPI
ZDHHC21	PPI
NOSIP	PPI
WASL	PPI
LYPLA1	PPI
HSP90AA1	PPI
COL1A1	PPI
COL3A1	PPI
P4HB	PPI
COL1A2	PPI
COL10A1	PPI
NMRAL1	PPI
HSPD1	PPI
PSMD14	PPI
TCF25	PPI
HSPA8	PPI
SNTA1	PPI
SPSB4	PPI
SIRT1	PPI
HSPE1	PPI
RNF180	PPI
DYNLL1	PPI
UCHL5	PPI
SLC7A1	PPI
PDIA2	PPI
RASD1	PPI
CAMKK1	PPI
PTGS2	PPI
CAV3	PPI
DLGAP1	PPI
GRIN2A	PPI
MAST1	PPI
MAST3	PPI
ARG2	PPI
HBA1	PPI
HSPA1B	PPI
HSPA6	PPI
HSPA2	PPI
ADRB3	PPI
CDR2	PPI
ADRA1A	PPI
HTR2B	PPI
ADRA1D	PPI
VAC14	PPI
DNM1	PPI
ADRM1	PPI
SLC9A3R1	PPI
MYO5A	PPI
BDKRB2	PPI
MYO5C	PPI
PTPN6	PPI
TBPL1	PPI
TBPL2	PPI
SIRT3	PPI
CALML3	PPI
PFKM	PPI
PARK7	PPI
CTNNB1	PPI
RAC2	PPI
ACTN2	PPI
ACTN4	PPI
ACTN1	PPI
TBP	PPI
KAT2B	PPI
UBB	PPI
UBA52	PPI
NFKB1	PPI
RPS27A	PPI
SUMO1	PPI
RAC1	PPI
SCN7A	PPI
HSPA4	PPI
ZDHHC23	PPI
NR4A2	PPI
RCOR1	PPI
HDAC3	PPI
NFKBIA	PPI
REL	PPI
ARRB1	PPI
ARRB2	PPI
HIF1A	PPI
RACK1	PPI
CUL5	PPI
SLC25A3	PPI
PRDX2	PPI
PRDX4	PPI
SYN1	PPI
ESR1	PPI
SRC	PPI
CTBP1	PPI
MDH2	PPI
NOS1AP	PPI
SUMO4	PPI
DMD	PPI
CAMK2A	PPI
SUMO3	PPI
TCEB1	PPI
FDXR	PPI
FHIT	PPI
S100A9	PPI
LYZ	PPI
S100A8	PPI
ETFB	PPI
DLG2	PPI
HIST1H4A	PPI
GAPDH	PPI
PRKAA2	PPI
PSMD4	PPI
PRKCE	PPI
CALML6	PPI
CALML5	PPI
VHL	PPI
GUCY1B3	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
SLC6A4	PPI
PRKAR2B	PPI
SLC6A3	PPI
INADL	PPI
POU5F1B	PPI
FBXL12	PPI
PICK1	PPI
POU5F1	PPI
SEC23A	PPI
COPB2	PPI
TBL1Y	PPI
TBL1X	PPI
HSP90AB1	PPI
PPARG	PPI
TBL1XR1	PPI
MTNR1B	PPI
SCN5A	PPI
NSFL1C	PPI
ACTB	PPI
FASTKD3	PPI
NPEPPS	PPI
SUMO2	PPI
CDC14A	PPI
CDC14B	PPI
NEDD4L	PPI
NEDD4	PPI
SRP54	PPI
RC3H2	PPI
LMNA	PPI
CNBP	PPI
ZCCHC13	PPI
HOXB9	PPI
RC3H1	PPI
MYH7	PPI
MYH14	PPI
MYH15	PPI
MYH4	PPI
MYH7B	PPI
MYH1	PPI
KAT5	PPI
TP53	PPI
SOST	PPI
USP4	PPI
MYH3	PPI
MYH8	PPI
PPP2R1B	PPI
MYH10	PPI
MYH11	PPI
HNRNPK	PPI
MYH2	PPI
MYH13	PPI
PLAA	PPI
RDH12	PPI
PPP2R1A	PPI
GRIN1	PPI
GRIN2B	PPI
SIRT4	PPI
CDKN2B	PPI
MYH9	PPI
PGD	PPI
RPF2	PPI
KCND3	PPI
MME	PPI
COX5B	PPI
CCDC148	PPI
SF1	PPI
KCNMA1	PPI
SNRNP70	PPI
CSNK1D	PPI
RBM17	PPI
HKDC1	PPI
ALDOA	PPI
ALDOB	PPI
ARAF	PPI
TNFAIP2	PPI
LRRK2	PPI
WRAP73	PPI
CEBPA	PPI
GRK5	PPI
CDK2	PPI
RAB1A	PPI
ALDH3B1	PPI
SLC7A5	PPI
ASPH	PPI
KRT81	PPI
HERC1	PPI
COPRS	PPI
QPCTL	PPI
PARP4	PPI
SQRDL	PPI
ZSWIM8	PPI
AGR2	PPI
SERPINE1	PPI
