gene	node_type
GCK	gene
HK1	gene
HK2	gene
HK3	gene
NOL9	gene
FAM20B	gene
FGGY	gene
FN3KRP	gene
FN3K	gene
NUP214	PPI
NUP62	PPI
NUP153	PPI
RANBP2	PPI
NUP98	PPI
NUP107	PPI
RAE1	PPI
NUP160	PPI
GCKR	PPI
NUP188	PPI
NUP54	PPI
NUP93	PPI
NUP43	PPI
NUP37	PPI
NUP35	PPI
NUP210	PPI
NUP133	PPI
NUP205	PPI
SEH1L	PPI
POM121	PPI
NUP88	PPI
NDC1	PPI
NUP58	PPI
NUP85	PPI
AAAS	PPI
NUP50	PPI
POM121C	PPI
NUPL2	PPI
NUP155	PPI
UBC	PPI
TPR	PPI
PELP1	PPI
WDR18	PPI
WDR12	PPI
SENP3	PPI
TEX10	PPI
LAS1L	PPI
PES1	PPI
BOP1	PPI
TIGAR	PPI
VDAC1	PPI
PEA15	PPI
MIDN	PPI
PFKFB1	PPI
PFKFB3	PPI
PFKFB2	PPI
PRKCE	PPI
FOXA2	PPI
PARK2	PPI
HSP90AB1	PPI
PRKACG	PPI
PRKACB	PPI
PPP1CC	PPI
PPP1CA	PPI
PRKACA	PPI
PPP3CA	PPI
FAM134B	PPI
PPP3CB	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBA3E	PPI
TUBB2B	PPI
TUBB4A	PPI
RHOA	PPI
TUBA1A	PPI
AKAP4	PPI
PCNA	PPI
ALDOC	PPI
BRMS1L	PPI
WASF1	PPI
BAD	PPI
BRMS1	PPI
CPEB3	PPI
NEURL1B	PPI
NEURL1	PPI
ALDOB	PPI
UQCRC1	PPI
CAMK2B	PPI
EPN2	PPI
IGFBP4	PPI
LEP	PPI
PTGDS	PPI
ZBTB17	PPI
GRN	PPI
NR1H2	PPI
NR1H3	PPI
NCOR1	PPI
SUMO2	PPI
TUBB3	PPI
NEDD8	PPI
ABCF1	PPI
DDX41	PPI
WRAP73	PPI
YWHAQ	PPI
YWHAB	PPI
YWHAZ	PPI
LRRK2	PPI
AKT1	PPI
HSPA1B	PPI
DDX6	PPI
POU5F1B	PPI
UBD	PPI
POU5F1	PPI
UBL4A	PPI
HSPA2	PPI
HSPA8	PPI
HSPA6	PPI
ICT1	PPI
MNDA	PPI
APP	PPI
RAB17	PPI
UBQLN1	PPI
IFI16	PPI
NSFL1C	PPI
EGFR	PPI
WDR76	PPI
CDK2	PPI
RAB13	PPI
ENO1	PPI
SLC2A4	PPI
UBA52	PPI
PSMD14	PPI
RCC1	PPI
SNCA	PPI
MYC	PPI
ENO2	PPI
ATF2	PPI
HSPA1A	PPI
HSPA1L	PPI
FBXO6	PPI
FOXP3	PPI
PASK	PPI
SIRT7	PPI
SOX2	PPI
HSP90AA1	PPI
IFT27	PPI
ITGA4	PPI
VCAM1	PPI
MCM2	PPI
STAU1	PPI
THG1L	PPI
MAX	PPI
NMES1	PPI
UBQLN4	PPI
ELAVL1	PPI
USP43	PPI
LIG4	PPI
SUMO3	PPI
SUMO1	PPI
IQCB1	PPI
GBAS	PPI
NDUFA4	PPI
COQ9	PPI
FOXI2	PPI
BARD1	PPI
WDR4	PPI
KYNU	PPI
METTL1	PPI
ATG101	PPI
FOXL2	PPI
FOXL1	PPI
IRF3	PPI
FOXB1	PPI
EED	PPI
FOXH1	PPI
MITF	PPI
RNF2	PPI
FOXQ1	PPI
XPO1	PPI
BMI1	PPI
INO80	PPI
CSE1L	PPI
NFKB1	PPI
MDM2	PPI
SCMH1	PPI
NTRK1	PPI
PPP2CB	PPI
ATF4	PPI
DDI2	PPI
DDI1	PPI
NOTCH3	PPI
EIF4EBP3	PPI
ATP6V1B2	PPI
NOTCH1	PPI
NOTCH2	PPI
EIF4EBP1	PPI
EIF4EBP2	PPI
TAF1	PPI
HNF4A	PPI
CUL4B	PPI
CNTRL	PPI
FBF1	PPI
NPHP1	PPI
MAGEA12	PPI
ATP6V1B1	PPI
CUL3	PPI
SLC25A35	PPI
EARS2	PPI
SLC25A34	PPI
AADAT	PPI
AKR1E2	PPI
AKR1B15	PPI
SEC22C	PPI
TTC26	PPI
TCF4	PPI
REL	PPI
AHNAK	PPI
PEX19	PPI
SYNE4	PPI
TBCK	PPI
P2RX4	PPI
GOLPH3	PPI
TOR1A	PPI
EAF1	PPI
PIGR	PPI
LTF	PPI
LACRT	PPI
EEA1	PPI
COPB2	PPI
GLRX	PPI
PSMC2	PPI
MAP2K2	PPI
ATP5C1	PPI
ATP6V1E1	PPI
LONP1	PPI
PGM1	PPI
DLST	PPI
TALDO1	PPI
HSPA9	PPI
MDH2	PPI
EIF2S3	PPI
GARS	PPI
IARS	PPI
SKIV2L2	PPI
RBM34	PPI
RANBP1	PPI
PSMC4	PPI
VDAC2	PPI
