gene	node_type
GAD65	gene
GAD2	gene
GAD1	gene
SMS	gene
SRM	gene
HIBCH	gene
ECHS1	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
STX1A	PPI
RIMS1	PPI
DNAJC5	PPI
SLC32A1	PPI
CPLX1	PPI
HSPA8	PPI
RAB3A	PPI
SYT1	PPI
SNAP25	PPI
STXBP1	PPI
VAMP2	PPI
UBC	PPI
HSPD1	PPI
PSMD14	PPI
HSPE1	PPI
SIRT3	PPI
STAT3	PPI
ZDHHC17	PPI
PRDX2	PPI
PRDX4	PPI
MDH2	PPI
SUMO4	PPI
SUMO3	PPI
SUMO1	PPI
FDXR	PPI
FHIT	PPI
ETFB	PPI
PRKCE	PPI
PRKACA	PPI
LRRK2	PPI
PRKAA2	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
FBXL12	PPI
HACL1	PPI
MAPK12	PPI
MAPK13	PPI
MAPK11	PPI
MAPK14	PPI
FASTKD3	PPI
NPEPPS	PPI
SUMO2	PPI
CDC14A	PPI
CDC14B	PPI
SRP54	PPI
CNBP	PPI
ZCCHC13	PPI
PSEN1	PPI
H2AFX	PPI
MYH7	PPI
MYH14	PPI
MYH15	PPI
MYH4	PPI
MYH7B	PPI
MYH1	PPI
CAPN1	PPI
MYH3	PPI
MYH8	PPI
PPP2R1B	PPI
MYH10	PPI
MYH11	PPI
HNRNPK	PPI
MYH2	PPI
MYH13	PPI
PLAA	PPI
RDH12	PPI
PPP2R1A	PPI
SIRT4	PPI
MYH9	PPI
PGD	PPI
RPF2	PPI
GRB2	PPI
MME	PPI
LRRK1	PPI
UCHL5	PPI
COX5B	PPI
CSNK1D	PPI
TRIM63	PPI
VCAM1	PPI
SMURF2	PPI
RAB1A	PPI
SPATA5	PPI
TRAPPC3L	PPI
TRAPPC3	PPI
CMTM5	PPI
MRPS2	PPI
PSMC3	PPI
MRPS16	PPI
FERMT1	PPI
TUBB	PPI
PSMD4	PPI
TUBB4B	PPI
PSMD2	PPI
TUBB3	PPI
TUBB2A	PPI
TUBB8	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
TUBB4A	PPI
MMS19	PPI
EXOSC10	PPI
HAAO	PPI
IFRD2	PPI
CYHR1	PPI
FERMT3	PPI
SLC26A11	PPI
OSR1	PPI
FERMT2	PPI
GTPBP2	PPI
ING2	PPI
IFRD1	PPI
DDX6	PPI
BTRC	PPI
NELFB	PPI
HSPA2	PPI
HSPA1B	PPI
HSPA6	PPI
ABCE1	PPI
PSMC2	PPI
TAF12	PPI
PARK7	PPI
ING1	PPI
HSPA1A	PPI
DLG4	PPI
AIM2	PPI
EGFR	PPI
LMNA	PPI
SKP1	PPI
UBE2I	PPI
ICT1	PPI
ALDH1A1	PPI
PRPF40B	PPI
STAG2	PPI
MARCH6	PPI
PRPF40A	PPI
CCDC150	PPI
OTUB1	PPI
YWHAZ	PPI
GRAP	PPI
ENO2	PPI
ENO3	PPI
CBS	PPI
RAB35	PPI
HSPB2	PPI
RAB33B	PPI
RAB21	PPI
RAB19	PPI
TNPO2	PPI
MYC	PPI
ABL1	PPI
FYN	PPI
NCK1	PPI
C14ORF142	PPI
USP10	PPI
CRY2	PPI
EFHC1	PPI
COA7	PPI
HSPA1L	PPI
YPEL5	PPI
SLC2A4	PPI
TPR	PPI
RAB6A	PPI
CCT8	PPI
EIF6	PPI
TNPO1	PPI
ACSS1	PPI
XPO1	PPI
ALDH1A2	PPI
FAF2	PPI
ACSS2	PPI
ATP6V1B2	PPI
ATP6V1B1	PPI
UTP20	PPI
SLC25A5	PPI
BPGM	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
PGAM2	PPI
PGAM1	PPI
DNAJB1	PPI
CAD	PPI
MAT2A	PPI
DNAJA1	PPI
HSPA9	PPI
CCT6A	PPI
CSNK1A1	PPI
IDH3A	PPI
DNAJB13	PPI
EIF4A1	PPI
RAN	PPI
EEF1A1	PPI
TUBA1B	PPI
CCT2	PPI
MAT1A	PPI
EEF1A2	PPI
GFPT1	PPI
TUBA3C	PPI
EIF4A2	PPI
TUBA3E	PPI
PGAM4	PPI
IPO4	PPI
DNAJA4	PPI
CCT6B	PPI
SLC25A31	PPI
TUBA8	PPI
DNAJB4	PPI
RUVBL2	PPI
GMPPB	PPI
TUBAL3	PPI
DNAJA2	PPI
CLUH	PPI
DNAJB5	PPI
GFPT2	PPI
CALM1	PPI
IFT27	PPI
UBD	PPI
TUBA4A	PPI
LAGE3	PPI
INADL	PPI
ITGA4	PPI
PEX14	PPI
CSNK1E	PPI
CLTCL1	PPI
CLTC	PPI
TUBA1A	PPI
HSPH1	PPI
HSPA4L	PPI
GNB1	PPI
NEDD8	PPI
XRN2	PPI
FBXO6	PPI
JUN	PPI
NUP43	PPI
TP53RK	PPI
OSGEP	PPI
TPRKB	PPI
