gene	node_type
CH25H	gene
CYP26C1	gene
CYP20A1	gene
HADHB	gene
ACAA2	gene
ACAA1	gene
AKR1D1	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
ACOX3	gene
ACOX1	gene
ACOT8	gene
ACO2	gene
HEL-S-284	gene
CDYL	gene
HTD2	gene
COQ7	gene
CYP2B6	gene
CYP26B1	gene
CYP26A1	gene
CYP2A6	gene
COQ6	gene
SULT1C3	gene
SULT2B1	gene
ACOT7L	gene
THEM4	gene
ACOT2	gene
THEM5	gene
ACOT4	gene
ACOT1	gene
ACOT7	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
SLC27A5	gene
AMACR	gene
SOAT1	gene
SOAT2	gene
LIPA	gene
SUCLG2	gene
DKFZP686D0880	gene
SLC27A1	gene
SLC27A4	gene
SLC27A3	gene
ACSF2	gene
AASDH	gene
ACSF3	gene
UBA3	gene
DKFZP686D0880	PPI
MYC	PPI
MAX	PPI
E2F1	PPI
ONECUT1	PPI
CYP2R1	PPI
CYP4V2	PPI
CYP2U1	PPI
CYP4Z1	PPI
CYP4X1	PPI
CYP2W1	PPI
CYP2S1	PPI
CYP3A43	PPI
CYP4F11	PPI
CYP4F12	PPI
CYP39A1	PPI
CYP8B1	PPI
CYP46A1	PPI
CYP27B1	PPI
CYP7B1	PPI
CYP1A1	PPI
CYP17A1	PPI
CYP11A1	PPI
CYP1A2	PPI
CYP2E1	PPI
CYP3A4	PPI
CYP21A2	PPI
UBC	PPI
CYP2C8	PPI
CYP2D6	PPI
CYP19A1	PPI
CYP2C9	PPI
CYP4B1	PPI
CYP11B1	PPI
CYP11B2	PPI
CYP3A5	PPI
CYP2A7	PPI
CYP7A1	PPI
CYP3A7	PPI
CYP2F1	PPI
CRABP1	PPI
CYP2C18	PPI
CYP2C19	PPI
CYP2J2	PPI
CYP4F2	PPI
CYP4F8	PPI
CYP27A1	PPI
CYP24A1	PPI
CYP4F3	PPI
CYP1B1	PPI
CYP2A13	PPI
CYP51A1	PPI
CYP27C1	PPI
CYP4F22	PPI
RRBP1	PPI
NOVA2	PPI
APP	PPI
NOVA1	PPI
SUMO3	PPI
GABARAPL2	PPI
SUMO2	PPI
GRB2	PPI
YWHAZ	PPI
YBX1	PPI
NFKB2	PPI
PRKCE	PPI
MAP3K1	PPI
SQSTM1	PPI
COX17	PPI
GRB7	PPI
KPNB1	PPI
CUL7	PPI
FASTKD3	PPI
IQCB1	PPI
HSPB2	PPI
SMN1	PPI
PAN2	PPI
TNNI3K	PPI
MEX3C	PPI
EDC4	PPI
SLC39A4	PPI
SMARCD3	PPI
HUWE1	PPI
KSR1	PPI
TMEFF1	PPI
CHCHD4	PPI
LEO1	PPI
RTF1	PPI
SMARCD2	PPI
TNPO1	PPI
IGSF8	PPI
LRRC46	PPI
SMARCD1	PPI
NAF1	PPI
HSD17B10	PPI
ATG101	PPI
DDA1	PPI
MAP1LC3C	PPI
MAP1LC3B	PPI
GABARAPL1	PPI
MAP1LC3A	PPI
SYNDIG1	PPI
MED4	PPI
FBXO6	PPI
MED23	PPI
PPP6R1	PPI
TIMM8B	PPI
RIPK2	PPI
SMAD6	PPI
DUX1	PPI
PARK2	PPI
RPS6KA5	PPI
GABARAP	PPI
EGFR	PPI
TK1	PPI
NTRK1	PPI
TP53	PPI
JUN	PPI
ADRB2	PPI
MGP	PPI
LAMP1	PPI
SKI	PPI
CDH1	PPI
LAMP2	PPI
PRKAR2A	PPI
SLC2A4	PPI
ATF2	PPI
KCNA6	PPI
VCL	PPI
RCC1	PPI
CSNK2A2	PPI
ANXA7	PPI
TAF1	PPI
TUBG1	PPI
CDK2	PPI
PSMA3	PPI
YWHAQ	PPI
MAPK3	PPI
MAPK1	PPI
PRKAR2B	PPI
YWHAB	PPI
GRK5	PPI
CTNNB1	PPI
CDKN1A	PPI
PEX19	PPI
HADHA	PPI
HNF4A	PPI
LIMS1	PPI
NES	PPI
MCM2	PPI
SUOX	PPI
MTIF2	PPI
HINT1	PPI
GDI2	PPI
GSTO1	PPI
KCNMA1	PPI
RGN	PPI
PREPL	PPI
RPGRIP1L	PPI
ATL3	PPI
ARMC6	PPI
ATL2	PPI
ATL1	PPI
TRMT61B	PPI
TKTL2	PPI
GSTO2	PPI
ISYNA1	PPI
CNTNAP2	PPI
TERT	PPI
LAMTOR5	PPI
CALU	PPI
NPHP4	PPI
ALDOA	PPI
ALDOB	PPI
ENO1	PPI
ANXA6	PPI
ENO2	PPI
DLD	PPI
UCHL3	PPI
NME1	PPI
NME2	PPI
MSN	PPI
FKBP2	PPI
CALR	PPI
TKT	PPI
GDI1	PPI
STIP1	PPI
MDH2	PPI
MTHFD2	PPI
DNAJA1	PPI
HSPA4	PPI
EIF1AX	PPI
PEX5	PPI
HMGA2	PPI
PRKAA2	PPI
WDR5	PPI
ECH1	PPI
C6ORF226	PPI
TXNDC11	PPI
WDR5B	PPI
DNAJA4	PPI
HSPH1	PPI
TRAPPC9	PPI
PFDN4	PPI
RAB21	PPI
PEX7	PPI
HAT1	PPI
DNAJA2	PPI
COQ9	PPI
HSPA4L	PPI
HSP90AB1	PPI
PGD	PPI
AKR1C2	PPI
CLTCL1	PPI
HSPA2	PPI
BCAT1	PPI
PSMD4	PPI
CSE1L	PPI
VCP	PPI
