V1	V2
TTLL4	PCM1
TTLL4	LZTS2
TTLL4	NXF1
TTLL4	NTN3
TTLL4	XPO1
TTLL4	NTN1
TTLL4	UBC
TTLL5	CEP128
TTLL5	CEP120
TTLL5	PDLIM5
TTLL5	LRRCC1
TTLL5	SETD5
TTLL5	MED4
TTLL5	GAR1
TTLL5	CEP72
TTLL5	CEP131
TTLL5	ANKRD26
TTLL5	TP73
TTLL5	CREB3
TTLL5	OFD1
TTLL5	FGFR1OP
TTLL5	PTTG1
TTLL5	TP53
TTLL5	UBC
TTLL5	CDKN1A
TTLL5	THBS3
TTLL5	PCM1
TTLL5	CCDC14
TTLL5	CEP135
TTLL1	CDC27
TTLL1	RAD23B
TTLL1	CDC16
TTLL1	HERC1
TTLL1	TPGS2
TTLL1	TPGS1
TTLL1	LRRC49
TTLL1	TBC1D19
TTLL1	CCT6B
TTLL1	ANAPC16
TTLL1	VCPIP1
TTLL1	ANAPC1
TTLL1	C11orf49
TTLL1	DNAJB4
TTLL1	CDC23
TTLL1	ANAPC5
TTLL1	ANAPC4
TTLL1	ANAPC2
TTLL1	INO80
TTLL1	HECTD1
TTLL1	NTN3
TTLL1	NTN1
TTLL6	TBC1D16
TTLL6	NTN3
TTLL6	NTN1
TTLL6	APP
TTLL6	MAPT
TTLL6	MYH9
TTLL7	KRT73
TTLL7	ANKRD13B
TTLL7	ZDHHC17
TTLL7	UBR2
TTLL7	JARID2
TTLL7	SETD2
TTLL7	SS18L2
TTLL7	TK2
TTLL7	NUDT3
TTLL7	APP
TTLL7	TAF1
TTLL7	MEF2A
TTLL7	CUL4B
TTLL7	ESPL1
TTLL7	CDC42BPA
TTLL11	MOV10
TTLL11	SHMT2
TTLL11	DLG4
GCH1	ALDH1B1
GCH1	POLR2B
GCH1	MAT2A
GCH1	PRKAR1B
GCH1	PRKAR2B
GCH1	DNAJA1
GCH1	STIP1
GCH1	PRDX2
GCH1	HIST1H2BB
GCH1	HSPA1L
GCH1	HSPA4
GCH1	CBS
GCH1	GCK
GCH1	ATP5C1
GCH1	DLST
GCH1	TALDO1
GCH1	HSPA9
GCH1	CAP2
GCH1	PSMC4
GCH1	VDAC2
GCH1	MAP2K4
GCH1	ALDH1A3
GCH1	PSMD8
GCH1	CCT3
GCH1	SARS
GCH1	PSMB3
GCH1	PSMB2
GCH1	EIF2B2
GCH1	RGS19
GCH1	CCT8
GCH1	RAB5C
GCH1	IDH3G
GCH1	PRKX
GCH1	PGD
GCH1	KPNA1
GCH1	SUCLG1
GCH1	COPA
GCH1	CLTCL1
GCH1	MAPK12
GCH1	MAPK10
GCH1	HSPA2
GCH1	VCP
GCH1	NAP1L1
GCH1	EIF6
GCH1	HIST1H2BD
GCH1	DNAJB13
GCH1	ACTB
GCH1	EIF4A1
GCH1	DSTN
GCH1	RAB5B
GCH1	ACTR2
GCH1	PSMC5
GCH1	YWHAE
GCH1	PPP2CB
GCH1	ACTA2
GCH1	HIST1H2BC
GCH1	PPIA
GCH1	RPS27A
GCH1	UBA52
GCH1	YWHAZ
GCH1	SKP1
GCH1	EIF5A
GCH1	ACTG1
GCH1	ACTG2
GCH1	PPP2CA
GCH1	CSNK2B
GCH1	ACTC1
GCH1	EEF1A1
GCH1	ACTA1
GCH1	TUBA1B
GCH1	TUBA4A
GCH1	TUBB4B
GCH1	CSNK2A1
GCH1	MAT1A
GCH1	CLTC
GCH1	GALK2
GCH1	CAP1
GCH1	PFKP
GCH1	SP3
GCH1	EEF1A2
GCH1	PPID
GCH1	ACACA
GCH1	RLF
GCH1	PRDX4
GCH1	MAP2K5
GCH1	MAPK7
GCH1	EIF3I
GCH1	PPP2R5C
GCH1	TUBB3
GCH1	CUL1
GCH1	CUL2
GCH1	TUBA3C
GCH1	TUBB2A
GCH1	EIF3A
GCH1	GIT2
GCH1	EIF4A2
GCH1	PPP2R5D
GCH1	KPNB1
GCH1	PPP2R5A
GCH1	PPP2R5B
GCH1	PPA1
GCH1	MPPED2
GCH1	PPP2R5E
GCH1	CDC37
GCH1	HIST2H2BE
GCH1	TUBB8
GCH1	HIST2H2BF
GCH1	ATL3
GCH1	EIF5AL1
GCH1	TUBA3E
GCH1	DHRS11
GCH1	TUBA1A
GCH1	H2BFWT
GCH1	PGAM4
GCH1	HIST3H2BB
GCH1	CAMKK1
GCH1	ATL2
GCH1	THOC2
GCH1	CALML6
GCH1	IPO4
GCH1	DNAJA4
GCH1	ATL1
GCH1	HSPH1
GCH1	HIST1H2BH
GCH1	HIST1H2BA
GCH1	DNAJA3
GCH1	CNRIP1
GCH1	SDSL
GCH1	OSBPL9
GCH1	EIF3C
GCH1	NAP1L4
GCH1	CCT7
GCH1	HIST1H2BN
GCH1	HIST1H2BM
GCH1	HIST1H2BL
GCH1	AGPAT1
GCH1	SH3GL2
GCH1	TUBB6
GCH1	NTMT1
GCH1	TUBB2B
GCH1	MLST8
GCH1	RIOK2
GCH1	FUT8
GCH1	WDR12
GCH1	EIF5A2
GCH1	NACA2
GCH1	SLC25A31
GCH1	DDX47
GCH1	PPA2
GCH1	TUBB1
GCH1	CSNK1G1
GCH1	TUBA8
GCH1	CALML5
GCH1	DNAJB4
GCH1	PACSIN3
GCH1	RAB26
GCH1	NAP1L2
GCH1	PPIE
GCH1	RUVBL2
GCH1	VDAC3
GCH1	CFL2
GCH1	RPH3A
GCH1	GMPPB
GCH1	PSAT1
GCH1	TUBAL3
GCH1	EIF4E1B
GCH1	EIF3CL
GCH1	PSMD11
GCH1	IPO5
GCH1	AGPAT2
GCH1	KPNA5
GCH1	MPPED1
GCH1	IDH3B
GCH1	RANBP6
GCH1	EIF4E2
GCH1	HIST1H2BK
GCH1	DNAJA2
GCH1	CS
GCH1	PPM1B
GCH1	EIF3G
GCH1	DNAJB5
GCH1	ALDH1A2
GCH1	IPO7
GCH1	AHSA1
GCH1	NSA2
GCH1	HSPA4L
GCH1	ALDH1A1
GCH1	SOD1
GCH1	OTC
GCH1	SOD2
GCH1	OAT
GCH1	TUBB4A
GCH1	ATP1B1
GCH1	ALDH2
GCH1	SLC25A5
GCH1	ATP5B
GCH1	EIF4E
GCH1	GPI
GCH1	HIST1H2BJ
GCH1	TUBB
GCH1	BPGM
GCH1	APRT
GCH1	HSP90AA1
GCH1	GALT
GCH1	PFKM
GCH1	HSP90AB1
GCH1	PDHA1
GCH1	DLD
GCH1	UBC
GCH1	HSPA1A
GCH1	HSPA1B
GCH1	DLAT
GCH1	PRKAR1A
GCH1	HSPD1
GCH1	HSPA8
GCH1	PC
GCH1	SLC25A4
GCH1	SLC25A6
GCH1	PRKAR2A
GCH1	PGAM2
GCH1	ATP6V1B1
GCH1	HSPA6
GCH1	PRKACA
GCH1	PFKL
GCH1	PGAM1
GCH1	HK1
GCH1	SRM
GCH1	SDS
GCH1	RAB5A
GCH1	ATP6V1B2
GCH1	VDAC1
GCH1	UBA1
GCH1	PRKACG
GCH1	PRKACB
GCH1	AHCY
GCH1	HIST1H2BO
GCH1	CFL1
GCH1	CCNC
GCH1	DNAJB1
GCH1	ATP5A1
GCH1	CAD
GCH1	PDHA2
GCH1	PRDX5
GCH1	GCHFR
GCH1	PRDX3
GCH1	PPP2R1A
GCH1	PPP2R1B
GCH1	PPIF
SPR	YWHAZ
SPR	CDK6
SPR	KCNMA1
SPR	PRKG2
SPR	PTCH1
SPR	UNC50
SPR	AZIN2
SPR	UBXN6
SPR	ANO10
SPR	PTCH2
SPR	AZIN1
SPR	UBC
SPR	CDK4
SPR	ODC1
SPR	YWHAQ
ALPL	UBC
ALPL	HSPA1B
ALPL	HSPA8
ALPL	TPR
ALPL	HSPA6
ALPL	HSPA1L
ALPL	HSPA4
ALPL	HTT
ALPL	HSPA2
ALPL	SUMO3
ALPL	SUMO2
ALPL	SUMO1
ALPL	EEF1A1
ALPL	HIST1H3A
ALPL	SRPK2
ALPL	H3F3A
ALPL	TRAF2
ALPL	TRAF3
ALPL	EIF4A2
ALPL	HIST3H3
ALPL	SUMO4
ALPL	H3F3C
ALPL	TEX261
ALPL	HIST2H3A
ALPL	NUP93
ALPL	HSPH1
ALPL	MAP3K14
ALPL	SOST
ALPL	FBXO6
ALPL	NTN3
ALPL	AP3D1
ALPL	XPO1
ALPL	NTN1
ALPL	HSPA4L
ALPI	UBC
ALPI	HSPA1B
ALPI	HSPA8
ALPI	TPR
ALPI	HSPA6
ALPI	NFKB1
ALPI	HSPA1L
ALPI	HSPA4
ALPI	HTT
ALPI	HSPA2
ALPI	SUMO3
ALPI	KRTAP10-3
ALPI	KRTAP10-8
ALPI	KRTAP10-9
ALPI	ACTB
ALPI	SUMO2
ALPI	SUMO1
ALPI	HIST1H3A
ALPI	H3F3A
ALPI	IRF5
ALPI	EIF4A2
ALPI	ELAVL1
ALPI	HIST3H3
ALPI	SUMO4
ALPI	H3F3C
ALPI	TEX261
ALPI	HIST2H3A
ALPI	NOTCH2NL
ALPI	NUP93
ALPI	HSPH1
ALPI	SOST
ALPI	FOXP3
ALPI	AP3B1
ALPI	NTN3
ALPI	E2F3
ALPI	AP3D1
ALPI	XPO1
ALPI	NTN1
ALPI	HSPA4L
ALPI	HSPB1
ALPI	JUN
ALPP	UBC
ALPP	HSPA1B
ALPP	HSPA8
ALPP	TPR
ALPP	RPA2
ALPP	HSPA6
ALPP	KRTAP5-9
ALPP	RPA1
ALPP	HSPA1L
ALPP	HSPA4
ALPP	RPA3
ALPP	HTT
ALPP	HSPA2
ALPP	SUMO3
ALPP	KRTAP10-3
ALPP	SUMO2
ALPP	SUMO1
ALPP	HIST1H3A
ALPP	CBX1
ALPP	ERH
ALPP	H3F3A
ALPP	UBXN1
ALPP	HIST3H3
ALPP	UBXN11
ALPP	SUMO4
ALPP	H3F3C
ALPP	TEX261
ALPP	HIST2H3A
ALPP	TRIM69
ALPP	NUP93
ALPP	CEP76
ALPP	HSPH1
ALPP	PIGK
ALPP	FAF2
ALPP	KRTAP4-12
ALPP	SOST
ALPP	ASPSCR1
ALPP	FOXP3
ALPP	UBXN6
ALPP	FBXO6
ALPP	FAF1
ALPP	NSFL1C
