gene1	gene	score
LDHB	UBC	1
LDHB	LDHA	1
LDHA	LDHB	1
LDHA	UBC	1
HMGCS1	UBC	1
HMGCS2	UBC	1
ECHS1	UBC	1
AACS	UBC	1
ALDH2	UBC	1
ALDH2	HSPD1	1
ALDH2	PSMD14	1
ALDH3A2	UBC	1
ALDH1B1	PSMD14	1
ALDH1B1	UBC	1
GAD2	STX1A	1
GAD2	RIMS1	1
GAD2	GAD1	1
GAD2	DNAJC5	1
GAD2	SLC32A1	1
GAD2	CPLX1	1
GAD2	HSPA8	1
GAD2	RAB3A	1
GAD2	SYT1	1
GAD2	SNAP25	1
GAD2	STXBP1	1
GAD2	VAMP2	1
GAD1	DNAJC5	1
GAD1	SLC32A1	1
GAD1	CPLX1	1
GAD1	HSPA8	1
GAD1	RAB3A	1
GAD1	SYT1	1
GAD1	SNAP25	1
GAD1	STXBP1	1
GAD1	VAMP2	1
GAD1	GAD2	1
GAD1	STX1A	1
GAD1	RIMS1	1
ALDH2	HSPE1	0.443
LDHA	HIF1A	0.41
ACSM3	EHMT2	0.398
LDHA	ABCC9	0.39
LDHA	KCNJ11	0.389
ALDH2	SIRT3	0.368
ALDH1B1	SIRT3	0.368
ECHS1	STAT3	0.364
LDHA	HNRNPAB	0.36
LDHAL6B	HNRNPD	0.36
GAD1	UBC	0.359
GAD2	UBC	0.358
LDHA	HNRNPD	0.356
LDHA	HSPA8	0.352
GAD2	ZDHHC17	0.248
ALDH2	PRDX2	0.212
ALDH2	PRDX4	0.212
ALDH1B1	PRDX2	0.212
ALDH1B1	PRDX4	0.212
ALDH2	MDH2	0.204
ALDH2	SUMO4	0.199
ALDH1B1	SUMO4	0.199
ALDH2	SUMO3	0.198
ALDH2	SUMO1	0.198
ALDH1B1	SUMO3	0.198
ALDH1B1	SUMO1	0.198
ALDH2	FDXR	0.197
ALDH2	FHIT	0.197
LDHC	LDHAL6A	0.195
LDHAL6A	LDHAL6B	0.195
LDHAL6A	LDHC	0.195
LDHAL6B	LDHAL6A	0.195
ALDH2	ETFB	0.195
LDHC	LDHAL6B	0.194
LDHB	AKT2	0.194
LDHB	AKT3	0.194
LDHA	MYC	0.194
LDHAL6B	LDHC	0.194
LDHAL6A	LDHB	0.193
LDHB	LDHAL6A	0.193
LDHC	LDHB	0.192
LDHAL6A	LDHA	0.192
LDHB	LDHC	0.192
LDHA	PRNP	0.192
LDHA	LDHAL6A	0.192
LDHC	LDHA	0.191
LDHB	LDHAL6B	0.191
LDHA	LDHC	0.191
LDHAL6B	LDHB	0.191
GAD2	PRKCE	0.191
LDHA	LDHAL6B	0.19
LDHAL6B	LDHA	0.19
HMGCS1	SUMO4	0.19
HMGCS2	SUMO4	0.19
GAD2	PRKACA	0.19
GAD1	PRKCE	0.19
LDHC	RBL2	0.189
HMGCS1	SUMO3	0.189
HMGCS1	SUMO2	0.189
HMGCS1	SUMO1	0.189
HMGCS2	SUMO3	0.189
HMGCS2	SUMO2	0.189
HMGCS2	SUMO1	0.189
GAD1	PRKACA	0.189
LDHC	CKMT2	0.188
LDHC	CKM	0.188
LDHAL6A	CKM	0.188
LDHAL6A	CKMT2	0.188
LDHB	CKMT2	0.188
LDHA	CKMT2	0.188
LDHAL6B	CKM	0.188
LDHAL6B	CKMT2	0.188
LDHC	CKB	0.187
LDHAL6A	CKB	0.187
LDHB	CKB	0.187
LDHB	CKM	0.187
LDHA	CKM	0.187
LDHA	CKB	0.187
LDHAL6B	CKB	0.187
ECHS1	LRRK2	0.187
LDHC	ALDOA	0.186
LDHC	ALDOB	0.186
LDHC	PGK2	0.186
LDHAL6A	PGK1	0.186
LDHAL6A	ALDOA	0.186
LDHAL6A	ALDOB	0.186
LDHAL6A	PGK2	0.186
LDHAL6B	ALDOA	0.186
LDHAL6B	ALDOB	0.186
LDHAL6B	PGK2	0.186
LDHC	PGAM2	0.185
