gene	node_type
SUCLG2	gene
SUCLA2	gene
UBC	PPI
SUCLG1	PPI
GPR143	PPI
ALAS2	PPI
PPOX	PPI
FECH	PPI
CPOX	PPI
FASTKD3	PPI
SIRT4	PPI
ATP6V1A	PPI
PSMD14	PPI
NPEPPS	PPI
CD247	PPI
AGO4	PPI
DLG4	PPI
ICT1	PPI
HSD17B10	PPI
ABCE1	PPI
MTNR1A	PPI
SGCG	PPI
UBXN8	PPI
MYC	PPI
EGFR	PPI
FAF2	PPI
DNAJA1	PPI
DNAJA4	PPI
NEDD8	PPI
KCNMA1	PPI
CSNK1D	PPI
ECT2	PPI
MSI1	PPI
USP19	PPI
LIPF	PPI
SUMO2	PPI
DMWD	PPI
LIPN	PPI
LIPK	PPI
LIPM	PPI
LIPJ	PPI
MSI2	PPI
COQ9	PPI
ITCH	PPI
WWP1	PPI
RPS6KB2	PPI
WWP2	PPI
RPS6KB1	PPI
LIPA	PPI
CSK	PPI
UBE2I	PPI
MDM2	PPI
EDC4	PPI
MAD2L2	PPI
PTCH2	PPI
CDK4	PPI
RPA2	PPI
CDK2	PPI
SKP1	PPI
CDK3	PPI
CDK6	PPI
CDK5	PPI
E2F1	PPI
DYRK1A	PPI
PTCH1	PPI
INO80	PPI
NTRK1	PPI
TAF1	PPI
ARL8B	PPI
NFS1	PPI
KPNA7	PPI
PIK3C2B	PPI
ATP2A1	PPI
LDHC	PPI
ACADM	PPI
TSPO	PPI
NOMO3	PPI
CUL3	PPI
GALE	PPI
NOMO1	PPI
NOMO2	PPI
NUP210L	PPI
LDHAL6A	PPI
ARL8A	PPI
DNAJA2	PPI
HNF4A	PPI
ATP2A3	PPI
LDHAL6B	PPI
IPO9	PPI
CCT7	PPI
DNAJC12	PPI
VPS4A	PPI
DDX39A	PPI
PIK3C2A	PPI
KPNA4	PPI
RIOK3	PPI
NARS	PPI
CTSV	PPI
VPS4B	PPI
GFPT2	PPI
AHSA1	PPI
LDHA	PPI
RPN1	PPI
RPN2	PPI
LDHB	PPI
CTSD	PPI
CTSL	PPI
APRT	PPI
EPRS	PPI
PC	PPI
ETFA	PPI
PRKCSH	PPI
HSP90B1	PPI
ATP2A2	PPI
UQCRC2	PPI
WARS	PPI
CAD	PPI
CANX	PPI
PPP2R1A	PPI
PPP2R1B	PPI
ARRB2	PPI
MCM7	PPI
PSMC2	PPI
ATP5C1	PPI
CCT6A	PPI
SSR2	PPI
VDAC2	PPI
RABIF	PPI
FASN	PPI
CCT3	PPI
ARRB1	PPI
TUFM	PPI
SARS	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
RAB5C	PPI
RAB7A	PPI
SSR4	PPI
KPNA2	PPI
COPB1	PPI
CLTCL1	PPI
SEC13	PPI
TMEM33	PPI
RAB2A	PPI
RAB5B	PPI
PSMC1	PPI
PSMC5	PPI
RAB1A	PPI
ARF1	PPI
SLC25A3	PPI
CLTC	PPI
GFPT1	PPI
DDX39B	PPI
MESDC2	PPI
ZNF146	PPI
PTGES3	PPI
HSD17B12	PPI
NUP210	PPI
CCT6B	PPI
DDOST	PPI
RPS5	PPI
RAB11A	PPI
ARL6IP1	PPI
AGTRAP	PPI
FAM9B	PPI
CMTM5	PPI
AK1	PPI
GALNT11	PPI
TNPO1	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
HSPA1A	PPI
HSPA1B	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
HSPA5	PPI
LAMC1	PPI
MYH3	PPI
HSPA8	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
PSKH1	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
HARS	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPR	PPI
CKB	PPI
SKI	PPI
SKIL	PPI
ACTN1	PPI
CDH1	PPI
MYH1	PPI
MYH7	PPI
SRC	PPI
PEPD	PPI
XRCC6	PPI
