V1	V2
TKTL2	PPA2
TKTL2	GSTO2
TKTL2	TXNRD2
TKTL2	ISYNA1
TKTL2	PFDN4
TKTL2	ACSS2
TKTL2	ACSS1
TKTL2	TUBA8
TKTL2	RAB21
TKTL2	MAPRE3
TKTL2	RUVBL2
TKTL2	TARSL2
TKTL2	RAB19
TKTL2	TUBAL3
TKTL2	EIF4E1B
TKTL2	PSMD14
TKTL2	XPO1
TKTL2	LSM1
TKTL2	PFDN6
TKTL2	AKR1B10
TKTL2	EIF4E2
TKTL2	DNAJA2
TKTL2	CS
TKTL2	PRPF40A
TKTL2	ALDH1A2
TKTL2	HSPA4L
TKTL2	ALDH1A1
TKTL2	PAH
TKTL2	SOD1
TKTL2	ASS1
TKTL2	CAT
TKTL2	ALDOA
TKTL2	ALDOB
TKTL2	ALDH2
TKTL2	ATP5B
TKTL2	EIF4E
TKTL2	ENO1
TKTL2	GPI
TKTL2	P4HB
TKTL2	HSP90AA1
TKTL2	ANXA6
TKTL2	PFKM
TKTL2	HSP90AB1
TKTL2	NFIC
TKTL2	ENO2
TKTL2	DLD
TKTL2	UBC
TKTL2	HSPA1A
TKTL2	HSPA1B
TKTL2	DLAT
TKTL2	HSPD1
TKTL2	HSPA8
TKTL2	PC
TKTL2	MTHFD1
TKTL2	PCNA
TKTL2	HARS
TKTL2	TPR
TKTL2	EEF2
TKTL2	PDIA4
TKTL2	LCP1
TKTL2	PLS3
TKTL2	ENO3
TKTL2	AKR1B1
TKTL2	ATP6V1B1
TKTL2	UCHL3
TKTL2	NME1
TKTL2	HSPA6
TKTL2	PFKL
TKTL2	PSMC3
TKTL2	HK1
TKTL2	RAB4A
TKTL2	ATP6V1B2
TKTL2	GART
TKTL2	NME2
TKTL2	PPIB
TKTL2	AHCY
TKTL2	MSN
TKTL2	DDX6
TKTL2	PAX6
TKTL2	TARS
TKTL2	VARS
TKTL2	FKBP2
TKTL2	YWHAQ
TKTL2	CALR
TKTL2	PDIA3
TKTL2	ALDH1B1
TKTL2	GDI1
TKTL2	DNAJA1
TKTL2	YWHAB
TKTL2	STIP1
TKTL2	HSPA1L
TKTL2	HSPA4
TKTL2	MPI
TKTL2	CBS
TKTL2	GCK
TKTL2	DLST
TKTL2	HSPA9
TKTL2	MDH2
TKTL2	ECI1
TKTL2	ACAA2
TKTL2	NEDD4
TKTL2	ALDH1A3
TKTL2	CCT5
TKTL2	AARS
TKTL2	HARS2
TKTL2	SARS
TKTL2	HINT1
TKTL2	GDI2
TKTL2	RAB5C
TKTL2	PGD
TKTL2	ARHGDIA
TKTL2	ARHGDIB
TKTL2	HSPA2
TKTL2	PSMD4
TKTL2	VCP
TKTL2	NPEPPS
TKTL2	SUMO3
TKTL2	EIF4A1
TKTL2	SUMO2
TKTL2	FKBP1A
TKTL2	YWHAZ
TKTL2	SUMO1
TKTL2	EEF1A1
TKTL2	FKBP1B
TKTL2	TUBA1B
TKTL2	TUBA4A
TKTL2	DLG4
TKTL2	GSTO1
TKTL2	GALK2
TKTL2	PFKP
TKTL2	EEF1A2
TKTL2	KCNMA1
TKTL2	PSMD2
TKTL2	PIN1
TKTL2	TUBA3C
TKTL2	NACA
TKTL2	EIF4A2
TKTL2	PLS1
TKTL2	KARS
TKTL2	PPA1
TKTL2	SF3B4
TKTL2	RGN
TKTL2	MAPRE1
TKTL2	UGP2
TKTL2	RARS2
TKTL2	FAXC
TKTL2	YOD1
TKTL2	SUMO4
TKTL2	PRPF40B
TKTL2	CDC73
TKTL2	TUBA3E
TKTL2	TUBA1A
TKTL2	AADAT
TKTL2	NPEPL1
TKTL2	DNAJA4
TKTL2	HSPH1
TKTL2	NEDD4L
TKTL2	HSD17B10
TKTL2	ACO2
TKTL2	ARHGDIG
TKTL2	DPH2
TKTL2	NACA2
TKTL2	ADAM19
TKTL2	RAB33B
TKTL1	TAF1
TKTL1	POLR2A
TKT	PDIA3
TKT	HLA-B
TKT	ALDH1B1
TKT	GDI1
TKT	DNAJA1
TKT	YWHAB
TKT	STIP1
TKT	HSPA1L
TKT	HSPA4
TKT	MPI
TKT	CBS
TKT	GCK
TKT	FUS
TKT	DLST
TKT	HSPA9
TKT	VHL
TKT	MDH2
TKT	ECI1
TKT	ACAA2
TKT	MAPK8
TKT	NEDD4
TKT	ALDH1A3
TKT	CCT5
TKT	AARS
TKT	HARS2
TKT	SARS
TKT	CSNK1E
TKT	MCM2
TKT	HINT1
TKT	GDI2
TKT	RAB5C
TKT	PGD
TKT	ARHGDIA
TKT	ARHGDIB
TKT	TERF1
TKT	HSPA2
TKT	PSMD4
TKT	VCP
TKT	NPEPPS
TKT	SUMO3
TKT	GABARAPL2
TKT	EIF4A1
TKT	SUMO2
TKT	FKBP1A
TKT	YWHAZ
TKT	SUMO1
