gene	node_type
CPT1A	gene
CPT1B	gene
CPT2	gene
CPT1C	gene
CRAT	gene
UBC	PPI
PEX5	PPI
PEX5L	PPI
BCL2	PPI
PEX14	PPI
KAT2B	PPI
KAT5	PPI
CLN3	PPI
TP53	PPI
E2F3	PPI
PCK1	PPI
SKP1	PPI
ALDOA	PPI
ALDOB	PPI
SUMO2	PPI
HSP90AB1	PPI
COX5B	PPI
PARK2	PPI
MAPK1	PPI
MAPK3	PPI
HSPB2	PPI
ICT1	PPI
HSD17B10	PPI
LYN	PPI
HTT	PPI
UPF1	PPI
ESR2	PPI
HERC2	PPI
LGR4	PPI
FBXO6	PPI
SDCBP2	PPI
HDAC11	PPI
RPL34	PPI
EIF2B2	PPI
NTMT1	PPI
CACYBP	PPI
ACSS2	PPI
MLF1	PPI
NUDCD3	PPI
AARSD1	PPI
ADCK3	PPI
PTPMT1	PPI
C2ORF47	PPI
NMES1	PPI
FAM96B	PPI
C17ORF89	PPI
COQ9	PPI
NEDD8	PPI
AURKB	PPI
NAF1	PPI
AURKC	PPI
NDUFA4	PPI
ATP6V0D1	PPI
ATP6V0D2	PPI
KPNA1	PPI
SUMO1	PPI
KPNA5	PPI
RNF2	PPI
NPDC1	PPI
NTRK1	PPI
CYBA	PPI
HNF4A	PPI
XPO1	PPI
RCC1	PPI
TAF1	PPI
POLR2A	PPI
SMARCB1	PPI
KBTBD7	PPI
MOV10	PPI
NXF1	PPI
CLIC1	PPI
ENO1	PPI
NR4A1	PPI
C2ORF57	PPI
HCCS	PPI
HSPA5	PPI
HSPA1L	PPI
HSPA2	PPI
PFDN6	PPI
ATP5B	PPI
HSP90AA1	PPI
HSPA1A	PPI
HSPA1B	PPI
ATP6V1B1	PPI
HSPA6	PPI
ATP6V1B2	PPI
HSPH1	PPI
HSPA4L	PPI
HSPA8	PPI
HSPA4	PPI
TRIB2	PPI
TRIB1	PPI
ARG2	PPI
OXLD1	PPI
FAHD1	PPI
ARHGEF26	PPI
ATF6B	PPI
RIC8A	PPI
MBTPS2	PPI
JMJD4	PPI
BTBD17	PPI
KIN	PPI
RAB7A	PPI
PPP4C	PPI
WDR5	PPI
TOR1AIP1	PPI
HUWE1	PPI
WDR5B	PPI
HDAC6	PPI
KCNK1	PPI
TUBG1	PPI
GNAS	PPI
MCL1	PPI
WWOX	PPI
NDUFS3	PPI
CTBP2	PPI
CTBP1	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
LAMC1	PPI
MYH3	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
PC	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
PSKH1	PPI
CDK4	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
HARS	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPR	PPI
CKB	PPI
SKI	PPI
SKIL	PPI
ACTN1	PPI
CDH1	PPI
MYH1	PPI
MYH7	PPI
SRC	PPI
PEPD	PPI
XRCC6	PPI
XRCC5	PPI
UNG	PPI
COX4I1	PPI
IFITM1	PPI
ALAS1	PPI
RNH1	PPI
MYH8	PPI
CFTR	PPI
NCAM1	PPI
ATP1A3	PPI
EEF2	PPI
KRT10	PPI
KRT5	PPI
PDIA4	PPI
TPT1	PPI
ALAD	PPI
F3	PPI
HLA-E	PPI
HLA-DRB1	PPI
LCP1	PPI
PLS3	PPI
APEH	PPI
ETFA	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
GTF2F2	PPI
MTHFD2	PPI
CTSE	PPI
MIF	PPI
PRKCSH	PPI
FDPS	PPI
TRIM27	PPI
COX7A2	PPI
AKR1A1	PPI
PKM	PPI
HSP90B1	PPI
CCNB1	PPI
MYL6B	PPI
SLC2A4	PPI
SNRPB	PPI
IDE	PPI
COX6B1	PPI
POU2F1	PPI
HNRNPL	PPI
DARS	PPI
IDO1	PPI
ETS1	PPI
JUP	PPI
ETS2	PPI
BRAF	PPI
