gene	node_type
THOP1	gene
NLN	gene
UBC	PPI
CALML3	PPI
CALM1	PPI
YWHAE	PPI
DNAJA1	PPI
DNAJA4	PPI
DNAJA2	PPI
SUMO1	PPI
CBX1	PPI
SUMO4	PPI
SUMO3	PPI
FBXO32	PPI
EGFR	PPI
MPHOSPH6	PPI
CCNB1IP1	PPI
MPP6	PPI
STK11	PPI
UBE2G2	PPI
NEDD8	PPI
EED	PPI
NTRK1	PPI
IKBKE	PPI
HNF4A	PPI
HSP90AB1	PPI
APP	PPI
TRAF2	PPI
FIGN	PPI
LDLRAP1	PPI
ZNF526	PPI
TNKS2	PPI
KLC4	PPI
GAR1	PPI
DICER1	PPI
CETN2	PPI
NCAPD3	PPI
DYNLL1	PPI
EEA1	PPI
HIF1A	PPI
RASSF8	PPI
RUFY1	PPI
NAA11	PPI
MRPL9	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
HSPA1A	PPI
HSPA1B	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
HSPA5	PPI
LAMC1	PPI
MYH3	PPI
HSPA8	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
PC	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
PSKH1	PPI
CDK4	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
HARS	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPR	PPI
CKB	PPI
SKI	PPI
SKIL	PPI
ACTN1	PPI
CDH1	PPI
MYH1	PPI
MYH7	PPI
SRC	PPI
PEPD	PPI
XRCC6	PPI
XRCC5	PPI
UNG	PPI
COX4I1	PPI
IFITM1	PPI
ALAS1	PPI
RNH1	PPI
CYBA	PPI
MYH8	PPI
CFTR	PPI
NCAM1	PPI
ATP1A3	PPI
EEF2	PPI
KRT10	PPI
KRT5	PPI
PDIA4	PPI
TPT1	PPI
ALAD	PPI
F3	PPI
HLA-E	PPI
HLA-DRB1	PPI
LCP1	PPI
PLS3	PPI
APEH	PPI
ETFA	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
GTF2F2	PPI
MTHFD2	PPI
CTSE	PPI
MIF	PPI
PRKCSH	PPI
FDPS	PPI
TRIM27	PPI
COX7A2	PPI
AKR1A1	PPI
PKM	PPI
HSP90B1	PPI
CCNB1	PPI
MYL6B	PPI
SLC2A4	PPI
SNRPB	PPI
IDE	PPI
COX6B1	PPI
POU2F1	PPI
HNRNPL	PPI
DARS	PPI
IDO1	PPI
ETS1	PPI
JUP	PPI
ETS2	PPI
BRAF	PPI
GLUL	PPI
AKR1B1	PPI
RAC2	PPI
GSPT1	PPI
MYOD1	PPI
PGAM2	PPI
IFNGR1	PPI
EZR	PPI
ATP6V1B1	PPI
UCHL3	PPI
VAV1	PPI
CD46	PPI
NME1	PPI
NQO1	PPI
HIVEP1	PPI
RPS2	PPI
TCF4	PPI
TCF3	PPI
DSP	PPI
RPA2	PPI
CD44	PPI
NQO2	PPI
H2AFX	PPI
PFKFB1	PPI
CBR1	PPI
CREB1	PPI
GLB1	PPI
PPP3CB	PPI
HIST1H1B	PPI
HIST1H1D	PPI
HIST1H1C	PPI
POR	PPI
MGMT	PPI
GNB3	PPI
ATP2A2	PPI
STMN1	PPI
YBX3	PPI
ZKSCAN1	PPI
ZNF28	PPI
HSPA6	PPI
HMGA1	PPI
TMEM11	PPI
GOT1	PPI
IFNAR1	PPI
PRKCA	PPI
JUNB	PPI
GJA1	PPI
UBTF	PPI
PRKACA	PPI
CAPN2	PPI
DES	PPI
CEBPB	PPI
CTPS1	PPI
DDX5	PPI
PFKL	PPI
PSMC3	PPI
TCP1	PPI
ERCC2	PPI
RPL35A	PPI
ITGB5	PPI
ARF4	PPI
RPL7	PPI
VCL	PPI
SON	PPI
RPL17	PPI
PGAM1	PPI
RCC1	PPI
SDC1	PPI
ATF1	PPI
ATF4	PPI
ATF6	PPI
LIG1	PPI
