gene	node_type
PHYH	gene
PHYHIP	PPI
F8	PPI
FKBP4	PPI
PEX7	PPI
ACSL1	PPI
ACSL6	PPI
ACSL5	PPI
UBC	PPI
ELAVL1	PPI
TOM1L1	PPI
ABCD3	PPI
MAGEA11	PPI
PTH2R	PPI
RNF167	PPI
WRAP73	PPI
COPS3	PPI
TAF1	PPI
APP	PPI
FAM9B	PPI
F2	PPI
F9	PPI
F10	PPI
SERPINA1	PPI
TGFA	PPI
PROC	PPI
VWF	PPI
PROS1	PPI
TRAPPC2	PPI
F5	PPI
CD59	PPI
FOLR1	PPI
AREG	PPI
GRIA1	PPI
TRAPPC10	PPI
CSNK1D	PPI
LMAN1	PPI
TMED10	PPI
CTSC	PPI
SEC24C	PPI
SEC13	PPI
RAB1A	PPI
COL7A1	PPI
GOLGA2	PPI
STX5	PPI
TMED2	PPI
SEC23A	PPI
CNIH2	PPI
TRAPPC6B	PPI
TRAPPC5	PPI
MCFD2	PPI
CNIH3	PPI
SCFD1	PPI
TFG	PPI
SEC16B	PPI
TRAPPC9	PPI
GORASP1	PPI
RAB1B	PPI
CTSZ	PPI
TRAPPC2L	PPI
TRAPPC4	PPI
TRAPPC1	PPI
SAR1B	PPI
SEC23IP	PPI
GOSR2	PPI
SEC16A	PPI
BET1	PPI
TRAPPC3	PPI
USO1	PPI
SEC22B	PPI
TRAPPC6A	PPI
SEC24D	PPI
SEC31A	PPI
CNIH1	PPI
SEC24A	PPI
SEC24B	PPI
PTGES3	PPI
GLMN	PPI
HSP90AA1	PPI
HSP90AB1	PPI
AR	PPI
HSF1	PPI
PEX14	PPI
ACAA1	PPI
PEX5	PPI
PEX5L	PPI
PEX13	PPI
NR3C1	PPI
ADAMTS13	PPI
BAI1	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
HSPA1A	PPI
HSPA1B	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
HSPA5	PPI
LAMC1	PPI
MYH3	PPI
HSPA8	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
PC	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
PSKH1	PPI
CDK4	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
HARS	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPR	PPI
CKB	PPI
SKI	PPI
SKIL	PPI
ACTN1	PPI
CDH1	PPI
MYH1	PPI
MYH7	PPI
SRC	PPI
PEPD	PPI
XRCC6	PPI
XRCC5	PPI
UNG	PPI
COX4I1	PPI
IFITM1	PPI
ALAS1	PPI
RNH1	PPI
CYBA	PPI
MYH8	PPI
CFTR	PPI
NCAM1	PPI
ATP1A3	PPI
EEF2	PPI
KRT10	PPI
KRT5	PPI
PDIA4	PPI
TPT1	PPI
ALAD	PPI
F3	PPI
HLA-E	PPI
HLA-DRB1	PPI
LCP1	PPI
PLS3	PPI
APEH	PPI
ETFA	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
GTF2F2	PPI
MTHFD2	PPI
CTSE	PPI
MIF	PPI
PRKCSH	PPI
FDPS	PPI
TRIM27	PPI
COX7A2	PPI
AKR1A1	PPI
PKM	PPI
HSP90B1	PPI
CCNB1	PPI
MYL6B	PPI
SLC2A4	PPI
SNRPB	PPI
IDE	PPI
COX6B1	PPI
POU2F1	PPI
HNRNPL	PPI
DARS	PPI
IDO1	PPI
ETS1	PPI
JUP	PPI
ETS2	PPI
BRAF	PPI
GLUL	PPI
AKR1B1	PPI
RAC2	PPI
GSPT1	PPI
MYOD1	PPI
PGAM2	PPI
IFNGR1	PPI
EZR	PPI
ATP6V1B1	PPI
UCHL3	PPI
VAV1	PPI
CD46	PPI
NME1	PPI
NQO1	PPI
HIVEP1	PPI
RPS2	PPI
TCF4	PPI
TCF3	PPI
DSP	PPI
RPA2	PPI
CD44	PPI
NQO2	PPI
H2AFX	PPI
PFKFB1	PPI
CBR1	PPI
CREB1	PPI
GLB1	PPI
