gene	node_type
GMDS	gene
MPI	gene
PFKFB3	gene
AKR1B1	gene
ALDOA	gene
ALDOC	gene
HEL-S-87P	gene
ALDOB	gene
FUK	gene
FPGT	gene
GMPPB	gene
TSTA3	gene
SORD	gene
FBP2	gene
FBP1	gene
GCK	gene
HK1	gene
HK2	gene
HK3	gene
NOL9	gene
FAM20B	gene
FGGY	gene
FN3KRP	gene
FN3K	gene
PMM2	gene
PMM1	gene
HK1-TC	gene
HKDC1	gene
KHK	gene
PFKFB1	gene
PFKFB2	gene
TIGAR	gene
HEL-S-87P	PPI
HK1-TC	PPI
CCDC22	PPI
TNKS	PPI
BAG3	PPI
MYC	PPI
APRT	PPI
UBC	PPI
HSPD1	PPI
TAF1	PPI
NF2	PPI
HNF4A	PPI
RAB5C	PPI
MAX	PPI
SUMO2	PPI
SMAD3	PPI
DDB1	PPI
KIF2B	PPI
RNF166	PPI
SKA1	PPI
WDYHV1	PPI
NTMT1	PPI
TNKS2	PPI
MAP1LC3A	PPI
SHOC2	PPI
SSX2IP	PPI
KIF2A	PPI
CBS	PPI
ATP5C1	PPI
PGM1	PPI
DLST	PPI
HSPA9	PPI
CCT6A	PPI
MDH2	PPI
GARS	PPI
IARS	PPI
PRKCI	PPI
NEDD4	PPI
ALDH1A3	PPI
AARS	PPI
SARS	PPI
IDH3A	PPI
AKR1D1	PPI
PGD	PPI
AKR1C2	PPI
CLTCL1	PPI
HSPA2	PPI
BCAT1	PPI
VCP	PPI
ADK	PPI
NPEPPS	PPI
SUMO3	PPI
EIF4A1	PPI
YWHAE	PPI
SUMO1	PPI
EIF5A	PPI
EEF1A1	PPI
TUBA1B	PPI
TUBA4A	PPI
CLTC	PPI
GALK2	PPI
PFKP	PPI
AKR1C1	PPI
EEF1A2	PPI
PABPC4	PPI
TUBA3C	PPI
EIF4A2	PPI
FAT1	PPI
DHX8	PPI
PLS1	PPI
STARD3	PPI
KARS	PPI
PGM5	PPI
PPA1	PPI
ANKRD1	PPI
UGP2	PPI
PABPC1L	PPI
PABPC1L2A	PPI
SUMO4	PPI
EIF5AL1	PPI
TUBA3E	PPI
TUBA1A	PPI
THNSL2	PPI
SEPT12	PPI
DNAJC22	PPI
AADAT	PPI
PRPF31	PPI
CCT6B	PPI
HSPH1	PPI
PABPC5	PPI
SEH1L	PPI
AKR1E2	PPI
NEDD4L	PPI
ACO2	PPI
ACAT2	PPI
EIF5A2	PPI
TKTL2	PPI
PPA2	PPI
PABPC3	PPI
S100A14	PPI
ISYNA1	PPI
ACSS2	PPI
OLA1	PPI
ACSS1	PPI
TUBA8	PPI
FAT2	PPI
RUVBL2	PPI
TUBAL3	PPI
EIF4E1B	PPI
AKR1B15	PPI
PSMD14	PPI
PRMT5	PPI
PFAS	PPI
BCAT2	PPI
PRPF4	PPI
PRPF3	PPI
NARS	PPI
AKR1B10	PPI
EIF4E2	PPI
CLUH	PPI
CS	PPI
SNRNP200	PPI
ALDH1A2	PPI
PRPF6	PPI
HSPA4L	PPI
ALDH1A1	PPI
SOD1	PPI
ASS1	PPI
GAPDH	PPI
APP	PPI
ALDH2	PPI
EIF4E	PPI
PYGL	PPI
GPI	PPI
P4HB	PPI
IVL	PPI
HSP90AA1	PPI
PFKM	PPI
HSP90AB1	PPI
ENO2	PPI
DLD	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA5	PPI
HSPA8	PPI
PYGB	PPI
PYGM	PPI
MTHFD1	PPI
PABPC1	PPI
EEF2	PPI
PDIA4	PPI
LCP1	PPI
PLS3	PPI
ENO3	PPI
FDPS	PPI
AKR1A1	PPI
DARS	PPI
ATP6V1B1	PPI
HSPA6	PPI
AKR1C4	PPI
PTPN2	PPI
PFKL	PPI
PTPN1	PPI
ATP6V1B2	PPI
UBA1	PPI
TGM1	PPI
AHCY	PPI
ACAT1	PPI
