gene	node_type
GMDS	gene
MPI	gene
PFKFB3	gene
AKR1B1	gene
ALDOA	gene
ALDOC	gene
HEL-S-87P	gene
ALDOB	gene
FUK	gene
FPGT	gene
GMPPB	gene
TSTA3	gene
SORD	gene
FBP2	gene
FBP1	gene
GCK	gene
HK1	gene
HK2	gene
HK3	gene
NOL9	gene
FAM20B	gene
FGGY	gene
FN3KRP	gene
FN3K	gene
PMM2	gene
PMM1	gene
HK1-TC	gene
HKDC1	gene
KHK	gene
PFKFB1	gene
PFKFB2	gene
TIGAR	gene
HEL-S-87P	PPI
HK1-TC	PPI
UBC	PPI
AKR1C4	PPI
AKR1C3	PPI
AKR1D1	PPI
AKR1C2	PPI
AKR1C1	PPI
KCNAB2	PPI
KCNAB1	PPI
KCNAB3	PPI
AKR7A2	PPI
AKR1B10	PPI
AKR7A3	PPI
AKR1A1	PPI
PSMD14	PPI
HSPA1B	PPI
HSPA5	PPI
HSPA8	PPI
HSPA6	PPI
MAT2A	PPI
HSPA2	PPI
PSMD4	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
MAT1A	PPI
SUMO4	PPI
GMPPA	PPI
NUP214	PPI
NUP62	PPI
NUP153	PPI
RANBP2	PPI
NUP98	PPI
NUP107	PPI
RAE1	PPI
NUP160	PPI
GCKR	PPI
NUP188	PPI
NUP54	PPI
NUP93	PPI
NUP43	PPI
NUP37	PPI
NUP35	PPI
NUP210	PPI
NUP133	PPI
NUP205	PPI
SEH1L	PPI
POM121	PPI
NUP88	PPI
NDC1	PPI
NUP58	PPI
NUP85	PPI
AAAS	PPI
NUP50	PPI
POM121C	PPI
NUPL2	PPI
NUP155	PPI
TPR	PPI
PELP1	PPI
WDR18	PPI
WDR12	PPI
SENP3	PPI
TEX10	PPI
LAS1L	PPI
PES1	PPI
BOP1	PPI
PRKACA	PPI
PRKACG	PPI
PRKACB	PPI
PPP2R5D	PPI
HIST1H4A	PPI
MLST8	PPI
RPTOR	PPI
PRNP	PPI
MTOR	PPI
TNKS	PPI
VDAC1	PPI
PEA15	PPI
SLC12A1	PPI
PPM1E	PPI
PRPS1	PPI
MIDN	PPI
HSPA1L	PPI
ACTN3	PPI
UBE2H	PPI
PRKCA	PPI
PRMT2	PPI
EPAS1	PPI
HIF1A	PPI
PLD2	PPI
ABCC3	PPI
YWHAQ	PPI
WAS	PPI
SNX9	PPI
PARK2	PPI
PRKCE	PPI
COPS5	PPI
UBA52	PPI
RPS27A	PPI
UBB	PPI
HIST1H1D	PPI
ATP6V1E1	PPI
VDAC3	PPI
SLC25A4	PPI
VDAC2	PPI
HIST2H2AA3	PPI
SLC25A31	PPI
SLC25A5	PPI
ATP5B	PPI
ATP5A1	PPI
CKMT2	PPI
FOXA2	PPI
ENO1	PPI
AKT1	PPI
PRKAA2	PPI
CCNB2	PPI
PGK2	PPI
PGK1	PPI
PGAM1	PPI
PGAM2	PPI
PGAM4	PPI
CCNB1	PPI
GAPDH	PPI
HSP90AB1	PPI
ANKRD1	PPI
CKM	PPI
LDHC	PPI
CKB	PPI
LDHAL6A	PPI
LDHAL6B	PPI
USP5	PPI
WDR45B	PPI
USP13	PPI
LDHB	PPI
LDHA	PPI
UBE2B	PPI
ACTR6	PPI
ACTR8	PPI
ACTR5	PPI
PPP1CC	PPI
PPP1CA	PPI
PPP3CA	PPI
FAM134B	PPI
PPP3CB	PPI
PPIB	PPI
UBE2A	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBA3E	PPI
TUBB2B	PPI
TUBB4A	PPI
PCNA	PPI
COL11A1	PPI
COL5A3	PPI
ZFAND1	PPI
RHOA	PPI
TUBA1A	PPI
COL5A1	PPI
AKAP4	PPI
HSP90AA1	PPI
HSD17B10	PPI
BRMS1L	PPI
WASF1	PPI
BAD	PPI
BRMS1	PPI
CPEB3	PPI
NEURL1B	PPI
NEURL1	PPI
UQCRC1	PPI
HBB	PPI
CD47	PPI
TRAF6	PPI
CAMK2B	PPI
EPN2	PPI
PASK	PPI
GOT1	PPI
TKT	PPI
PRDX1	PPI
TKTL2	PPI
PRDX2	PPI
YWHAZ	PPI
KCNMA1	PPI
PSMB2	PPI
DHX8	PPI
RACK1	PPI
TRIM63	PPI
UBQLN1	PPI
IGFBP4	PPI
GLUD2	PPI
EEF2	PPI
LEP	PPI
PTGDS	PPI
VIL1	PPI
GLUD1	PPI
SNCA	PPI
ZBTB17	PPI
GRN	PPI
NR1H2	PPI
NR1H3	PPI
EXOC5	PPI
RANBP6	PPI
NCOR1	PPI
TNF	PPI
ACTN1	PPI
ACTN2	PPI
ACTN4	PPI
MDH2	PPI
IPO5	PPI
DNAJA2	PPI
HSPA1A	PPI
HSPD1	PPI
ATP6V1B1	PPI
ATP6V1B2	PPI
DNAJA1	PPI
EEF1A1	PPI
EEF1A2	PPI
