gene	node_type
ACHE	gene
PLA2G10	gene
PLA2G2A	gene
PLA2G4F	gene
PLA2G2C	gene
PLA2G2D	gene
PLA2	gene
PLA2G4A	gene
PLA2G1B	gene
PLA2G4D	gene
PLA2G4E	gene
PLA2G2F	gene
PLA2G2E	gene
PLA2G4C	gene
PLA2G4B	gene
PLA2G3	gene
PLA2G5	gene
PLA2G6	gene
PLA2G12A	gene
TMEM8A	gene
PCYT2	gene
GNPAT	gene
LCAT	gene
LRAT	gene
AKR1B1	gene
SAMD8	gene
BCHE	gene
PNPLA2	gene
PNLIPRP1	gene
PNLIPRP2	gene
ATGL	gene
DKFZP779I1240	gene
LIPF	gene
PNLIPRP3	gene
AADAC	gene
LIPG	gene
PNLIP	gene
LIPC	gene
PNPLA4	gene
SELENOI	gene
CHPT1	gene
AGMO	gene
PGS1	gene
ALDOA	gene
ALDOC	gene
HEL-S-87P	gene
ALDOB	gene
DGKA	gene
DGKD	gene
DGKI	gene
DGKB	gene
DGKH	gene
DGKE	gene
DGKG	gene
DAGK1	gene
DGKQ	gene
DGKZ	gene
DGKK	gene
LIPE	gene
PCYT1A	gene
PCYT1B	gene
GK5	gene
GK3P	gene
GK	gene
GK2	gene
ALPL	gene
ALPI	gene
ALPG	gene
ALPP	gene
GPAM	gene
DKFZP451B1115	gene
GPAT2	gene
GPAT4	gene
PNPLA6	gene
PNPLA8	gene
LPL	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
PHOSPHO1	gene
PLD4	gene
PLD2	gene
PLD3	gene
PLD1	gene
AGPS	gene
GPCPD1	gene
PLPP3	gene
PLPP4	gene
PLPP5	gene
PLPP1	gene
PLPPR2	gene
PLPPR3	gene
PLPPR4	gene
PLPP2	gene
LPIN2	gene
LPIN1	gene
LPIN3	gene
AGPAT1	gene
ABHD5	gene
AGPAT2	gene
AGPAT3	gene
AGPAT5	gene
AGPAT4	gene
LOC89944	gene
GLB1	gene
ETNK1	gene
ETNK2	gene
GPD1	gene
GPD1L	gene
GLA	gene
CDIPT	gene
GDPD1	gene
ENPP2	gene
PA-PLA1	gene
CHAT	gene
CHAT	gene
PLA2G7	gene
PAFAH1B3	gene
PAFAH2	gene
PAFAH1B2	gene
CDS1	gene
CDS2	gene
TAMM41	gene
ABHD6	gene
ABHD2	gene
ABHD12	gene
MGLL	gene
PISD	gene
MOGAT1	gene
MOGAT2	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
DKFZP779I1240	PPI
HEL-S-87P	PPI
DKFZP451B1115	PPI
MAPK14	PPI
UBC	PPI
MAPK1	PPI
CETP	PPI
APOA1	PPI
APOE	PPI
APOA2	PPI
APOC2	PPI
APOC3	PPI
RBP1	PPI
RBP2	PPI
AKR1C4	PPI
AKR1C3	PPI
AKR1D1	PPI
AKR1C2	PPI
AKR1C1	PPI
KCNAB2	PPI
KCNAB1	PPI
KCNAB3	PPI
AKR7A2	PPI
AKR1B10	PPI
AKR7A3	PPI
AKR1A1	PPI
CLPS	PPI
LMF1	PPI
FABP4	PPI
PRKACA	PPI
PRKACG	PPI
PRKACB	PPI
KPNA1	PPI
KPNA5	PPI
TRAF3	PPI
FURIN	PPI
CD36	PPI
PCSK6	PPI
NFE2L2	PPI
GPIHBP1	PPI
PCSK5	PPI
FGF21	PPI
APOB	PPI
CYP1A1	PPI
APOA4	PPI
HSPD1	PPI
PSMD14	PPI
PRKCA	PPI
EGFR	PPI
CNEP1R1	PPI
CTDNEP1	PPI
CDK1	PPI
CCNB1	PPI
PLIN1	PPI
TNFRSF1A	PPI
NEU1	PPI
CTSA	PPI
PAFAH1B1	PPI
LRP1	PPI
SERPINF1	PPI
TEX261	PPI
PIGK	PPI
RALA	PPI
STXBP1	PPI
ARF1	PPI
KAT5	PPI
PLCG1	PPI
SRC	PPI
GRB2	PPI
ANGPTL4	PPI
SGK3	PPI
SGK2	PPI
CDK2	PPI
PRNP	PPI
HSPE1	PPI
COLQ	PPI
PLIN2	PPI
PEX5L	PPI
FABP9	PPI
G0S2	PPI
PEX5	PPI
PLIN5	PPI
S100A10	PPI
RASGRP3	PPI
ALOX12	PPI
ANGPTL3	PPI
STAR	PPI
APOA5	PPI
RASGRP1	PPI
COL4A1	PPI
DLG2	PPI
LAMA1	PPI
LAMB1	PPI
DLG3	PPI
COL1A1	PPI
CYTH2	PPI
DLG1	PPI
A2M	PPI
SLC12A1	PPI
CTNND1	PPI
KATNA1	PPI
LRPAP1	PPI
VLDLR	PPI
GM2A	PPI
MAPKAPK5	PPI
RAP1A	PPI
PTRF	PPI
GPAA1	PPI
NFATC4	PPI
DCN	PPI
EHD1	PPI
USP42	PPI
GBF1	PPI
PKN3	PPI
PPM1E	PPI
EPB41L3	PPI
