V1	V2
CKM	ENO1
CKM	LDHB
CKM	PGK2
CKM	LDHC
CKM	UBC
CKM	HSPA8
CKM	CKB
CKM	PKM
CKM	MYOD1
CKM	PGAM2
CKM	TCF3
CKM	PGAM1
CKM	MT3
CKM	YWHAQ
CKM	PSMB9
CKM	YWHAB
CKM	HTT
CKM	HMGA2
CKM	RAD23B
CKM	PSMD4
CKM	HIST1H4A
CKM	YWHAZ
CKM	SMAD3
CKM	MEF2A
CKM	PRKCE
CKM	KCNMA1
CKM	FHL2
CKM	NFIX
CKM	IQCB1
CKM	HSPB2
CKM	LRRK2
CKM	RPGRIP1L
CKM	DUX4L9
CKM	LDHAL6A
CKM	MIB1
CKM	PALM2
CKM	PGAM4
CKM	ATP6V1C2
CKM	FBXO32
CKM	TRIM63
CKM	ASB9
CKM	HSD17B10
CKM	MYOC
CKM	TRIM54
CKM	TRIM55
CKM	LDHAL6B
CKM	SLC12A5
CKM	ZDHHC7
CKM	SLC12A6
CKM	CBLC
CKM	SLC12A4
CKM	INVS
CKM	BRD4
CKM	NOS1AP
CKM	EED
CKM	LDHA
CKM	PGK1
CKM	ALDOA
CKM	GAPDH
CKM	ALDOB
CKMT2	PGAM1
CKMT2	MT3
CKMT2	YWHAQ
CKMT2	YWHAB
CKMT2	HTT
CKMT2	HMGA2
CKMT2	RAD23B
CKMT2	PSMD4
CKMT2	HIST1H4A
CKMT2	YWHAZ
CKMT2	SMAD3
CKMT2	MEF2A
CKMT2	PRKCE
CKMT2	KCNMA1
CKMT2	UNC119
CKMT2	NFIX
CKMT2	LRRK2
CKMT2	LRIF1
CKMT2	RIF1
CKMT2	RPGRIP1L
CKMT2	LDHAL6A
CKMT2	MIB1
CKMT2	PGAM4
CKMT2	FBXO32
CKMT2	TRIM63
CKMT2	HSD17B10
CKMT2	ABHD6
CKMT2	TMED9
CKMT2	LDHAL6B
CKMT2	SLC12A5
CKMT2	OLFML3
CKMT2	SLC12A6
CKMT2	SLC12A4
CKMT2	INVS
CKMT2	EED
CKMT2	LDHA
CKMT2	PGK1
CKMT2	ALDOA
