gene	node_type
CKM	gene
CKMT2	gene
CKB	gene
CKMT1A; CKMT1B	gene
PSPH	gene
PSAT1	gene
HYI	gene
DLD	gene
SARS	gene
SARS2	gene
CHDH	gene
GLYCTK	gene
HEL-S-182MP	gene
GNMT	gene
AARS	gene
AARS2	gene
HEL-S-113	gene
PHGDH	gene
AMT	gene
ALAS1	gene
ALAS2	gene
HAO1	gene
HAO2	gene
BHMT2	gene
DAO	gene
MAOA	gene
MAOB	gene
ACY1	gene
TARS2	gene
TARSL2	gene
TARS	gene
GATM	gene
GLO1	gene
HEL-S-74	gene
NAGS	gene
HAGH	gene
SHMT1	gene
SHMT2	gene
SHMT	gene
DKFZP686P09201	gene
HEL-S-51E	gene
HEL-S-20	gene
GAMT	gene
BHMT	gene
GLDC	gene
GCAT	gene
GLYATL2	gene
GGT1	gene
GGT	gene
HEL-S-182MP	PPI
DKFZP686P09201	PPI
HEL-S-51E	PPI
ENO1	PPI
LDHB	PPI
PGK2	PPI
LDHC	PPI
UBC	PPI
HSPA8	PPI
PKM	PPI
MYOD1	PPI
PGAM2	PPI
TCF3	PPI
PGAM1	PPI
MT3	PPI
YWHAQ	PPI
PSMB9	PPI
YWHAB	PPI
HTT	PPI
HMGA2	PPI
RAD23B	PPI
PSMD4	PPI
HIST1H4A	PPI
YWHAZ	PPI
SMAD3	PPI
MEF2A	PPI
PRKCE	PPI
KCNMA1	PPI
FHL2	PPI
NFIX	PPI
IQCB1	PPI
HSPB2	PPI
LRRK2	PPI
RPGRIP1L	PPI
DUX4L9	PPI
LDHAL6A	PPI
MIB1	PPI
PALM2	PPI
PGAM4	PPI
ATP6V1C2	PPI
FBXO32	PPI
TRIM63	PPI
ASB9	PPI
HSD17B10	PPI
MYOC	PPI
TRIM54	PPI
TRIM55	PPI
LDHAL6B	PPI
SLC12A5	PPI
ZDHHC7	PPI
SLC12A6	PPI
CBLC	PPI
SLC12A4	PPI
INVS	PPI
BRD4	PPI
NOS1AP	PPI
EED	PPI
LDHA	PPI
PGK1	PPI
ALDOA	PPI
GAPDH	PPI
ALDOB	PPI
UNC119	PPI
LRIF1	PPI
RIF1	PPI
ABHD6	PPI
TMED9	PPI
OLFML3	PPI
ELN	PPI
CDK2	PPI
PSMA3	PPI
AKT1	PPI
FUS	PPI
PPP1CC	PPI
MLH1	PPI
RAD52	PPI
TERF1	PPI
GABARAPL2	PPI
SUMO2	PPI
PPP1CA	PPI
ILK	PPI
CUL1	PPI
CUL3	PPI
CUL7	PPI
SF1	PPI
TAB1	PPI
MAPK11	PPI
MAPK14	PPI
RC3H1	PPI
USPL1	PPI
HUWE1	PPI
CNTRL	PPI
SPICE1	PPI
CNTROB	PPI
SERP2	PPI
CEP120	PPI
POC1A	PPI
TRAF3IP1	PPI
ASB12	PPI
ACD	PPI
OTUB1	PPI
ASB16	PPI
B9D2	PPI
TINF2	PPI
CCDC8	PPI
MAP1LC3A	PPI
CENPJ	PPI
MOV10	PPI
SIRT7	PPI
POT1	PPI
HDAC5	PPI
USP15	PPI
MAPK13	PPI
OBSL1	PPI
GABARAP	PPI
NTRK1	PPI
JUN	PPI
ERH	PPI
YWHAH	PPI
CIRBP	PPI
BOP1	PPI
PRPSAP1	PPI
SUMO4	PPI
RPS4Y2	PPI
TNFRSF14	PPI
SGTB	PPI
PRMT1	PPI
MOB1A	PPI
ASF1B	PPI
IGF2BP1	PPI
STYXL1	PPI
ASNA1	PPI
SGTA	PPI
PTP4A3	PPI
RPLP0	PPI
HSP90AB1	PPI
RPSA	PPI
HSPA1A	PPI
HSPA1B	PPI
TXN	PPI
HSPA6	PPI
RCC1	PPI
RPS4Y1	PPI
HSPA1L	PPI
CAP2	PPI
RPL5	PPI
RPS9	PPI
CCT3	PPI
CCT8	PPI
ATXN1	PPI
HSPA2	PPI
SEC13	PPI
SUMO3	PPI
HNRNPK	PPI
YWHAG	PPI
RPS4X	PPI
RPS28	PPI
SUMO1	PPI
MYO1F	PPI
PSMD14	PPI
XPO1	PPI
UBD	PPI
DNAJA2	PPI
PSMD10	PPI
BAG3	PPI
MYC	PPI
APP	PPI
BPGM	PPI
HSP90AA1	PPI
HSPD1	PPI
PSKH1	PPI
TIMP2	PPI
TAF1	PPI
UBA1	PPI
PPP2R1A	PPI
PPP2R1B	PPI
GCH1	PPI
DNAJA1	PPI
STIP1	PPI
CTH	PPI
HNF4A	PPI
CSNK1D	PPI
PGD	PPI
MAX	PPI
HIST1H3A	PPI
DLG4	PPI
H3F3A	PPI
E2F1	PPI
MYO1E	PPI
PSMD2	PPI
CAMK1	PPI
USP10	PPI
CEBPE	PPI
NEDD8	PPI
E2F4	PPI
CAMK4	PPI
MAPK6	PPI
HIST3H3	PPI
H3F3C	PPI
PNCK	PPI
MPRIP	PPI
HIST2H3A	PPI
CAMK1D	PPI
MSRB3	PPI
DNAJA4	PPI
AURKB	PPI
CAMK1G	PPI
C12ORF10	PPI
TNIK	PPI
AURKC	PPI
FOXA2	PPI
GMPPB	PPI
SIAH1	PPI
TEX11	PPI
MRPS17	PPI
WASH1	PPI
SIAH2	PPI
PRKRA	PPI
SHBG	PPI
TFAP2A	PPI
ACTB	PPI
SRSF11	PPI
MAPRE1	PPI
CCDC14	PPI
H2AFZ	PPI
DLAT	PPI
PRKAR1A	PPI
HSPA5	PPI
PDHB	PPI
DBT	PPI
PYGB	PPI
PYGM	PPI
PC	PPI
PABPC1	PPI
PCNA	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
BCKDHA	PPI
EEF2	PPI
PDIA4	PPI
TPT1	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
FDPS	PPI
SLC2A4	PPI
IDE	PPI
ATP6V1B1	PPI
ATF2	PPI
UCHL3	PPI
NME1	PPI
GOT1	PPI
PRKACA	PPI
CTPS1	PPI
PFKL	PPI
PSMC3	PPI
ERCC2	PPI
RPL7	PPI
LIG1	PPI
HK1	PPI
CSNK2A2	PPI
EIF2S2	PPI
SDS	PPI
BTF3	PPI
RAB5A	PPI
IMPDH1	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
VDAC1	PPI
SDHB	PPI
BCKDHB	PPI
FBL	PPI
GART	PPI
NME2	PPI
PRKACG	PPI
PRKACB	PPI
GCSH	PPI
AHCY	PPI
HIST1H2BO	PPI
CFL1	PPI
RRM1	PPI
EEF1B2	PPI
CCNC	PPI
ATP5A1	PPI
VARS	PPI
EEF1G	PPI
MAPK3	PPI
CAD	PPI
MAPK1	PPI
TKT	PPI
PDHA2	PPI
PRDX5	PPI
PRDX3	PPI
PEBP1	PPI
PDIA3	PPI
PPIF	PPI
PKLR	PPI
ALDH1B1	PPI
POLR2B	PPI
GDI1	PPI
MAT2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
RRM2	PPI
UQCRC1	PPI
PRDX2	PPI
HIST1H2BB	PPI
HSPA4	PPI
MPI	PPI
RFC4	PPI
RFC2	PPI
RFC1	PPI
CBS	PPI
GCK	PPI
COPB2	PPI
GLRX	PPI
PSMC2	PPI
MAP2K2	PPI
ATP5C1	PPI
ATP6V1E1	PPI
LONP1	PPI
DLST	PPI
GMPR	PPI
TAGLN2	PPI
ATP6V1A	PPI
HSPA9	PPI
RPL13A	PPI
MDH2	PPI
EIF2S3	PPI
RBM34	PPI
ACAA2	PPI
PSMC4	PPI
VDAC2	PPI
NSF	PPI
NEDD4	PPI
ALDH1A3	PPI
LIMS1	PPI
PSMD8	PPI
CSNK1A1	PPI
IDH2	PPI
TUFM	PPI
CSNK1E	PPI
PSMB3	PPI
PSMB2	PPI
HINT1	PPI
TAF6	PPI
LIG4	PPI
IDH3A	PPI
GDI2	PPI
CCT4	PPI
RAB5C	PPI
IDH3G	PPI
PSMD7	PPI
STAT5B	PPI
CNN1	PPI
KPNA1	PPI
PPP5C	PPI
SUCLG1	PPI
COPA	PPI
CLTCL1	PPI
PMS2	PPI
AK2	PPI
GYS2	PPI
HMGCS2	PPI
VCP	PPI
NAP1L1	PPI
SNU13	PPI
NPEPPS	PPI
PCBP3	PPI
HIST1H2BD	PPI
TPI1	PPI
EIF4A1	PPI
DSTN	PPI
RAB5B	PPI
ACTR3	PPI
ACTR2	PPI
ABCE1	PPI
RPS3A	PPI
RPL15	PPI
RPL27	PPI
RPL37	PPI
NUTF2	PPI
PPP1CB	PPI
PSMC5	PPI
YWHAE	PPI
RPS18	PPI
ETF1	PPI
PPP2CB	PPI
ACTA2	PPI
HIST1H2BC	PPI
RAN	PPI
RPS24	PPI
RBX1	PPI
RPL30	PPI
PPIA	PPI
FKBP1A	PPI
RPS27A	PPI
UBA52	PPI
GRB2	PPI
EIF5A	PPI
ACTG1	PPI
ACTG2	PPI
PPP2CA	PPI
CSNK2B	PPI
ACTC1	PPI
EEF1A1	PPI
FKBP1B	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
CSNK2A1	PPI
CCT2	PPI
MRPS36	PPI
ARF1	PPI
MAT1A	PPI
CLTC	PPI
MDM2	PPI
GALK2	PPI
HMGCS1	PPI
PFKP	PPI
TAGLN	PPI
OGDH	PPI
RPL18A	PPI
ERCC6	PPI
EEF1A2	PPI
GFPT1	PPI
PPID	PPI
CPSF1	PPI
PMPCA	PPI
TBL3	PPI
ACACA	PPI
PRDX4	PPI
STK3	PPI
NME3	PPI
PABPC4	PPI
TUBB3	PPI
CUL2	PPI
TUBA3C	PPI
TUBB2A	PPI
BYSL	PPI
ICT1	PPI
EIF4A2	PPI
HLTF	PPI
TRIP12	PPI
PDCD11	PPI
SEPT2	PPI
KARS	PPI
PDK1	PPI
PDK2	PPI
PDK3	PPI
PWP2	PPI
PUM3	PPI
CNN3	PPI
PPP1R7	PPI
SEC23A	PPI
SEC23B	PPI
SURF1	PPI
TAF5	PPI
EZH2	PPI
SEPT7	PPI
TAF9	PPI
PDK4	PPI
HIST2H2BE	PPI
UGP2	PPI
TUBB8	PPI
PABPC1L	PPI
EPC2	PPI
EARS2	PPI
PABPC1L2A	PPI
PITRM1	PPI
HIST2H2BF	PPI
UTP14C	PPI
SLX4IP	PPI
EIF5AL1	PPI
PRPF40B	PPI
TUBA3E	PPI
DARS2	PPI
DHRS11	PPI
VPS13C	PPI
TUBA1A	PPI
H2AFV	PPI
PARS2	PPI
MOB1B	PPI
RRM2B	PPI
H2BFWT	PPI
LONP2	PPI
SEPT12	PPI
XRN1	PPI
HIST3H2BB	PPI
PPM1K	PPI
GUF1	PPI
AADAT	PPI
KRI1	PPI
PDPR	PPI
ABCF1	PPI
THOC2	PPI
WDR36	PPI
PPTC7	PPI
GRPEL2	PPI
IPO4	PPI
LEO1	PPI
ASB15	PPI
HSPH1	PPI
GCN1	PPI
SORL1	PPI
RAD54L	PPI
ESR2	PPI
PMM1	PPI
ERCC4	PPI
KAT5	PPI
HIST1H2BH	PPI
GTPBP3	PPI
ATP6V1E2	PPI
HIST1H2BA	PPI
NMD3	PPI
MSI2	PPI
PABPC5	PPI
DNAJA3	PPI
SDSL	PPI
DDX27	PPI
C7ORF55	PPI
SH3YL1	PPI
DHTKD1	PPI
BTF3L4	PPI
NEDD4L	PPI
VPS13A	PPI
GFM1	PPI
TP53RK	PPI
PSMD1	PPI
PFDN5	PPI
HIST1H4G	PPI
EIF3C	PPI
SEPT5	PPI
NAP1L4	PPI
ACO2	PPI
CCT7	PPI
HIST1H2BN	PPI
HIST1H2BM	PPI
HIST1H2BL	PPI
AGPAT1	PPI
TUBB6	PPI
TUBB2B	PPI
MLST8	PPI
UTP14A	PPI
GNL3	PPI
QTRT1	PPI
AP1M1	PPI
MRPL20	PPI
WDR12	PPI
EIF5A2	PPI
NAT10	PPI
SLC25A31	PPI
TKTL2	PPI
GABARAPL1	PPI
DDX47	PPI
EPC1	PPI
PABPC3	PPI
TUBB1	PPI
HEATR1	PPI
NOL6	PPI
RPF2	PPI
DDX31	PPI
WDR76	PPI
POLR1B	PPI
GRPEL1	PPI
TAF9B	PPI
GPN1	PPI
TXNRD2	PPI
NPHS2	PPI
OSGEP	PPI
ISYNA1	PPI
PPAN	PPI
XPNPEP1	PPI
MYO5C	PPI
SAR1A	PPI
CTPS2	PPI
PNO1	PPI
MRPL17	PPI
GLRX2	PPI
OLA1	PPI
MDN1	PPI
TDP1	PPI
GNL3L	PPI
DDX18	PPI
POLR3B	PPI
RBM28	PPI
TUBA8	PPI
DDX56	PPI
PDP1	PPI
MRPL27	PPI
ZNRD1	PPI
ACTR3B	PPI
STK26	PPI
LARS	PPI
PDP2	PPI
GMPR2	PPI
HDAC6	PPI
FBXW11	PPI
OGDHL	PPI
MYO5B	PPI
NAP1L2	PPI
NOB1	PPI
PSMD13	PPI
PPIE	PPI
WDR3	PPI
NSFL1C	PPI
SMC3	PPI
RUVBL2	PPI
LIPT1	PPI
RUVBL1	PPI
VDAC3	PPI
CFL2	PPI
FARSA	PPI
BTRC	PPI
DDX52	PPI
POLR1D	PPI
MRPS2	PPI
UTP11	PPI
MRPL11	PPI
TPRKB	PPI
MRPS16	PPI
NOC2L	PPI
TRRAP	PPI
MYO5A	PPI
AFG3L2	PPI
UTP18	PPI
NFS1	PPI
SAR1B	PPI
STK24	PPI
SIRT4	PPI
AP1M2	PPI
CNOT1	PPI
TUBAL3	PPI
EIF4E1B	PPI
EIF3CL	PPI
PSMD11	PPI
PSMD12	PPI
PDHX	PPI
STK25	PPI
PES1	PPI
NOP56	PPI
NTN3	PPI
PPP6C	PPI
NME4	PPI
BCKDK	PPI
AGPAT2	PPI
KPNA5	PPI
POLR1C	PPI
WDR46	PPI
MRPS12	PPI
PMM2	PPI
NVL	PPI
MSI1	PPI
PLRG1	PPI
IDH3B	PPI
ACSL4	PPI
EIF4E2	PPI
HIST1H2BK	PPI
CLUH	PPI
CS	PPI
PRPF40A	PPI
PMPCB	PPI
TIPRL	PPI
IDH1	PPI
GLRX3	PPI
CLPX	PPI
ALDH1A2	PPI
GFPT2	PPI
FBXO21	PPI
ATE1	PPI
ACSL3	PPI
POLR1A	PPI
NTN1	PPI
HSPA4L	PPI
CHEK2	PPI
ALDH1A1	PPI
SOD1	PPI
OTC	PPI
GOT2	PPI
ASS1	PPI
FN1	PPI
SOD2	PPI
OAT	PPI
TUBB4A	PPI
ALDH2	PPI
SLC25A5	PPI
EIF2S1	PPI
ATP5B	PPI
EIF4E	PPI
PYGL	PPI
GPI	PPI
HIST1H2BJ	PPI
P4HB	PPI
TUBB	PPI
APRT	PPI
GALT	PPI
FH	PPI
PFKM	PPI
ASNS	PPI
PDHA1	PPI
ENO2	PPI
MCM2	PPI
TMED10	PPI
KPNA2	PPI
COPB1	PPI
CALM1	PPI
