gene	node_type
CKM	gene
CKMT2	gene
CKB	gene
CKMT1A; CKMT1B	gene
PSPH	gene
PSAT1	gene
HYI	gene
DLD	gene
SARS	gene
SARS2	gene
CHDH	gene
GLYCTK	gene
HEL-S-182MP	gene
GNMT	gene
AARS	gene
AARS2	gene
HEL-S-113	gene
PHGDH	gene
AMT	gene
ALAS1	gene
ALAS2	gene
HAO1	gene
HAO2	gene
BHMT2	gene
DAO	gene
MAOA	gene
MAOB	gene
ACY1	gene
TARS2	gene
TARSL2	gene
TARS	gene
GATM	gene
GLO1	gene
HEL-S-74	gene
NAGS	gene
HAGH	gene
SHMT1	gene
SHMT2	gene
SHMT	gene
DKFZP686P09201	gene
HEL-S-51E	gene
HEL-S-20	gene
GAMT	gene
BHMT	gene
GLDC	gene
GCAT	gene
GLYATL2	gene
GGT1	gene
GGT	gene
HEL-S-182MP	PPI
DKFZP686P09201	PPI
HEL-S-51E	PPI
ASB9	PPI
UBC	PPI
HSPA1B	PPI
DLAT	PPI
HSPA8	PPI
PDHB	PPI
DBT	PPI
BCKDHA	PPI
HSPA6	PPI
BCKDHB	PPI
GCSH	PPI
DLST	PPI
HSPA2	PPI
OGDH	PPI
PDK1	PPI
PDK2	PPI
PDK3	PPI
PDK4	PPI
PPM1K	PPI
PDPR	PPI
PDP1	PPI
PDP2	PPI
OGDHL	PPI
LIPT1	PPI
PDHX	PPI
BCKDK	PPI
PDHA1	PPI
TDH	PPI
GLYATL1	PPI
BAAT	PPI
GLYAT	PPI
TIMM23	PPI
TIMM17B	PPI
TIMM17A	PPI
PAM16	PPI
TIMM44	PPI
DAOA	PPI
MYOD1	PPI
RNF180	PPI
SUMO2	PPI
SUMO3	PPI
SUMO1	PPI
SLC12A5	PPI
DNAJC19	PPI
NRF1	PPI
SLC12A6	PPI
SLC12A4	PPI
SIRT1	PPI
SPHK2	PPI
SPHK1	PPI
FOXO1	PPI
SUCLA2	PPI
MAP1LC3A	PPI
CBLC	PPI
PPARGC1A	PPI
SQSTM1	PPI
TCF3	PPI
JUN	PPI
PKM	PPI
VHL	PPI
ASF1B	PPI
ASF1A	PPI
TRIM63	PPI
SEC13	PPI
VDAC3	PPI
VDAC1	PPI
VDAC2	PPI
TRIM54	PPI
MT3	PPI
PEBP1	PPI
ALDOA	PPI
ALDOB	PPI
RHOB	PPI
SUMO4	PPI
NAMPT	PPI
TRMT10C	PPI
CD53	PPI
CDK11A	PPI
LRRK2	PPI
JMY	PPI
CD82	PPI
HIST1H4A	PPI
DHFR	PPI
DHFRL1	PPI
CD81	PPI
NFIX	PPI
MEF2A	PPI
PRNP	PPI
ALDH16A1	PPI
LDHC	PPI
LDHAL6A	PPI
LDHAL6B	PPI
LDHA	PPI
LDHB	PPI
PGK2	PPI
PGK1	PPI
NR3C1	PPI
ENO1	PPI
PGAM1	PPI
PGAM4	PPI
GAPDH	PPI
PGAM2	PPI
PCNA	PPI
NAP1L1	PPI
NAP1L4	PPI
NAP1L2	PPI
LAMTOR5	PPI
PSMD14	PPI
PPOX	PPI
FHL2	PPI
FECH	PPI
YWHAQ	PPI
PSMD4	PPI
RAB7A	PPI
KCNMA1	PPI
CLPP	PPI
PRKCE	PPI
NEDD8	PPI
SKP1	PPI
SURF1	PPI
KCMF1	PPI
FASTKD3	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
COX5B	PPI
PRKAR2B	PPI
TRAF3IP1	PPI
TRIP13	PPI
ABCG1	PPI
UBD	PPI
HSPA1L	PPI
RAD23B	PPI
RC3H1	PPI
HNRNPK	PPI
ISG15	PPI
PPP2R1A	PPI
PPP2R1B	PPI
HSP90AA1	PPI
HSP90AB1	PPI
EEF1B2	PPI
BBS2	PPI
PPP1CC	PPI
TP53	PPI
SIRT4	PPI
PGD	PPI
PSMB2	PPI
BBS4	PPI
BBS1	PPI
SMAD3	PPI
E2F1	PPI
KAT5	PPI
PRKAB2	PPI
BBS7	PPI
PRMT1	PPI
PRMT8	PPI
NPEPPS	PPI
TRIM33	PPI
TFAP2A	PPI
MYC	PPI
UBE2A	PPI
UBE2B	PPI
STK4	PPI
CDK9	PPI
CDC73	PPI
SENP3	PPI
GJA1	PPI
YWHAB	PPI
YWHAZ	PPI
MIB1	PPI
MYOC	PPI
DUSP19	PPI
TRIM55	PPI
BRD4	PPI
SF1	PPI
EZH2	PPI
ABCF1	PPI
CHMP2B	PPI
STAMBP	PPI
YOD1	PPI
AKT1	PPI
NPHS2	PPI
VCAM1	PPI
SET	PPI
PSMC3	PPI
CDK2	PPI
DUX4L9	PPI
FBXO32	PPI
RAD52	PPI
PPP1CA	PPI
ESR1	PPI
TMSB10	PPI
PEX5	PPI
NDRG1	PPI
HSD17B10	PPI
YWHAH	PPI
YWHAG	PPI
DLG4	PPI
ESR2	PPI
NFS1	PPI
EP400	PPI
