gene	node_type
GPI	gene
PGM2L1	gene
PFKFB3	gene
TPI1	gene
HEL-S-49	gene
HEL-S-281	gene
LDHC	gene
LDHAL6A	gene
LDHB	gene
HEL-S-133P	gene
LDHA	gene
LDHAL6B	gene
PC	gene
ALDOA	gene
ALDOC	gene
HEL-S-87P	gene
ALDOB	gene
PFKM	gene
PHOSPHOFRUCTOKINASE-M: PFK-M	gene
PFKP	gene
PFKL	gene
DLD	gene
ACYP2	gene
ACYP1	gene
DLAT	gene
CAT	gene
CAT	gene
ALDH1A3	gene
ALDH3A1	gene
ALDH3B1	gene
ALDH3B2	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
ME2	gene
GALM	gene
ENO3	gene
ENO4	gene
ENO2	gene
ENO1	gene
PDHA1	gene
PDHA2	gene
PDHB	gene
FBP2	gene
FBP1	gene
GAPD	gene
HEL-S-278	gene
HEL-S-162EP	gene
GAPDHS	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
HEL-S-68P	gene
HEL-S-272	gene
PGK1	gene
PGK2	gene
PKM	gene
PKM2	gene
HEL-S-30	gene
PKLR	gene
G6PC3	gene
G6PC	gene
G6PC2	gene
ACSS2	gene
DKFZP762G026	gene
ACSS1	gene
ACSS3	gene
PGM1	gene
ACOT12	gene
PCK2	gene
PCK1	gene
PCK2	gene
HK3	gene
HK1-TC	gene
HK1	gene
HKDC1	gene
HK2	gene
GCK	gene
ADPGK	gene
PFKFB1	gene
PFKFB2	gene
TIGAR	gene
ME3	gene
ME1	gene
HEL-S-87P	PPI
PHOSPHOFRUCTOKINASE-M: PFK-M	PPI
HEL-S-162EP	PPI
HEL-S-68P	PPI
DKFZP762G026	PPI
HK1-TC	PPI
HIST1H2BJ	PPI
P4HB	PPI
TUBB	PPI
BPGM	PPI
HSP90AA1	PPI
GALT	PPI
FH	PPI
HSP90AB1	PPI
SNRNP70	PPI
HIST1H2AG	PPI
H2AFB1	PPI
H2AFB2	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
PRKAR1A	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
PYGB	PPI
PYGM	PPI
TOP2A	PPI
MTHFD1	PPI
PSKH1	PPI
PABPC1	PPI
PCNA	PPI
SLC25A4	PPI
SLC25A6	PPI
TPR	PPI
SRC	PPI
EEF2	PPI
PDIA4	PPI
TPT1	PPI
LCP1	PPI
PLS3	PPI
GYS1	PPI
PRKAR2A	PPI
FDPS	PPI
AKR1A1	PPI
CCNB1	PPI
SLC2A4	PPI
COX6B1	PPI
DARS	PPI
GSPT1	PPI
PGAM2	PPI
ATP6V1B1	PPI
NME1	PPI
H2AFX	PPI
PPP3CB	PPI
GNB3	PPI
HSPA6	PPI
GOT1	PPI
AKR1C4	PPI
PRKACA	PPI
CTPS1	PPI
PSMC3	PPI
TCP1	PPI
ERCC2	PPI
ARF4	PPI
RPL7	PPI
PGAM1	PPI
POLR2C	PPI
POLR2E	PPI
SRM	PPI
CSNK2A2	PPI
EIF2S2	PPI
SDS	PPI
BTF3	PPI
RAB5A	PPI
RAB6A	PPI
HIST1H2AD	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
GPD1	PPI
VDAC1	PPI
FBL	PPI
GART	PPI
UBA1	PPI
NME2	PPI
PRKACG	PPI
PRKACB	PPI
FECH	PPI
RPS3	PPI
AHCY	PPI
HIST1H2BO	PPI
CFL1	PPI
ACAT1	PPI
CCNC	PPI
POLR2A	PPI
CDK2	PPI
DNAJB1	PPI
ATP5A1	PPI
DDX6	PPI
TARS	PPI
VARS	PPI
EEF1G	PPI
MAPK3	PPI
ATP6V0C	PPI
CALML3	PPI
RPA1	PPI
CAD	PPI
MAPK1	PPI
TKT	PPI
PRDX5	PPI
PRDX3	PPI
PDIA3	PPI
PPP2R1A	PPI
PPP2R1B	PPI
PPIF	PPI
GCH1	PPI
POLR2B	PPI
CORO1A	PPI
GDI1	PPI
MAT2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
RRM2	PPI
DNAJA1	PPI
UQCRC1	PPI
ATIC	PPI
STIP1	PPI
PRDX2	PPI
CTH	PPI
ACSL1	PPI
HIST1H2BB	PPI
MCM4	PPI
MCM7	PPI
SHMT1	PPI
SHMT2	PPI
HSPA1L	PPI
HSPA4	PPI
MPI	PPI
RFC4	PPI
RFC2	PPI
CBS	PPI
COPB2	PPI
FUS	PPI
GLRX	PPI
PSMC2	PPI
MAP2K2	PPI
ATP5C1	PPI
ATP6V1E1	PPI
LONP1	PPI
PPP1CC	PPI
DLST	PPI
TAGLN2	PPI
TALDO1	PPI
LIPA	PPI
ATP6V1A	PPI
HSPA9	PPI
EIF4A3	PPI
CAP2	PPI
CCT6A	PPI
MLH1	PPI
MDH2	PPI
RFC5	PPI
RFC3	PPI
EIF2S3	PPI
GARS	PPI
IARS	PPI
EIF1	PPI
RBM34	PPI
RANBP1	PPI
PSMC4	PPI
VDAC2	PPI
RANGAP1	PPI
NOP2	PPI
NEDD4	PPI
UQCRFS1	PPI
ATP5O	PPI
PPP3CC	PPI
PSMD8	PPI
CCT5	PPI
CSNK1A1	PPI
CSNK1D	PPI
CCT3	PPI
PCYT1A	PPI
AARS	PPI
SARS	PPI
CSNK1E	PPI
EIF2B2	PPI
MRE11A	PPI
IDH3A	PPI
GDI2	PPI
CDK7	PPI
CCT8	PPI
CCT4	PPI
PAPOLA	PPI
RAB5C	PPI
IDH3G	PPI
PSMD7	PPI
AKR1D1	PPI
CNN1	PPI
MNAT1	PPI
PGD	PPI
KPNA1	PPI
NCBP2	PPI
MRPL12	PPI
AKR1C2	PPI
PPP5C	PPI
SUCLG1	PPI
COPA	PPI
CLTCL1	PPI
PRKAA2	PPI
HSPA2	PPI
BCAT1	PPI
AK2	PPI
GYS2	PPI
HMGCS2	PPI
PSMD4	PPI
CSE1L	PPI
VCP	PPI
NAP1L1	PPI
ADK	PPI
SNU13	PPI
NPEPPS	PPI
SUMO3	PPI
