gene1	gene	score
GPI	UBC	1
GPI	HSPA1B	1
GPI	HSPA8	1
GPI	HSPA6	1
GPI	HSPA2	1
PFKFB3	UBC	1
TPI1	UBC	1
LDHB	UBC	1
LDHB	LDHA	1
LDHA	LDHB	1
LDHA	UBC	1
PC	HLCS	1
PC	UBC	1
ALDOA	UBC	1
ALDOC	UBC	1
ALDOB	UBC	1
PFKM	UBC	1
PFKM	HSPA1B	1
PFKM	HSPA8	1
PFKM	HSPA6	1
PFKM	PFKL	1
PFKM	MAT2A	1
PFKM	HSPA2	1
PFKM	MAT1A	1
PFKM	PFKP	1
PFKP	PFKM	1
PFKP	UBC	1
PFKP	HSPA1B	1
PFKP	HSPA8	1
PFKP	HSPA6	1
PFKP	PFKL	1
PFKP	MAT2A	1
PFKP	HSPA2	1
PFKP	MAT1A	1
PFKL	MAT2A	1
PFKL	HSPA2	1
PFKL	MAT1A	1
PFKL	PFKP	1
PFKL	PFKM	1
PFKL	UBC	1
PFKL	HSPA1B	1
PFKL	HSPA8	1
PFKL	HSPA6	1
DLD	UBC	1
DLD	HSPA1B	1
DLD	DLAT	1
DLD	HSPA8	1
DLD	PDHB	1
DLD	DBT	1
DLD	BCKDHA	1
DLD	HSPA6	1
DLD	BCKDHB	1
DLD	GCSH	1
DLD	DLST	1
DLD	HSPA2	1
DLD	OGDH	1
DLD	PDK1	1
DLD	PDK2	1
DLD	PDK3	1
DLD	PDK4	1
DLD	PPM1K	1
DLD	PDPR	1
DLD	PDP1	1
DLD	PDP2	1
DLD	OGDHL	1
DLD	LIPT1	1
DLD	PDHX	1
DLD	BCKDK	1
DLD	PDHA1	1
ACYP1	UBC	1
DLAT	HSPA8	1
DLAT	PDHB	1
DLAT	HSPA6	1
DLAT	GCSH	1
DLAT	PDHA2	1
DLAT	HSPA2	1
DLAT	PDK1	1
DLAT	PDK2	1
DLAT	PDK3	1
DLAT	PDK4	1
DLAT	PDPR	1
DLAT	PDP1	1
DLAT	PDP2	1
DLAT	LIPT1	1
DLAT	PDHX	1
DLAT	PSMD14	1
DLAT	PDHA1	1
DLAT	DLD	1
DLAT	UBC	1
DLAT	HSPA1B	1
CAT	SOD2	1
CAT	UBC	1
ALDH1A3	UBC	1
ALDH3A1	UBC	1
ALDH3B1	UBC	1
ALDH3B2	UBC	1
ALDH2	UBC	1
ALDH2	HSPD1	1
ALDH2	PSMD14	1
ALDH3A2	UBC	1
ALDH1B1	PSMD14	1
ALDH1B1	UBC	1
ENO3	HSPA6	1
ENO3	HSPA2	1
ENO3	SUMO3	1
ENO3	SUMO2	1
ENO3	SUMO1	1
ENO3	SUMO4	1
ENO3	HSPH1	1
ENO3	HSPA4L	1
ENO3	UBC	1
ENO3	HSPA1A	1
ENO3	HSPA1B	1
ENO3	HSPA8	1
ENO2	UBC	1
ENO2	HSPA1A	1
ENO2	HSPA1B	1
ENO2	HSPA8	1
ENO2	HSPA6	1
ENO2	HSPA2	1
ENO2	SUMO3	1
ENO2	SUMO2	1
ENO2	SUMO1	1
ENO2	SUMO4	1
ENO2	HSPH1	1
ENO2	HSPA4L	1
ENO2	GAPDH	1
ENO1	PGK2	1
ENO1	HSP90AB1	1
ENO1	UBC	1
ENO1	HSPA1B	1
ENO1	HSPA8	1
ENO1	SRC	1
ENO1	HSPA6	1
ENO1	HSPA2	1
ENO1	SUMO3	1
ENO1	SUMO2	1
ENO1	YWHAZ	1
ENO1	SUMO1	1
ENO1	SUMO4	1
ENO1	PGK1	1
ENO1	ISG15	1
PDHA1	DLD	1
PDHA1	UBC	1
PDHA1	DLAT	1
PDHA1	PDHB	1
PDHA1	GCSH	1
PDHA1	PDK1	1
PDHA1	PDK2	1
PDHA1	PDK3	1
PDHA1	PDK4	1
PDHA1	PDPR	1
PDHA1	PDP1	1
PDHA1	PDP2	1
PDHA1	LIPT1	1
PDHA1	PDHX	1
PDHA1	PSMD14	1
PDHA2	PSMD14	1
PDHA2	DLAT	1
PDHA2	PDHB	1
PDHB	GCSH	1
PDHB	PDHA2	1
PDHB	PDK1	1
PDHB	PDK2	1
PDHB	PDK3	1
PDHB	PDK4	1
PDHB	PDPR	1
PDHB	PDP1	1
PDHB	PDP2	1
PDHB	LIPT1	1
PDHB	PDHX	1
PDHB	PDHA1	1
PDHB	DLD	1
PDHB	UBC	1
PDHB	DLAT	1
FBP2	UBC	1
FBP1	UBC	1
GAPDHS	GAPDH	1
GAPDHS	HSP90AB1	1
GAPDHS	UBC	1
GAPDHS	HSPA1B	1
GAPDHS	HSPA8	1
GAPDHS	HSPA6	1
GAPDHS	HSPA1L	1
GAPDHS	HSPA2	1
GAPDHS	SUMO3	1
GAPDHS	SUMO2	1
GAPDHS	SUMO1	1
GAPDHS	SUMO4	1
ADH5	UBC	1
ADH1A	ADH1B	1
ADH1A	ADH1C	1
ADH1B	ADH1C	1
ADH1B	ADH1A	1
ADH1C	ADH1A	1
ADH1C	ADH1B	1
PGK1	GAPDH	1
PGK1	ENO1	1
PGK1	PGK2	1
PGK1	HSP90AA1	1
PGK1	HSP90AB1	1
PGK1	UBC	1
PGK1	HSPA1B	1
PGK1	HSPA8	1
PGK1	HSPA6	1
PGK1	HSPA1L	1
PGK1	HSPA2	1
PGK1	SUMO3	1
PGK1	SUMO2	1
PGK1	SUMO1	1
PGK1	SUMO4	1
PGK1	MMS19	1
PGK1	PSMD14	1
PGK2	UBC	1
PGK2	HSPA1B	1
PGK2	HSPA8	1
PGK2	HSPA6	1
PGK2	HSPA1L	1
PGK2	HSPA2	1
PGK2	SUMO3	1
PGK2	SUMO2	1
PGK2	SUMO1	1
PGK2	SUMO4	1
PGK2	MMS19	1
PGK2	PSMD14	1
PGK2	PGK1	1
PGK2	GAPDH	1
PGK2	ENO1	1
PKM	HSPA6	1
PKM	PRKACA	1
PKM	PRKACG	1
PKM	PRKACB	1
PKM	HSPA1L	1
PKM	PRKX	1
PKM	HSPA2	1
PKM	SUMO3	1
PKM	SUMO2	1
PKM	SUMO1	1
PKM	HSP90AB1	1
PKM	UBC	1
PKM	HSPA1B	1
PKM	HSPA8	1
PKLR	HSPA1L	1
PKLR	PRKX	1
PKLR	HSPA2	1
PKLR	SUMO4	1
PKLR	HSP90AB1	1
PKLR	UBC	1
PKLR	HSPA1B	1
PKLR	HSPA8	1
PKLR	HSPA6	1
PKLR	PRKACA	1
PKLR	PRKACG	1
PKLR	PRKACB	1
G6PC	PCK2	1
G6PC	SCP2	1
ACSS2	UBC	1
ACSS2	HSPA1B	1
ACSS2	HSPA8	1
ACSS2	HSPA6	1
ACSS2	HSPA2	1
ACSS1	UBC	1
ACSS1	HSPA1B	1
ACSS1	HSPA8	1
ACSS1	HSPA6	1
ACSS1	HSPA2	1
PGM1	UBC	1
PCK2	UBC	1
PCK2	SCP2	1
PCK2	G6PC	1
HK1	UBC	1
HK2	UBC	1
GCK	NUP214	1
GCK	NUP62	1
GCK	NUP153	1
GCK	RANBP2	1
GCK	NUP98	1
GCK	NUP107	1
GCK	RAE1	1
GCK	NUP160	1
GCK	GCKR	1
GCK	NUP188	1
GCK	NUP54	1
GCK	NUP93	1
GCK	NUP43	1
GCK	NUP37	1
GCK	NUP35	1
GCK	NUP210	1
GCK	NUP133	1
GCK	NUP205	1
GCK	SEH1L	1
GCK	POM121	1
GCK	NUP88	1
GCK	NDC1	1
GCK	NUP58	1
GCK	NUP85	1
GCK	AAAS	1
GCK	NUP50	1
GCK	POM121C	1
GCK	NUPL2	1
GCK	NUP155	1
GCK	UBC	1
GCK	TPR	1
PFKFB1	PRKACA	1
PFKFB1	PRKACG	1
PFKFB1	PRKACB	1
PFKFB1	PPP2R5D	1
PFKFB1	UBC	1
PFKFB2	UBC	1
TIGAR	UBC	1
ME1	UBC	1
ACSS1	SIRT3	0.643
ENO1	FYN	0.54
FBP2	HIST1H4A	0.499
FBP1	HIST1H4A	0.495
PGK2	TBPL2	0.456
PGK2	TBPL1	0.455
PGK1	TBPL2	0.454
PGK1	TBPL1	0.453
FBP2	MLST8	0.45
FBP2	RPTOR	0.449
FBP1	RPTOR	0.447
FBP1	MLST8	0.447
ALDOB	PRNP	0.446
PGK2	TBP	0.446
FBP2	MTOR	0.445
PGK1	TBP	0.444
ALDH2	HSPE1	0.443
FBP1	MTOR	0.443
PDHB	TRIM63	0.428
