gene1	gene	score
KL	PIK3R2	1
KL	FGF10	1
KL	FLRT2	1
KL	FRS3	1
KL	FGF17	1
KL	NRAS	1
KL	HRAS	1
KL	KRAS	1
KL	FGF1	1
KL	FGF4	1
KL	FGF2	1
KL	UBB	1
KL	UBC	1
KL	FGF6	1
KL	FGFR1	1
KL	FGF3	1
KL	FGF5	1
KL	PLCG1	1
KL	CBL	1
KL	MAPK3	1
KL	PIK3R1	1
KL	MAPK1	1
KL	SHC1	1
KL	FGF9	1
KL	PIK3CA	1
KL	PIK3CB	1
KL	FGF8	1
KL	RPS27A	1
KL	UBA52	1
KL	GRB2	1
KL	PTPN11	1
KL	SOS1	1
KL	GAB1	1
KL	FRS2	1
KL	FGF23	1
KL	FGF22	1
KL	FGF20	1
KL	FLRT3	1
KL	FLRT1	1
GLB1	TNFRSF1A	1
GLB1	NEU1	1
GLB1	UBC	1
GLB1	CTSA	1
HYAL2	STAB2	1
HYAL2	CHP1	1
HYAL2	LYVE1	1
HYAL2	HMMR	1
HYAL2	CD44	1
HYAL2	SLC9A1	1
HEXA	HEXB	1
HEXA	GM2A	1
HEXB	GM2A	1
HEXB	HEXA	1
PIK3R2	FGF10	1
PIK3R2	FGF16	1
PIK3R2	LAT	1
PIK3R2	TYROBP	1
PIK3R2	FGF17	1
PIK3R2	NPHS1	1
PIK3R2	FGF18	1
PIK3R2	RHOBTB1	1
PIK3R2	FGF19	1
PIK3R2	MT-CO2	1
PIK3R2	EGFR	1
PIK3R2	HRAS	1
PIK3R2	PDGFB	1
PIK3R2	EGF	1
PIK3R2	NGF	1
PIK3R2	IGKV1D-16	1
PIK3R2	IGKV1-5	1
PIK3R2	IGLV1-51	1
PIK3R2	IGHV3-23	1
PIK3R2	IGHV2-5	1
PIK3R2	IGKC	1
PIK3R2	IGHG1	1
PIK3R2	IGHG2	1
PIK3R2	IGHG3	1
PIK3R2	IGHG4	1
PIK3R2	PDGFA	1
PIK3R2	NTRK1	1
PIK3R2	FGF1	1
PIK3R2	LCK	1
PIK3R2	FYN	1
PIK3R2	IGKV4-1	1
PIK3R2	RHOC	1
PIK3R2	FGF4	1
PIK3R2	FCGR3A	1
PIK3R2	FGF2	1
PIK3R2	PDGFRB	1
PIK3R2	CD3G	1
PIK3R2	IGLC6	1
PIK3R2	IGLC1	1
PIK3R2	IGLC2	1
PIK3R2	IGLC3	1
PIK3R2	UBB	1
PIK3R2	KIT	1
PIK3R2	CD28	1
PIK3R2	FGF6	1
PIK3R2	FGFR1	1
PIK3R2	FGF3	1
PIK3R2	FGF5	1
PIK3R2	FCGR1A	1
PIK3R2	FCGR2A	1
PIK3R2	SRC	1
PIK3R2	HLA-E	1
PIK3R2	IL1R1	1
PIK3R2	IL2RB	1
PIK3R2	RAC2	1
PIK3R2	CD19	1
PIK3R2	VEGFA	1
PIK3R2	ITGB4	1
PIK3R2	PDGFRA	1
PIK3R2	CTLA4	1
PIK3R2	RHOQ	1
PIK3R2	CD247	1
PIK3R2	FGF7	1
PIK3R2	FGFR2	1
PIK3R2	FGFR4	1
PIK3R2	FGFR3	1
PIK3R2	CBL	1
PIK3R2	IGHV1-2	1
PIK3R2	RPS6KB1	1
PIK3R2	JAK1	1
PIK3R2	KLRC2	1
PIK3R2	KLRK1	1
PIK3R2	PIK3R1	1
PIK3R2	PTPN6	1
PIK3R2	SHC1	1
PIK3R2	AXL	1
PIK3R2	FGF9	1
PIK3R2	IRS1	1
PIK3R2	KDR	1
PIK3R2	ATP5C1	1
PIK3R2	TGFBR1	1
PIK3R2	TGFBR2	1
PIK3R2	STAT3	1
PIK3R2	PIK3CA	1
PIK3R2	PIK3CB	1
PIK3R2	TEC	1
PIK3R2	SYK	1
PIK3R2	CRK	1
PIK3R2	CRKL	1
PIK3R2	LEPR	1
PIK3R2	PIK3CG	1
PIK3R2	VAV2	1
PIK3R2	FGF8	1
PIK3R2	RAC3	1
PIK3R2	CDC42	1
PIK3R2	RHOA	1
PIK3R2	B2M	1
PIK3R2	SNRPD2	1
PIK3R2	ACTA2	1
PIK3R2	RHOB	1
PIK3R2	GRB2	1
