gene	node_type
GUSB	gene
KL	gene
LOC89944	gene
GLB1	gene
HYAL1	gene
HYAL2	gene
SPAM1	gene
HYAL3	gene
LOC402588	gene
HYAL4	gene
CEMIP2	gene
CEMIP	gene
IDS	gene
HGSNAT	gene
IDUA	gene
GNS	gene
DKFZP686E12166	gene
SGSH	gene
NAGLU	gene
HEXA	gene
HEXB	gene
HEXD	gene
GALNS	gene
DKFZP686E12166	PPI
PIK3R2	PPI
FGF10	PPI
FLRT2	PPI
FRS3	PPI
FGF17	PPI
NRAS	PPI
HRAS	PPI
KRAS	PPI
FGF1	PPI
FGF4	PPI
FGF2	PPI
UBB	PPI
UBC	PPI
FGF6	PPI
FGFR1	PPI
FGF3	PPI
FGF5	PPI
PLCG1	PPI
CBL	PPI
MAPK3	PPI
PIK3R1	PPI
MAPK1	PPI
SHC1	PPI
FGF9	PPI
PIK3CA	PPI
PIK3CB	PPI
FGF8	PPI
RPS27A	PPI
UBA52	PPI
GRB2	PPI
PTPN11	PPI
SOS1	PPI
GAB1	PPI
FRS2	PPI
FGF23	PPI
FGF22	PPI
FGF20	PPI
FLRT3	PPI
FLRT1	PPI
TNFRSF1A	PPI
NEU1	PPI
CTSA	PPI
STAB2	PPI
CHP1	PPI
LYVE1	PPI
HMMR	PPI
CD44	PPI
SLC9A1	PPI
GM2A	PPI
CES1	PPI
WNT3	PPI
TRPV5	PPI
WNT4	PPI
USP42	PPI
WNT1	PPI
WNT3A	PPI
ATP1A2	PPI
WNT5A	PPI
ATP1A1	PPI
ATP1A3	PPI
FGFR4	PPI
FGFR2	PPI
FGFR3	PPI
B9D1	PPI
EIF4EBP1	PPI
EIF4EBP2	PPI
EIF4EBP3	PPI
LGALS3	PPI
FBXO6	PPI
H2AFX	PPI
PLXNA2	PPI
ABCE1	PPI
MTNR1A	PPI
VCPKMT	PPI
SLC2A4	PPI
YPEL5	PPI
DLG4	PPI
NCK1	PPI
ABL1	PPI
FYN	PPI
SRC	PPI
CRK	PPI
MEPCE	PPI
VIM	PPI
FOS	PPI
NPHP4	PPI
IQCB1	PPI
SLC22A2	PPI
MPP3	PPI
MTHFSD	PPI
NAPRT	PPI
GIT2	PPI
VCP	PPI
CTNNBIP1	PPI
TK1	PPI
COL2A1	PPI
HNF4A	PPI
TAF1	PPI
MAX	PPI
MYC	PPI
HARS	PPI
HARS2	PPI
USP22	PPI
PLK1	PPI
CSNK2B	PPI
DCUN1D1	PPI
TOR1B	PPI
PPP5C	PPI
MARS2	PPI
FHL3	PPI
KRTAP3-2	PPI
DAB1	PPI
DNAJC3	PPI
PDIA6	PPI
TOR3A	PPI
UGGT2	PPI
UGGT1	PPI
HYOU1	PPI
TOR1A	PPI
ST13	PPI
CDK4	PPI
TAZ	PPI
TMEM25	PPI
DNAJB2	PPI
KLHL21	PPI
PON2	PPI
PTPRK	PPI
DPEP2	PPI
KRTAP10-3	PPI
NDST1	PPI
NDST2	PPI
ST3GAL4	PPI
PDIA5	PPI
CBWD3	PPI
CERCAM	PPI
MANEAL	PPI
GALNT18	PPI
B3GLCT	PPI
TMPPE	PPI
DHFRL1	PPI
P3H3	PPI
POMGNT2	PPI
SUMF1	PPI
B3GALNT2	PPI
P3H4	PPI
EXT2	PPI
KLHL15	PPI
ERGIC2	PPI
XYLT2	PPI
PDF	PPI
FKBP14	PPI
FBXO3	PPI
PPT2	PPI
AP3M1	PPI
LOXL2	PPI
COCH	PPI
ENTPD5	PPI
WDR47	PPI
ADAMTS2	PPI
PAM	PPI
CCNG1	PPI
NAAA	PPI
PLAUR	PPI
SIAE	PPI
ART3	PPI
SUSD4	PPI
LIPH	PPI
LGALS9	PPI
CANX	PPI
DNASE2B	PPI
ISLR	PPI
ARSA	PPI
M6PR	PPI
VAPA	PPI
TFIP11	PPI
DNAJB4	PPI
ATP6AP2	PPI
CUL1	PPI
MESDC2	PPI
TCTN1	PPI
TUBB8	PPI
FBXO21	PPI
HSPA5	PPI
MSN	PPI
PRKAA2	PPI
PRKAA1	PPI
PARD6B	PPI
KIF2A	PPI
CEP152	PPI
FGFR1OP	PPI
BAG6	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBA3C	PPI
HNRNPD	PPI
TUBA3E	PPI
TUBA1A	PPI
SGTB	PPI
CEP170P1	PPI
FAN1	PPI
SYNCRIP	PPI
NUP214	PPI
KIF19	PPI
TGS1	PPI
SMC6	PPI
TSNAX	PPI
BACH1	PPI
SOD1	PPI
FGF16	PPI
LAT	PPI
TYROBP	PPI
NPHS1	PPI
FGF18	PPI
RHOBTB1	PPI
FGF19	PPI
MT-CO2	PPI
EGFR	PPI
PDGFB	PPI
EGF	PPI
NGF	PPI
IGKV1D-16	PPI
IGKV1-5	PPI
IGLV1-51	PPI
IGHV3-23	PPI
IGHV2-5	PPI
IGKC	PPI
IGHG1	PPI
