gene	node_type
GAL3ST1	gene
LOC89944	gene
GLB1	gene
CHST3	gene
HEXA	gene
HEXB	gene
HEXD	gene
TPST2	gene
TPST1	gene
CHST1	gene
HS3ST4	gene
HS3ST5	gene
HS3ST1	gene
HS3ST6	gene
CHST12	gene
CHST11	gene
CHST13	gene
CHST15	gene
ST3GAL1	gene
ST3GAL2	gene
GALC	gene
B3GALT4	gene
B4GALNT1	gene
ST8SIA1	gene
ST3GAL5	gene
SULT4A1	PPI
CHST5	PPI
CHST6	PPI
CHST8	PPI
GAL3ST2	PPI
NDST4	PPI
PIGU	PPI
CHST7	PPI
HS3ST2	PPI
CHST2	PPI
HS3ST3B1	PPI
HS3ST3A1	PPI
SULT2B1	PPI
SULT1C2	PPI
SDCBP	PPI
CHST10	PPI
SULT1B1	PPI
HS6ST1	PPI
SULT1C4	PPI
NDUFA3	PPI
NDST3	PPI
APP	PPI
SULT1A4	PPI
SULT1E1	PPI
SULT1A1	PPI
SULT1A2	PPI
NDST1	PPI
NDST2	PPI
PSG4	PPI
SULT2A1	PPI
E2F4	PPI
SULT6B1	PPI
SULT1C3	PPI
LRIG3	PPI
CHST9	PPI
HS2ST1	PPI
HS6ST3	PPI
CHST4	PPI
CHST14	PPI
GAL3ST3	PPI
LRIG1	PPI
HS6ST2	PPI
GAL3ST4	PPI
LGALS3	PPI
TNFRSF1A	PPI
M6PR	PPI
DNAJB2	PPI
PLK1	PPI
VCP	PPI
ABCE1	PPI
YPEL5	PPI
CSNK2B	PPI
MEPCE	PPI
MARS2	PPI
NEU1	PPI
USP42	PPI
FBXO6	PPI
CTNNBIP1	PPI
VAPA	PPI
TFIP11	PPI
DNAJB4	PPI
ATP6AP2	PPI
FOS	PPI
TK1	PPI
VIM	PPI
UBC	PPI
CTSA	PPI
H2AFX	PPI
BCAN	PPI
KDM5B	PPI
NCAN	PPI
OFD1	PPI
CSPG5	PPI
DCN	PPI
VCAN	PPI
TAF1	PPI
BGN	PPI
ELAVL1	PPI
CSPG4	PPI
SLC2A4	PPI
GM2A	PPI
HNF4A	PPI
CRK	PPI
BAG6	PPI
ST13	PPI
PPP5C	PPI
GRB2	PPI
TUBA1B	PPI
TUBA4A	PPI
EIF4EBP1	PPI
EIF4EBP2	PPI
TUBA3C	PPI
HNRNPD	PPI
IQCB1	PPI
TUBA3E	PPI
NAPRT	PPI
TUBA1A	PPI
SGTB	PPI
CEP170P1	PPI
USP22	PPI
FAN1	PPI
SYNCRIP	PPI
EIF4EBP3	PPI
ABL1	PPI
FYN	PPI
NUP214	PPI
KIF19	PPI
TGS1	PPI
SMC6	PPI
TSNAX	PPI
VCPKMT	PPI
BACH1	PPI
SOD1	PPI
GYS1	PPI
PSMA3	PPI
GYS2	PPI
PTCH1	PPI
EIF2B1	PPI
SLC39A4	PPI
HTR3C	PPI
ACTB	PPI
SELPLG	PPI
GINM1	PPI
KERA	PPI
ACAN	PPI
OGN	PPI
SFN	PPI
LUM	PPI
PRELP	PPI
SNU13	PPI
FMOD	PPI
OMD	PPI
DCPS	PPI
GPC2	PPI
GPC6	PPI
AGRN	PPI
SDC3	PPI
GPC4	PPI
SDC1	PPI
SDC4	PPI
SDC2	PPI
GPC1	PPI
GPC3	PPI
GPC5	PPI
HSPG2	PPI
LGR4	PPI
UGGT1	PPI
TNFSF13B	PPI
ITM2B	PPI
HLA-DRA	PPI
GSPT1	PPI
NAAA	PPI
PON2	PPI
PTPRK	PPI
MZT2B	PPI
MZT2A	PPI
GSPT2	PPI
SDF4	PPI
DPEP2	PPI
CBX8	PPI
HLA-DPA1	PPI
PHF5A	PPI
ERC1	PPI
NDUFAF2	PPI
SLC43A3	PPI
LPGAT1	PPI
SLC35E1	PPI
ILKAP	PPI
SLC25A19	PPI
PLEKHG1	PPI
KLHDC2	PPI
CEPT1	PPI
CASC3	PPI
FARS2	PPI
HCK	PPI
CCNB1	PPI
HIVEP1	PPI
CANX	PPI
EIF5A	PPI
RABL6	PPI
TJAP1	PPI
MUC21	PPI
MUC17	PPI
MUC6	PPI
MUC19	PPI
MUC20	PPI
MUC15	PPI
MUC7	PPI
MUC16	PPI
MUCL1	PPI
MUC4	PPI
MUC3B	PPI
MUC13	PPI
MUC5B	PPI
MUC12	PPI
GSTA1	PPI
MUC1	PPI
MUC5AC	PPI
MUC3A	PPI
MUC2	PPI
ENO2	PPI
MAX	PPI
E2F1	PPI
TRAF3	PPI
GTF2H2C	PPI
OTUD6B	PPI
EEF2KMT	PPI
IER2	PPI
NCOA5	PPI
TMEM51	PPI
MBD2	PPI
MBD1	PPI
CLEC11A	PPI
MYC	PPI
DYNLL1	PPI
DDX19B	PPI
DAAM1	PPI
METTL18	PPI
LMO2	PPI
INTS12	PPI
NMD3	PPI
HOOK2	PPI
RUFY1	PPI
ZMYM2	PPI
POTEF	PPI
IPO13	PPI
RPIA	PPI
BRAT1	PPI
INTS1	PPI
HLA-DPB1	PPI
TMEM259	PPI
NDUFAF7	PPI
