V1	V2
SPHK1	TRAF6
SPHK1	PPM1G
SPHK1	NRAS
SPHK1	HRAS
SPHK1	KRAS
SPHK1	PRKCB
SPHK1	FYN
SPHK1	CTSB
SPHK1	HSP90AA1
SPHK1	LYN
SPHK1	HSP90AB1
SPHK1	UBC
SPHK1	RARG
SPHK1	PRKCA
SPHK1	TCP1
SPHK1	RCC1
SPHK1	RASA1
SPHK1	TAF1
SPHK1	COPB2
SPHK1	CCT6A
SPHK1	CCT5
SPHK1	DHPS
SPHK1	CCT3
SPHK1	CCT8
SPHK1	CCT4
SPHK1	COPA
SPHK1	HIST1H4A
SPHK1	EEF1A1
SPHK1	HIST1H3A
SPHK1	CCT2
SPHK1	H3F3A
SPHK1	ACY1
SPHK1	PRKCZ
SPHK1	PRKCD
SPHK1	EP300
SPHK1	TRAF2
SPHK1	BIRC3
SPHK1	FHL2
SPHK1	MBTPS1
SPHK1	HIST3H3
SPHK1	SPHKAP
SPHK1	SP6
SPHK1	H3F3C
SPHK1	HIST2H3A
SPHK1	DCXR
SPHK1	RPS6KC1
SPHK1	CCT7
SPHK1	CYLD
SPHK2	HECW2
SPHK2	PLAA
SPHK2	KPNA4
SPHK2	CCNB2
SPHK2	FYN
SPHK2	HSP90AA1
SPHK2	LYN
SPHK2	HSP90AB1
SPHK2	UBC
SPHK2	HSPA1B
SPHK2	HSPA8
SPHK2	CCNB1
SPHK2	HSPA6
SPHK2	TAF1
SPHK2	CDK2
SPHK2	DDX6
SPHK2	YWHAQ
SPHK2	YWHAB
SPHK2	HSPA1L
SPHK2	HSPA2
SPHK2	RAN
SPHK2	YWHAZ
SPHK2	HIST1H3A
SPHK2	ACY1
SPHK2	FHL2
SPHK2	ZDHHC13
SPHK2	ZDHHC17
SPHK2	ERCC4
NEU2	PEX14
NEU2	ZWINT
NEU2	NTRK1
NEU2	MCM2
NEU2	PEX5
NEU2	TFAP4
NEU2	KEAP1
NEU2	CWF19L2
NEU2	PYHIN1
NEU2	NOTCH2NL
NEU2	ALKBH3
NEU2	KIAA1671
NEU2	FAM217B
NEU2	NOTCH3
NEU2	NOSIP
NEU4	RBPMS
NEU4	MDFI
NEU4	RHOXF2
NEU4	PLSCR1
NEU4	NTRK1
NEU4	TCF4
NEU4	PSMA3
NEU4	AP2B1
NEU4	DLG4
NEU4	TRIP6
NEU1	FBXO6
NEU1	VAPA
NEU1	HDAC5
NEU1	UBC
NEU1	CTSA
NEU1	GLB1
NEU1	KCNA2
NEU1	JUNB
