gene	node_type
SPHK1	gene
SPHK2	gene
NEU2	gene
NEU4	gene
NEU1	gene
NEU3	gene
UGCG	gene
GAL3ST1	gene
SMPD1	gene
SMPD4	gene
SMPD3	gene
SMPD2	gene
ENPP7	gene
ARSA	gene
SPTLC3	gene
SPTLC1	gene
SPTLC2	gene
ST8SIA1	gene
SGPL1	gene
CERK	gene
CERS5	gene
CERS3	gene
GALC	gene
GBA	gene
GBA2	gene
B4GALNT1	gene
NAGA	gene
GLA	gene
LOC89944	gene
GLB1	gene
KDSR	gene
UGT8	gene
NRAS	PPI
HRAS	PPI
KRAS	PPI
PRKCB	PPI
UBC	PPI
PRKCA	PPI
TCP1	PPI
RASA1	PPI
CCT6A	PPI
CCT5	PPI
CCT3	PPI
CCT8	PPI
CCT4	PPI
CCT2	PPI
PRKCZ	PPI
PRKCD	PPI
CCT7	PPI
MDFI	PPI
CTSA	PPI
SULT4A1	PPI
CHST5	PPI
CHST6	PPI
CHST8	PPI
GAL3ST2	PPI
NDST4	PPI
CHST11	PPI
CHST12	PPI
CHST7	PPI
HS3ST2	PPI
CHST2	PPI
HS3ST4	PPI
HS3ST3B1	PPI
HS3ST3A1	PPI
SULT2B1	PPI
SULT1C2	PPI
HS3ST1	PPI
CHST10	PPI
SULT1B1	PPI
CHST1	PPI
HS6ST1	PPI
SULT1C4	PPI
NDST3	PPI
SULT1A4	PPI
SULT1E1	PPI
SULT1A1	PPI
SULT1A2	PPI
NDST1	PPI
NDST2	PPI
SULT2A1	PPI
SULT6B1	PPI
SULT1C3	PPI
CHST9	PPI
HS2ST1	PPI
CHST3	PPI
HS6ST3	PPI
CHST4	PPI
CHST14	PPI
CHST13	PPI
GAL3ST3	PPI
HS6ST2	PPI
HS3ST6	PPI
GAL3ST4	PPI
EED	PPI
TNF	PPI
TNFRSF1A	PPI
RACK1	PPI
NSMAF	PPI
NGF	PPI
NGFR	PPI
SUMF1	PPI
SPTSSB	PPI
SPTSSA	PPI
PSAP	PPI
SNCA	PPI
EP300	PPI
ORMDL3	PPI
TRAF2	PPI
ZDHHC13	PPI
RTN1	PPI
GALNS	PPI
SPHKAP	PPI
ZDHHC17	PPI
KCNA4	PPI
RTN3	PPI
KCNA2	PPI
CASP7	PPI
MBTPS1	PPI
ACY1	PPI
USP42	PPI
CASP8	PPI
CTSB	PPI
SCARB2	PPI
FHL2	PPI
GRB2	PPI
DNM1L	PPI
NTRK1	PPI
LYN	PPI
FYN	PPI
HIST1H3A	PPI
PARK2	PPI
HSPD1	PPI
CBL	PPI
TRAF6	PPI
EEF1A1	PPI
RPS6KC1	PPI
SP6	PPI
ITCH	PPI
HIST1H4A	PPI
CAV1	PPI
ABCA1	PPI
SACM1L	PPI
BIRC3	PPI
SDCBP	PPI
MBD1	PPI
MBD2	PPI
PARD3	PPI
HSP90AA1	PPI
HSPA4	PPI
AUP1	PPI
CANX	PPI
CDK2	PPI
DMD	PPI
TERT	PPI
VAMP7	PPI
NOTCH3	PPI
RHOXF2	PPI
EGFR	PPI
PSMD4	PPI
RC3H1	PPI
RC3H2	PPI
PLAA	PPI
KAT5	PPI
TRAF3	PPI
E2F3	PPI
TFAP2A	PPI
SRP54	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
SUMO4	PPI
YWHAQ	PPI
YWHAB	PPI
YWHAZ	PPI
BMPR2	PPI
ATP6V1B1	PPI
ATP6V1A	PPI
LRRK2	PPI
LGALS3	PPI
PPP2R1A	PPI
PPP2R1B	PPI
H2AFX	PPI
BCL6	PPI
TRIP6	PPI
TRIP13	PPI
LMO2	PPI
ADRB2	PPI
MTNR1A	PPI
ABCE1	PPI
HECW2	PPI
RBPMS	PPI
HDAC5	PPI
RAB38	PPI
RAB32	PPI
CLEC4G	PPI
MYC	PPI
HERC2	PPI
HMGA2	PPI
DLG4	PPI
E2F4	PPI
SLC2A4	PPI
TNPO2	PPI
GBF1	PPI
KAT2A	PPI
TNPO1	PPI
FBXO6	PPI
XPO1	PPI
GFPT2	PPI
MAT2A	PPI
YWHAE	PPI
MAT1A	PPI
GFPT1	PPI
IPO4	PPI
CFTR	PPI
YPEL5	PPI
H3F3A	PPI
HIST3H3	PPI
H3F3C	PPI
HIST2H3A	PPI
ERCC4	PPI
EXOSC4	PPI
HSPA8	PPI
HSPA6	PPI
HSPA1L	PPI
HSPA2	PPI
RAB5B	PPI
IFT27	PPI
UBD	PPI
NEDD8	PPI
ESRRB	PPI
ERBB2	PPI
PSMD2	PPI
TMEM173	PPI
MEPCE	PPI
VIM	PPI
CCNB2	PPI
DDX6	PPI
MCM2	PPI
PIGK	PPI
SRPK2	PPI
NEDD4	PPI
CCNB1	PPI
PIGM	PPI
CSNK1D	PPI
KSR1	PPI
PPP6R1	PPI
NUDCD1	PPI
LIG4	PPI
ELAVL1	PPI
