gene	node_type
GLYCTK	gene
ALDOA	gene
ALDOC	gene
HEL-S-87P	gene
ALDOB	gene
KHK	gene
HEL-S-87P	PPI
TRIM42	PPI
SAXO1	PPI
RBPMS	PPI
STK33	PPI
UBP1	PPI
TUBGCP4	PPI
TRIM27	PPI
KRT15	PPI
REL	PPI
GOLGA2	PPI
CALCOCO2	PPI
TRIP13	PPI
KLHL12	PPI
DTX2	PPI
PRNP	PPI
SOD2	PPI
GAPDH	PPI
NTRK1	PPI
IFNA4	PPI
ISG15	PPI
JUN	PPI
TFAP2A	PPI
ATP5B	PPI
CKM	PPI
ENO1	PPI
PYGL	PPI
LDHB	PPI
PGK2	PPI
ADRB2	PPI
LDHC	PPI
HSP90AA1	PPI
UQCRH	PPI
ANXA6	PPI
HSP90AB1	PPI
ASNS	PPI
CYC1	PPI
VIM	PPI
ENO2	PPI
TPM1	PPI
DLD	PPI
HNRNPA1	PPI
COX6C	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
COX5B	PPI
DBT	PPI
PYGB	PPI
PYGM	PPI
ACADM	PPI
PCNA	PPI
COL11A1	PPI
SLC25A4	PPI
CKB	PPI
BCKDHA	PPI
ACTN1	PPI
MYH7	PPI
COX4I1	PPI
ITGA4	PPI
ENO3	PPI
SLC2A4	PPI
COX6B1	PPI
UQCRB	PPI
PGAM2	PPI
ATF2	PPI
UCHL3	PPI
NME1	PPI
H2AFX	PPI
GJA1	PPI
CKMT2	PPI
PSMC3	PPI
PGAM1	PPI
ATP5J	PPI
VCAM1	PPI
NDUFV2	PPI
TNNI3	PPI
COX5A	PPI
COL5A1	PPI
TAF1	PPI
GPD1	PPI
NME2	PPI
UQCRC2	PPI
PPIB	PPI
COX7A1	PPI
ATP5F1	PPI
ACAT1	PPI
CDK2	PPI
ATP5A1	PPI
PSMA3	PPI
COL5A3	PPI
IVD	PPI
FKBP2	PPI
YWHAQ	PPI
MAPK3	PPI
CALR	PPI
NDUFS1	PPI
MAPK1	PPI
TKT	PPI
AKT1	PPI
UQCRC1	PPI
YWHAB	PPI
PRDX2	PPI
CTNNB1	PPI
ACTN2	PPI
FUS	PPI
ATP6V1E1	PPI
PGM1	PPI
DLST	PPI
SNCA	PPI
EIF4A3	PPI
MLH1	PPI
USP8	PPI
MDH2	PPI
HADHA	PPI
ACAA2	PPI
WAS	PPI
HTT	PPI
CRAT	PPI
GPD2	PPI
RAD52	PPI
VDAC2	PPI
NOTCH1	PPI
UQCRFS1	PPI
IDH2	PPI
CCT3	PPI
GLUD2	PPI
MCM2	PPI
ACADVL	PPI
NDUFV1	PPI
LIG4	PPI
CCT4	PPI
PGD	PPI
ARHGDIA	PPI
ARHGDIB	PPI
HMGA2	PPI
SUCLG1	PPI
COPB1	PPI
TERF1	PPI
RAD23B	PPI
AK2	PPI
PSMD4	PPI
VCP	PPI
SUMO3	PPI
ATP5I	PPI
NDUFA6	PPI
ACTB	PPI
EIF4A1	PPI
ATP6V0D1	PPI
SUMO2	PPI
PSMC6	PPI
ACTA2	PPI
HIST1H4A	PPI
FKBP1A	PPI
YWHAZ	PPI
SUMO1	PPI
DYNLL1	PPI
RACK1	PPI
EEF1A1	PPI
FKBP1B	PPI
HBB	PPI
SRPK2	PPI
GSTO1	PPI
MRPS25	PPI
MDM2	PPI
EXOSC10	PPI
OGDH	PPI
NOTCH2	PPI
GLO1	PPI
EEF1A2	PPI
BTK	PPI
PRDX1	PPI
CD47	PPI
KCNMA1	PPI
CHAF1B	PPI
CUL2	PPI
CUL3	PPI
CUL4B	PPI
NACA	PPI
EIF3A	PPI
EIF4A2	PPI
NCAPH	PPI
SUZ12	PPI
RRS1	PPI
IQCB1	PPI
PTGES3	PPI
RGN	PPI
MAPK11	PPI
NEDD8	PPI
HSPB2	PPI
MAPK14	PPI
NDUFA5	PPI
NDUFA9	PPI
HADH	PPI
IMMT	PPI
OXLD1	PPI
SUMO4	PPI
PRPF8	PPI
LDHAL6A	PPI
ATG14	PPI
HUWE1	PPI
SESTD1	PPI
XRN1	PPI
PGAM4	PPI
PIAS4	PPI
GALNT6	PPI
ABCF1	PPI
CCDC12	PPI
MITD1	PPI
PPM1E	PPI
NCSTN	PPI
FBXO32	PPI
TRIM63	PPI
EAF2	PPI
OTUB1	PPI
WBSCR16	PPI
EAF1	PPI
DRC1	PPI
HSD17B10	PPI
ACO2	PPI
ARHGDIG	PPI
MYOC	PPI
SOST	PPI
DHRS4	PPI
ACAT2	PPI
OSBPL10	PPI
ITPA	PPI
LDHAL6B	PPI
NACA2	PPI
SLC25A31	PPI
TKTL2	PPI
GSTO2	PPI
VCPKMT	PPI
ISYNA1	PPI
PLCB1	PPI
NDUFB11	PPI
RRN3	PPI
VPS18	PPI
COPG2	PPI
UQCR10	PPI
SEC14L4	PPI
SEC14L3	PPI
NDUFA12	PPI
AK3	PPI
OGDHL	PPI
NOTCH3	PPI
MYO6	PPI
UBQLN1	PPI
PSMD13	PPI
HDAC5	PPI
EIF3L	PPI
USP15	PPI
TRAF6	PPI
SNX9	PPI
COPG1	PPI
NDUFB9	PPI
SEC14L6	PPI
MYO1C	PPI
PSMD12	PPI
NDUFA4	PPI
CACNA1A	PPI
NTN3	PPI
CDK2AP1	PPI
PLD2	PPI
UQCRQ	PPI
MAPK13	PPI
FANCA	PPI
BCAT2	PPI
PDPK1	PPI
NDUFS4	PPI
NDUFB5	PPI
NDUFB3	PPI
NDUFA2	PPI
ACTN4	PPI
WDR1	PPI
NDUFS2	PPI
CS	PPI
NDUFB1	PPI
NDUFS3	PPI
IDH1	PPI
STAM2	PPI
SEC14L2	PPI
CEP152	PPI
NDUFB6	PPI
NDUFA3	PPI
NDUFB8	PPI
AHSA1	PPI
NTN1	PPI
AIFM1	PPI
NDUFB10	PPI
MT-CYB	PPI
LDHA	PPI
GLUD1	PPI
GOT2	PPI
EGFR	PPI
PGK1	PPI
FN1	PPI
PKM	PPI
HK1	PPI
SHMT2	PPI
HNF4A	PPI
SYK	PPI
MAP2K3	PPI
HK2	PPI
HK3	PPI
RHOA	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
DLG4	PPI
EWSR1	PPI
CHAF1A	PPI
GRIN2B	PPI
TUBA3C	PPI
TUBB2A	PPI
SQLE	PPI
AKAP4	PPI
RPGRIP1L	PPI
TUBA3E	PPI
TUBA1A	PPI
LNX1	PPI
COPS5	PPI
TUBB2B	PPI
GABARAPL1	PPI
MOV10	PPI
HECW2	PPI
NXF1	PPI
UBD	PPI
BAG3	PPI
TUBB4A	PPI
APP	PPI
SRC	PPI
HIVEP1	PPI
MCC	PPI
CTNNA1	PPI
BMPR1A	PPI
DCC	PPI
MAP2K4	PPI
SMAD4	PPI
SLC12A1	PPI
STK11	PPI
BBS7	PPI
MUC20	PPI
CDKN2A	PPI
FLCN	PPI
BBS1	PPI
BBS4	PPI
TXN2	PPI
BBS2	PPI
AGXT2	PPI
MLH3	PPI
BUB1	PPI
HUS1	PPI
NRAS	PPI
AP2S1	PPI
PRPS1	PPI
MAX	PPI
LYZ	PPI
ILK	PPI
RNPS1	PPI
CDK5RAP3	PPI
RANBP3	PPI
LHX9	PPI
C12ORF4	PPI
DEDD	PPI
CD2BP2	PPI
MYC	PPI
VIL1	PPI
SNRPB	PPI
LCN1	PPI
ARRB1	PPI
