gene1	gene	score
EXTL3	EXT1	0.398
EXT1	GPC2	0.398
EXT1	EXT2	0.398
EXT1	GPC6	0.398
EXT1	AGRN	0.398
EXT1	SDC3	0.398
EXT1	GPC4	0.398
EXT1	SDC1	0.398
EXT1	SDC4	0.398
EXT1	SDC2	0.398
EXT1	GPC1	0.398
EXT1	GPC3	0.398
EXT1	GPC5	0.398
EXT1	HSPG2	0.398
EXTL3	XIAP	0.384
XIAP	TLE1	0.384
XIAP	TLE2	0.384
XIAP	TLE3	0.384
XIAP	TLE4	0.384
XIAP	TRIM32	0.384
XIAP	BIRC2	0.384
XIAP	TAB1	0.384
XIAP	DIABLO	0.384
XIAP	TRAF6	0.384
XIAP	BIRC5	0.384
XIAP	SEPT4	0.384
XIAP	RIPK2	0.384
XIAP	HTRA2	0.384
XIAP	UBB	0.384
XIAP	UBC	0.384
XIAP	CASP3	0.384
XIAP	UBE2D1	0.384
XIAP	CASP7	0.384
XIAP	CASP9	0.384
XIAP	UBE2D3	0.384
XIAP	UBE2D2	0.384
XIAP	RPS27A	0.384
XIAP	UBA52	0.384
XIAP	XAF1	0.2976
XIAP	SERTAD1	0.246528
XIAP	MAGED1	0.24
XIAP	BIRC3	0.238464
XIAP	AIFM1	0.23808
XIAP	TGFBR1	0.235008
XIAP	E2F1	0.206592
XIAP	AKT1	0.197376
XIAP	SIVA1	0.195072
XIAP	MAP3K7	0.189696
XIAP	RAC1	0.188544
XIAP	ARHGDIA	0.18432
XIAP	GSPT1	0.173952
XIAP	RAF1	0.172032
XIAP	MAP3K2	0.166656
XIAP	TBK1	0.164736
XIAP	COMMD1	0.1632
EXT1	EXTL3	0.158404
XIAP	BIRC7	0.156288
XIAP	ACVR1B	0.154368
XIAP	IMUP	0.153216
XIAP	FAIM	0.153216
EXTL3	FYN	0.151
EXTL3	SRC	0.151
EXTL3	PLCG1	0.151
EXTL3	PIK3R1	0.151
EXTL3	CRK	0.151
EXTL3	GRB2	0.151
FYN	FES	0.151
FYN	YES1	0.151
FYN	LYN	0.151
FYN	PDGFRB	0.151
FYN	UBC	0.151
FYN	RRAS	0.151
FYN	KIT	0.151
FYN	CD28	0.151
FYN	SPTB	0.151
FYN	CD79A	0.151
FYN	SRC	0.151
FYN	NCAM1	0.151
FYN	HLA-E	0.151
FYN	VAV1	0.151
FYN	VEGFA	0.151
FYN	ITGB4	0.151
FYN	PECAM1	0.151
FYN	NCK1	0.151
FYN	CTLA4	0.151
FYN	IL7R	0.151
FYN	PLCG2	0.151
FYN	PTPRA	0.151
FYN	MYL12A	0.151
FYN	PLCG1	0.151
FYN	EFNA1	0.151
FYN	KITLG	0.151
FYN	EPHA1	0.151
FYN	CBL	0.151
FYN	KLRC2	0.151
FYN	KLRK1	0.151
FYN	PIK3R1	0.151
FYN	EPHA2	0.151
FYN	EPHA3	0.151
FYN	EPHA8	0.151
FYN	EPHB2	0.151
