V1	V2
GANC	CCT6B
GANC	HSPH1
GANC	NEO1
GANC	ERO1A
GANC	FGFR1OP2
GANC	CALML5
GANC	DNAJB4
GANC	ERGIC3
GANC	DNAJB5
GANC	HSPA4L
GANC	HSP90AA1
GANC	HSP90AB1
GANC	UBC
GANC	HSPA1A
GANC	HSPA1B
GANC	HSPA5
GANC	HSPA8
GANC	HSPA6
GANC	DNAJB1
GANC	ATP6V0C
GANC	CALML3
GANC	HSPA1L
GANC	HSPA4
GANC	CCT6A
GANC	MTOR
GANC	DCC
GANC	RPL5
GANC	COPA
GANC	HSPA2
GANC	DNAJB13
GANC	CALM1
GANC	SMC1A
GANC	NUP93
GANC	CALML6
GAA	NCF1
GAA	SLC2A4
GAA	HIVEP1
GAA	GYG1
GAA	STAT2
GAA	SUMO1
GAA	UBE2I
GAA	EP300
GAA	NEDD8
GAA	FOXI2
GAA	COPS5
GAA	FBXO6
GAA	STXBP5L
GAA	NUMBL
GAA	GYG2
GAA	NTRK1
GAA	UBC
GBA3	UBC
GBA3	PRKCSH
GBA3	TNS2
MPI	CBS
MPI	GCK
MPI	ATP5C1
MPI	PGM1
MPI	DLST
MPI	HSPA9
MPI	CCT6A
MPI	MDH2
MPI	GARS
MPI	IARS
MPI	PRKCI
MPI	NEDD4
MPI	ALDH1A3
MPI	AARS
MPI	SARS
MPI	IDH3A
MPI	AKR1D1
MPI	PGD
MPI	AKR1C2
MPI	CLTCL1
MPI	HSPA2
MPI	BCAT1
MPI	VCP
MPI	ADK
MPI	NPEPPS
MPI	SUMO3
MPI	EIF4A1
MPI	SUMO2
MPI	YWHAE
MPI	SUMO1
MPI	EIF5A
MPI	EEF1A1
MPI	TUBA1B
MPI	TUBA4A
MPI	CLTC
MPI	GALK2
MPI	PFKP
MPI	AKR1C1
MPI	EEF1A2
MPI	PABPC4
MPI	TUBA3C
MPI	EIF4A2
MPI	FAT1
MPI	DHX8
MPI	PLS1
MPI	STARD3
MPI	KARS
MPI	PGM5
MPI	PPA1
MPI	ANKRD1
MPI	UGP2
MPI	PABPC1L
MPI	PABPC1L2A
MPI	SUMO4
MPI	EIF5AL1
MPI	TUBA3E
MPI	TUBA1A
MPI	THNSL2
MPI	SEPT12
MPI	DNAJC22
MPI	AADAT
MPI	PRPF31
MPI	CCT6B
MPI	HSPH1
MPI	PABPC5
MPI	SEH1L
MPI	AKR1E2
MPI	NEDD4L
MPI	ACO2
MPI	ACAT2
MPI	EIF5A2
MPI	TKTL2
MPI	PPA2
MPI	PABPC3
MPI	S100A14
MPI	ISYNA1
MPI	ACSS2
MPI	OLA1
MPI	ACSS1
MPI	TUBA8
MPI	FAT2
MPI	RUVBL2
MPI	TUBAL3
MPI	EIF4E1B
MPI	AKR1B15
MPI	PSMD14
MPI	PRMT5
MPI	PFAS
MPI	BCAT2
MPI	PRPF4
MPI	PRPF3
MPI	NARS
MPI	AKR1B10
MPI	EIF4E2
MPI	CLUH
MPI	CS
MPI	SNRNP200
MPI	ALDH1A2
MPI	PRPF6
MPI	HSPA4L
MPI	ALDH1A1
MPI	SOD1
MPI	ASS1
MPI	GAPDH
MPI	APP
MPI	ALDH2
MPI	EIF4E
MPI	PYGL
MPI	GPI
MPI	P4HB
MPI	IVL
MPI	HSP90AA1
MPI	PFKM
MPI	HSP90AB1
MPI	ENO2
MPI	DLD
MPI	UBC
MPI	HSPA1A
MPI	HSPA1B
MPI	HSPD1
MPI	HSPA5
MPI	HSPA8
MPI	PYGB
MPI	PYGM
MPI	MTHFD1
MPI	PABPC1
MPI	EEF2
MPI	PDIA4
MPI	LCP1
MPI	PLS3
MPI	ENO3
MPI	FDPS
MPI	AKR1A1
MPI	DARS
MPI	ATP6V1B1
MPI	HSPA6
MPI	AKR1C4
MPI	PTPN2
MPI	PFKL
MPI	PTPN1
MPI	HK1
MPI	ATP6V1B2
MPI	UBA1
MPI	TGM1
MPI	AHCY
MPI	ACAT1
MPI	NFKBIA
MPI	VARS
MPI	EEF1G
MPI	TKT
MPI	PDIA3
MPI	ALDH1B1
MPI	ATIC
MPI	CTH
MPI	HSPA1L
HK3	RHOA
HK3	PPP2CB
HK3	TUBA1B
HK3	TUBA4A
HK3	TUBB4B
HK3	POU5F1
HK3	POU5F1B
HK3	FOXL1
HK3	ZBTB17
HK3	TUBA3C
HK3	TUBB2A
HK3	PEA15
HK3	AKAP4
HK3	TUBA3E
HK3	FOXI2
HK3	TUBA1A
HK3	FOXB1
HK3	SEC22C
HK3	TUBB2B
HK3	FOXP3
HK3	RAB17
HK3	TTC26
HK3	MITF
HK3	EED
HK3	TUBB4A
HK3	ALDOB
HK3	ALDOC
HK3	SLC2A4
HK3	ATF4
HK3	VDAC1
HK3	IGFBP4
HK3	GRN
HK3	LEP
HK3	PTGDS
HK1	POLR2C
HK1	POLR2E
HK1	SRM
HK1	CSNK2A2
HK1	NFKB1
HK1	EIF2S2
HK1	SDS
HK1	BTF3
HK1	RAB5A
HK1	HIST1H2AD
HK1	PRPS1L1
HK1	ATP6V1B2
HK1	ATP6V1C1
HK1	AGXT
HK1	TAF1
HK1	VDAC1
HK1	GART
HK1	UBA1
HK1	NME2
HK1	PRKACG
HK1	PRKACB
HK1	FECH
HK1	ME2
HK1	AHCY
HK1	HIST1H2BO
HK1	CFL1
HK1	EEF1B2
HK1	ACAT1
HK1	CCNC
HK1	CDK2
HK1	DNAJB1
HK1	ATP5A1
HK1	DDX6
HK1	TARS
HK1	VARS
HK1	EEF1G
HK1	YWHAQ
HK1	MAPK3
HK1	CALML3
HK1	CAD
HK1	MAPK1
HK1	TKT
HK1	PDHA2
HK1	PRDX5
HK1	PRDX3
HK1	PDIA3
HK1	PPP2R1A
HK1	PPP2R1B
HK1	PPIF
HK1	ADSL
HK1	GCH1
HK1	ALDH1B1
HK1	POLR2B
HK1	GDI1
HK1	MAT2A
HK1	PRKAR1B
HK1	PRKAR2B
HK1	RRM2
HK1	DNAJA1
HK1	AKT1
HK1	UQCRC1
HK1	ATIC
HK1	YWHAB
HK1	STIP1
HK1	PRDX2
HK1	PYCR1
HK1	CTH
HK1	HIST1H2BB
HK1	MCM4
HK1	MCM7
HK1	SHMT1
HK1	SHMT2
HK1	HSPA1L
HK1	MPI
HK1	CBS
HK1	COPB2
HK1	GLRX
HK1	PSMC2
HK1	MAP2K2
HK1	ATP5C1
HK1	ATP6V1E1
HK1	LONP1
HK1	PGM1
HK1	PPP1CC
HK1	DLST
HK1	TALDO1
HK1	SNCA
HK1	ATP6V1A
HK1	HSPA9
HK1	DDOST
HK1	CCT6A
HK1	MDH2
HK1	EIF2S3
HK1	GARS
HK1	IARS
HK1	SKIV2L2
HK1	RBM34
HK1	RANBP1
HK1	PSMC4
HK1	VDAC2
HK1	RANGAP1
HK1	NEDD4
HK1	ALDH1A3
HK1	UQCRFS1
HK1	PPP3CC
HK1	PSMD8
HK1	CCT5
HK1	CSNK1A1
HK1	CSNK1D
HK1	CCT3
HK1	AARS
HK1	SARS
HK1	CSNK1E
HK1	EIF2B2
HK1	GSK3A
HK1	LIG4
HK1	IDH3A
HK1	GDI2
HK1	CCT8
HK1	CCT4
HK1	RAB5C
HK1	RAB7A
HK1	RAB13
HK1	IDH3G
HK1	PSMD7
HK1	PRKX
HK1	AKR1D1
HK1	PGD
HK1	KPNA1
HK1	MRPL12
HK1	AKR1C2
HK1	PPP5C
HK1	SUCLG1
HK1	CLTCL1
HK1	MAPK12
HK1	PRKAA2
HK1	HSPA2
HK1	BCAT1
HK1	RAD23A
HK1	RAD23B
HK1	AK2
HK1	GYS2
HK1	HMGCS2
HK1	PSMD4
HK1	NR1H2
HK1	CSE1L
HK1	VCP
HK1	NAP1L1
HK1	ADK
HK1	SEC13
HK1	SNU13
HK1	NPEPPS
HK1	SUMO3
HK1	EIF6
HK1	WDR4
HK1	NUP107
HK1	HIST1H2BD
HK1	DNAJB13
HK1	ARPC4
HK1	ACTB
HK1	EIF4A1
HK1	PRPS1
HK1	DSTN
HK1	RAB5B
HK1	ACTR3
HK1	ACTR2
HK1	ARF3
HK1	MAX
HK1	RHOA
HK1	SUMO2
HK1	NUTF2
HK1	PPP1CA
HK1	PPP1CB
HK1	CALM1
HK1	PSMC1
HK1	PSMC5
HK1	YWHAE
HK1	PSMC6
HK1	RAB11A
HK1	ETF1
HK1	PPP2CB
HK1	ACTA2
HK1	RHOB
HK1	HIST1H4A
HK1	HIST1H2BC
HK1	RAB1A
HK1	RAN
HK1	POLR2L
HK1	RBX1
HK1	PPIA
HK1	FKBP1A
