gene	node_type
GANC	gene
GAA	gene
GBA3	gene
MPI	gene
HK3	gene
HK1-TC	gene
HK1	gene
HKDC1	gene
HK2	gene
TREH	gene
HK1-TC	PPI
CCT6B	PPI
HSPH1	PPI
NEO1	PPI
ERO1A	PPI
FGFR1OP2	PPI
CALML5	PPI
DNAJB4	PPI
ERGIC3	PPI
DNAJB5	PPI
HSPA4L	PPI
HSP90AA1	PPI
HSP90AB1	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA5	PPI
HSPA8	PPI
HSPA6	PPI
DNAJB1	PPI
ATP6V0C	PPI
CALML3	PPI
HSPA1L	PPI
HSPA4	PPI
CCT6A	PPI
MTOR	PPI
DCC	PPI
RPL5	PPI
COPA	PPI
HSPA2	PPI
DNAJB13	PPI
CALM1	PPI
SMC1A	PPI
NUP93	PPI
CALML6	PPI
NCF1	PPI
SLC2A4	PPI
HIVEP1	PPI
GYG1	PPI
STAT2	PPI
SUMO1	PPI
UBE2I	PPI
EP300	PPI
NEDD8	PPI
FOXI2	PPI
COPS5	PPI
FBXO6	PPI
STXBP5L	PPI
NUMBL	PPI
GYG2	PPI
NTRK1	PPI
PRKCSH	PPI
TNS2	PPI
CBS	PPI
GCK	PPI
ATP5C1	PPI
PGM1	PPI
DLST	PPI
HSPA9	PPI
MDH2	PPI
GARS	PPI
IARS	PPI
PRKCI	PPI
NEDD4	PPI
ALDH1A3	PPI
AARS	PPI
SARS	PPI
IDH3A	PPI
AKR1D1	PPI
PGD	PPI
AKR1C2	PPI
CLTCL1	PPI
BCAT1	PPI
VCP	PPI
ADK	PPI
NPEPPS	PPI
SUMO3	PPI
EIF4A1	PPI
SUMO2	PPI
YWHAE	PPI
EIF5A	PPI
EEF1A1	PPI
TUBA1B	PPI
TUBA4A	PPI
CLTC	PPI
GALK2	PPI
PFKP	PPI
AKR1C1	PPI
EEF1A2	PPI
PABPC4	PPI
TUBA3C	PPI
EIF4A2	PPI
FAT1	PPI
DHX8	PPI
PLS1	PPI
STARD3	PPI
KARS	PPI
PGM5	PPI
PPA1	PPI
ANKRD1	PPI
UGP2	PPI
PABPC1L	PPI
PABPC1L2A	PPI
SUMO4	PPI
EIF5AL1	PPI
TUBA3E	PPI
TUBA1A	PPI
THNSL2	PPI
SEPT12	PPI
DNAJC22	PPI
AADAT	PPI
PRPF31	PPI
PABPC5	PPI
SEH1L	PPI
AKR1E2	PPI
NEDD4L	PPI
ACO2	PPI
ACAT2	PPI
EIF5A2	PPI
TKTL2	PPI
PPA2	PPI
PABPC3	PPI
S100A14	PPI
ISYNA1	PPI
ACSS2	PPI
OLA1	PPI
ACSS1	PPI
TUBA8	PPI
FAT2	PPI
RUVBL2	PPI
TUBAL3	PPI
EIF4E1B	PPI
AKR1B15	PPI
PSMD14	PPI
PRMT5	PPI
PFAS	PPI
BCAT2	PPI
PRPF4	PPI
PRPF3	PPI
NARS	PPI
AKR1B10	PPI
EIF4E2	PPI
CLUH	PPI
CS	PPI
SNRNP200	PPI
ALDH1A2	PPI
PRPF6	PPI
ALDH1A1	PPI
SOD1	PPI
ASS1	PPI
GAPDH	PPI
APP	PPI
ALDH2	PPI
EIF4E	PPI
PYGL	PPI
GPI	PPI
P4HB	PPI
IVL	PPI
PFKM	PPI
ENO2	PPI
DLD	PPI
HSPD1	PPI
PYGB	PPI
PYGM	PPI
MTHFD1	PPI
