gene	node_type
GANC	gene
GAA	gene
GBA3	gene
MPI	gene
HK3	gene
HK1-TC	gene
HK1	gene
HKDC1	gene
HK2	gene
TREH	gene
HK1-TC	PPI
UBC	PPI
GYG1	PPI
GYG2	PPI
PRKACA	PPI
PRKACG	PPI
PRKACB	PPI
PRKX	PPI
YWHAE	PPI
DCPS	PPI
TIGAR	PPI
VDAC1	PPI
PEA15	PPI
ERGIC3	PPI
PRKCE	PPI
MTOR	PPI
PARK2	PPI
HSP90AB1	PPI
ANKRD1	PPI
PPP3CA	PPI
FAM134B	PPI
PPP3CB	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBA3E	PPI
TUBB2B	PPI
TUBB4A	PPI
RHOA	PPI
TUBA1A	PPI
CALML6	PPI
NCF1	PPI
AKAP4	PPI
CALML5	PPI
CALML3	PPI
CALM1	PPI
ALDOC	PPI
ALDOB	PPI
CPEB3	PPI
NEURL1B	PPI
NEURL1	PPI
UQCRC1	PPI
CAMK2B	PPI
EPN2	PPI
DHX8	PPI
IGFBP4	PPI
LEP	PPI
PTGDS	PPI
ZBTB17	PPI
GRN	PPI
NR1H2	PPI
NR1H3	PPI
NCOR1	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA6	PPI
HSPA1L	PPI
HSPA2	PPI
TUBB3	PPI
NEDD8	PPI
HSPA8	PPI
CCT6B	PPI
CCT6A	PPI
SUMO4	PPI
NOS2	PPI
SUMO2	PPI
HSP90AA1	PPI
SUMO3	PPI
SUMO1	PPI
YWHAQ	PPI
YWHAB	PPI
YWHAZ	PPI
CDK2	PPI
LRRK2	PPI
AKT1	PPI
POU5F1	PPI
POU5F1B	PPI
DDX6	PPI
RAB17	PPI
UBD	PPI
G6PD	PPI
ICT1	PPI
DHRS4	PPI
UBE2I	PPI
APP	PPI
UBQLN1	PPI
HSPA4L	PPI
ATP6V1B1	PPI
ATP6V1B2	PPI
HSPH1	PPI
SLC2A4	PPI
STXBP5L	PPI
CLTCL1	PPI
CLTC	PPI
PSMD14	PPI
RAB13	PPI
WDR76	PPI
EGFR	PPI
ENO1	PPI
SNCA	PPI
UBA52	PPI
MYC	PPI
ENO2	PPI
ATF2	PPI
RCC1	PPI
FBXO6	PPI
FOXP3	PPI
PSMD4	PPI
PSMD2	PPI
TNS2	PPI
TKTL2	PPI
TKT	PPI
IFT27	PPI
ITGA4	PPI
VCAM1	PPI
SGTA	PPI
SGTB	PPI
SIRT7	PPI
STAU1	PPI
MAX	PPI
THG1L	PPI
NMES1	PPI
UBQLN4	PPI
FOXI2	PPI
LIG4	PPI
IQCB1	PPI
GBAS	PPI
ELAVL1	PPI
NDUFA4	PPI
COQ9	PPI
PSKH1	PPI
CAMK1	PPI
CAMK4	PPI
PNCK	PPI
CAMK1D	PPI
CAMK1G	PPI
NEO1	PPI
NUP93	PPI
HIVEP1	PPI
STAT2	PPI
NUMBL	PPI
NTRK1	PPI
PRKCSH	PPI
FOXL1	PPI
FOXB1	PPI
MITF	PPI
EED	PPI
WDR4	PPI
KYNU	PPI
ATG101	PPI
METTL1	PPI
FOXL2	PPI
IRF3	PPI
FOXH1	PPI
MYL1	PPI
BCAT1	PPI
BCAT2	PPI
ATP6V0C	PPI
DCC	PPI
EP300	PPI
COPS5	PPI
ATP5C1	PPI
PPP2CB	PPI
ATF4	PPI
NFKB1	PPI
CSE1L	PPI
MDM2	PPI
SCMH1	PPI
TPR	PPI
RRP12	PPI
ACO2	PPI
ERO1A	PPI
DNAJB4	PPI
DNAJB5	PPI
HSPA5	PPI
DNAJB1	PPI
HSPA4	PPI
COPA	PPI
DNAJB13	PPI
CNTRL	PPI
FBF1	PPI
XPO1	PPI
NPHP1	PPI
MAGEA12	PPI
DNAJA2	PPI
SEC14L2	PPI
RPLP0	PPI
TOP2A	PPI
PABPC1	PPI
DNAJA1	PPI
RPL4	PPI
EEF1A1	PPI
CCT2	PPI
TOP2B	PPI
EEF1A2	PPI
PABPC4	PPI
PABPC1L	PPI
PABPC1L2A	PPI
SUMF1	PPI
NPEPL1	PPI
DNAJA4	PPI
PABPC5	PPI
PPIL3	PPI
PABPC3	PPI
C4ORF27	PPI
TUBA8	PPI
SEC14L4	PPI
SEC14L3	PPI
NAGK	PPI
ZNF706	PPI
TUBAL3	PPI
SEC14L6	PPI
CCS	PPI
DDX3Y	PPI
AARS	PPI
AKR1D1	PPI
AKR1C2	PPI
ADK	PPI
AKR1C1	PPI
STARD3	PPI
KARS	PPI
THNSL2	PPI
SEPT12	PPI
DNAJC22	PPI
AADAT	PPI
AKR1E2	PPI
ACAT2	PPI
ACSS1	PPI
FAT2	PPI
AKR1B15	PPI
PFAS	PPI
FDPS	PPI
AKR1A1	PPI
AKR1C4	PPI
ACAT1	PPI
CTH	PPI
SEC22C	PPI
TTC26	PPI
TAF1	PPI
