gene	node_type
GUSB	gene
KL	gene
HAS1	gene
HAS2	gene
HAS3	gene
HEXA	gene
HEXB	gene
HEXD	gene
PIK3R2	PPI
FGF10	PPI
FLRT2	PPI
FRS3	PPI
FGF17	PPI
NRAS	PPI
HRAS	PPI
KRAS	PPI
FGF1	PPI
FGF4	PPI
FGF2	PPI
UBB	PPI
UBC	PPI
FGF6	PPI
FGFR1	PPI
FGF3	PPI
FGF5	PPI
PLCG1	PPI
CBL	PPI
MAPK3	PPI
PIK3R1	PPI
MAPK1	PPI
SHC1	PPI
FGF9	PPI
PIK3CA	PPI
PIK3CB	PPI
FGF8	PPI
RPS27A	PPI
UBA52	PPI
GRB2	PPI
PTPN11	PPI
SOS1	PPI
GAB1	PPI
FRS2	PPI
FGF23	PPI
FGF22	PPI
FGF20	PPI
FLRT3	PPI
FLRT1	PPI
GM2A	PPI
CES1	PPI
WNT3	PPI
TRPV5	PPI
WNT4	PPI
WNT1	PPI
WNT3A	PPI
ATP1A2	PPI
WNT5A	PPI
ATP1A1	PPI
ATP1A3	PPI
FGFR4	PPI
FGFR2	PPI
FGFR3	PPI
EIF4EBP1	PPI
EIF4EBP2	PPI
EIF4EBP3	PPI
H2AFX	PPI
ABCE1	PPI
VCPKMT	PPI
SLC2A4	PPI
FBXO6	PPI
CRK	PPI
ABL1	PPI
FYN	PPI
MCM2	PPI
IQCB1	PPI
NAPRT	PPI
GIT2	PPI
VHL	PPI
EIF6	PPI
USP22	PPI
HNF4A	PPI
PPP5C	PPI
CSNK2B	PPI
ST13	PPI
CDK4	PPI
IDS	PPI
TAZ	PPI
TMEM25	PPI
BAG6	PPI
YPEL5	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBA3C	PPI
HNRNPD	PPI
TUBA3E	PPI
TUBA1A	PPI
SGTB	PPI
CEP170P1	PPI
FAN1	PPI
SYNCRIP	PPI
NUP214	PPI
KIF19	PPI
TGS1	PPI
SMC6	PPI
TSNAX	PPI
BACH1	PPI
SOD1	PPI
FGF16	PPI
LAT	PPI
TYROBP	PPI
NPHS1	PPI
FGF18	PPI
RHOBTB1	PPI
FGF19	PPI
MT-CO2	PPI
EGFR	PPI
PDGFB	PPI
EGF	PPI
NGF	PPI
IGKV1D-16	PPI
IGKV1-5	PPI
IGLV1-51	PPI
IGHV3-23	PPI
IGHV2-5	PPI
IGKC	PPI
IGHG1	PPI
IGHG2	PPI
IGHG3	PPI
IGHG4	PPI
PDGFA	PPI
NTRK1	PPI
LCK	PPI
IGKV4-1	PPI
RHOC	PPI
FCGR3A	PPI
PDGFRB	PPI
CD3G	PPI
IGLC6	PPI
IGLC1	PPI
IGLC2	PPI
IGLC3	PPI
KIT	PPI
CD28	PPI
FCGR1A	PPI
FCGR2A	PPI
SRC	PPI
HLA-E	PPI
IL1R1	PPI
IL2RB	PPI
RAC2	PPI
CD19	PPI
VEGFA	PPI
ITGB4	PPI
PDGFRA	PPI
CTLA4	PPI
RHOQ	PPI
CD247	PPI
FGF7	PPI
IGHV1-2	PPI
RPS6KB1	PPI
JAK1	PPI
KLRC2	PPI
KLRK1	PPI
PTPN6	PPI
AXL	PPI
IRS1	PPI
KDR	PPI
ATP5C1	PPI
TGFBR1	PPI
TGFBR2	PPI
STAT3	PPI
TEC	PPI
SYK	PPI
CRKL	PPI
LEPR	PPI
PIK3CG	PPI
VAV2	PPI
RAC3	PPI
CDC42	PPI
RHOA	PPI
B2M	PPI
SNRPD2	PPI
ACTA2	PPI
RHOB	PPI
RAC1	PPI
RHOG	PPI
TEK	PPI
PTK2	PPI
SOS2	PPI
CBLB	PPI
KLRD1	PPI
ANGPT1	PPI
RHOH	PPI
TRAT1	PPI
RHOU	PPI
KLB	PPI
LAX1	PPI
RHOT2	PPI
RHOT1	PPI
PIK3R3	PPI
KIRREL	PPI
RHOV	PPI
DOK1	PPI
RHOBTB2	PPI
LAT2	PPI
RHOJ	PPI
RHOF	PPI
SH2D2A	PPI
TREM2	PPI
ERRFI1	PPI
GAB2	PPI
IRS2	PPI
CD2AP	PPI
ICOS	PPI
IGLC7	PPI
RHOD	PPI
PIK3CD	PPI
FGFBP1	PPI
FGFRL1	PPI
ERLIN2	PPI
FGFR1OP	PPI
BCR	PPI
CUX1	PPI
CNTRL	PPI
FGFR1OP2	PPI
ZMYM2	PPI
TRIM24	PPI
IL2RA	PPI
SPTA1	PPI
RAF1	PPI
CSF2	PPI
ERBB2	PPI
IL5	PPI
NEFL	PPI
HSP90AA1	PPI
RET	PPI
IL3	PPI
ARAF	PPI
RALA	PPI
RALB	PPI
SPTB	PPI
NCAM1	PPI
BRAF	PPI
CSF2RA	PPI
PTPRA	PPI
RASA1	PPI
NF1	PPI
KITLG	PPI
ERBB3	PPI
IL3RA	PPI
MARK3	PPI
