gene	node_type
ACOX3	gene
ACOX1	gene
LOC51064	gene
GSTM3	gene
GSTMU3	gene
GSTM5	gene
GSTK1	gene
GSTM4	gene
GSTM2	gene
GSTA1	gene
GSTA3	gene
GSTM1	gene
GSTA5	gene
GSTT4	gene
GSTP1	gene
GSTT2B	gene
GSTA2	gene
GSTT2	gene
GSTA4	gene
GSTT1	gene
LANCL1	gene
MGST2	gene
MGST3	gene
MGST1	gene
CYP1A1	gene
CYP2D6	gene
CYP2B6	gene
CYP2C	gene
CYP1B1	gene
CYP19A1	gene
CYP4F8	gene
CYP2C18	gene
CYP2A7	gene
CYP4X1	gene
CYP4Z1	gene
CYP2D7	gene
CYP2S1	gene
CYP4F12	gene
CYP2C8	gene
CYP1A2	gene
CYP4B1	gene
CYP3A5	gene
CYP3A7	gene
CYP2U1	gene
CYP3A43	gene
CYP2F1	gene
CYP2A13	gene
ACSBG2	gene
ACSL5	gene
ACSL6	gene
ACSBG1	gene
ACSL1	gene
ACSL3	gene
ACSL4	gene
LTC4S	gene
DECR2	gene
DECR1	gene
PP35	gene
DUS3L	gene
DUS1L	gene
DUS2	gene
DUS4L	gene
TECRL	gene
ACOT7L	gene
THEM4	gene
ACOT2	gene
THEM5	gene
ACOT4	gene
ACOT1	gene
ACOT7	gene
HADH	gene
ECI1	gene
ECI2	gene
DPEP2	gene
DPEP3	gene
DPEP1	gene
HADHB	gene
ACAA2	gene
ACAA1	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
ECHS1	gene
DHRS4L2	gene
CBR3	gene
DHRS4	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
ALOX5	gene
GGT1	gene
GGT	gene
LTA4H	gene
GSTMU3	PPI
UBC	PPI
GSTO1	PPI
GSTCD	PPI
GSTO2	PPI
GSTZ1	PPI
PRDX6	PPI
CYP17A1	PPI
CYP11A1	PPI
CYP2E1	PPI
LPL	PPI
CYP3A4	PPI
CYP21A2	PPI
CYP2A6	PPI
CYP2C9	PPI
CYP11B1	PPI
CD36	PPI
CYP11B2	PPI
CYP7A1	PPI
CYP2C19	PPI
CYP2J2	PPI
CYP4F2	PPI
CYP27A1	PPI
CYP24A1	PPI
CYP4F3	PPI
NFE2L2	PPI
CYP51A1	PPI
CYP27C1	PPI
CYP4F22	PPI
CYP20A1	PPI
CYP26C1	PPI
CYP2R1	PPI
CYP4V2	PPI
CYP2W1	PPI
CYP4F11	PPI
CYP26B1	PPI
FGF21	PPI
CYP39A1	PPI
CYP8B1	PPI
CYP46A1	PPI
CYP27B1	PPI
CYP26A1	PPI
CYP7B1	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA2	PPI
ALOX5AP	PPI
EPRS	PPI
AKT1	PPI
AKT2	PPI
MYC	PPI
HADHA	PPI
PEX7	PPI
HSPD1	PPI
PSMD14	PPI
MAPKAPK2	PPI
COTL1	PPI
ADIPOQ	PPI
DICER1	PPI
MAP3K5	PPI
NMT2	PPI
NMT1	PPI
GRB2	PPI
POR	PPI
MAPK8	PPI
TRAF2	PPI
HSPE1	PPI
PEX5	PPI
ELOVL5	PPI
TGFBRAP1	PPI
MAPK10	PPI
MAPK9	PPI
EPS8L2	PPI
FGR	PPI
CAMK2G	PPI
HCK	PPI
CYB5A	PPI
SLC27A5	PPI
ECH1	PPI
EPS8	PPI
YES1	PPI
SLC27A1	PPI
PEX5L	PPI
SLC27A6	PPI
TGM2	PPI
SLC27A2	PPI
NPEPPS	PPI
SLC27A4	PPI
PIK3R1	PPI
BRCA1	PPI
PRKACA	PPI
SIRT3	PPI
STAT3	PPI
HSPA4	PPI
HSP90AA1	PPI
HSP90AB1	PPI
LRP1B	PPI
PHYH	PPI
FANCC	PPI
TNNI3K	PPI
LYN	PPI
PHLPP2	PPI
RRAGB	PPI
RRAGA	PPI
PRDX2	PPI
PRDX4	PPI
MDH2	PPI
NAMPT	PPI
CD53	PPI
SUMO4	PPI
SUMO3	PPI
SUMO1	PPI
CD82	PPI
FDXR	PPI
FHIT	PPI
SQSTM1	PPI
HAT1	PPI
ETFB	PPI
CD81	PPI
MAP3K1	PPI
MAPK14	PPI
MAPK1	PPI
ZNF16	PPI
SKP1	PPI
LRRK2	PPI
ELF3	PPI
PRKAA2	PPI
PGRMC1	PPI
CALML5	PPI
CALML6	PPI
GRID2	PPI
CALML3	PPI
CALM1	PPI
SUMO2	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
UPF2	PPI
PRKAR2B	PPI
HIST1H4A	PPI
JUND	PPI
FBXL12	PPI
CREB1	PPI
FMO4	PPI
FMO3	PPI
FMO5	PPI
CLPP	PPI
HSD11B1	PPI
EPHX1	PPI
TERT	PPI
JUN	PPI
PGRMC2	PPI
CYB5R2	PPI
