gene	node_type
DLST	gene
SETD3	gene
KMT5C	gene
PRDM9	gene
PRMD9	gene
KMT5B	gene
KMT5A	gene
SETD8	gene
DOT1L	gene
SETD7	gene
SETDB1	gene
PRDM6	gene
PRDM7	gene
NSD1	gene
NSD2	gene
NSD3	gene
SETD1A	gene
ASH1L	gene
SETD1B	gene
SMYD3	gene
SMYD1	gene
SETDB2	gene
KMT2B	gene
KMT2C	gene
KMT2A	gene
KMT2D	gene
EZH2	gene
EZH1	gene
SUV39H2	gene
SUV39H1	gene
PRDM2	gene
CAMKMT	gene
DBH	gene
DHTKD1	gene
OGDH	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
PARK2	gene
SHMT1	gene
SHMT2	gene
SHMT	gene
DKFZP686P09201	gene
HEL-S-51E	gene
PLOD2	gene
PLOD1	gene
BBOX1	gene
TMLHE	gene
COLGALT1	gene
COLGALT2	gene
DKFZP686P09201	PPI
HEL-S-51E	PPI
TALDO1	PPI
ATP6V1A	PPI
HSPA9	PPI
CAP2	PPI
MDH2	PPI
EIF2S3	PPI
HNF4A	PPI
IARS	PPI
SKIV2L2	PPI
HTT	PPI
PSMC4	PPI
VDAC2	PPI
NSF	PPI
NEDD4	PPI
CAPZA2	PPI
CAPZB	PPI
ALDH1A3	PPI
CCT5	PPI
IDH2	PPI
CCT3	PPI
SARS	PPI
IDH3A	PPI
GDI2	PPI
CCT8	PPI
CCT4	PPI
IDH3G	PPI
PSMD7	PPI
PGD	PPI
KPNA1	PPI
CAPZA1	PPI
COPA	PPI
CLTCL1	PPI
PRKAA2	PPI
HSPA2	PPI
AK2	PPI
PSMD4	PPI
VCP	PPI
NAP1L1	PPI
NPEPPS	PPI
SUMO3	PPI
HIST1H2BD	PPI
DNAJB13	PPI
GABARAPL2	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
ACTR2	PPI
ARF3	PPI
RPL27	PPI
SUMO2	PPI
PSMC5	PPI
YWHAE	PPI
PSMC6	PPI
RAB11A	PPI
CNBP	PPI
ACTA2	PPI
HIST1H2BC	PPI
RBX1	PPI
RPL30	PPI
PPIA	PPI
RPS27A	PPI
UBA52	PPI
GRB2	PPI
SUMO1	PPI
EIF5A	PPI
ACTG1	PPI
ACTG2	PPI
UBE2I	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
HIST1H3A	PPI
CCT2	PPI
ARF1	PPI
H3F3A	PPI
MAT1A	PPI
CLTC	PPI
GALK2	PPI
CAP1	PPI
PFKP	PPI
RPL18A	PPI
ERCC6	PPI
ZBTB16	PPI
EEF1A2	PPI
GFPT1	PPI
PPID	PPI
SLC38A11	PPI
TBL3	PPI
FLII	PPI
ACACA	PPI
PRDX4	PPI
MAPK7	PPI
PSMD2	PPI
TUBB3	PPI
CUL1	PPI
CUL2	PPI
TUBA3C	PPI
TUBB2A	PPI
IKBKE	PPI
EIF4A2	PPI
TRIP12	PPI
