V1	V2
GLB1	LGALS3
GLB1	TNFRSF1A
GLB1	M6PR
GLB1	DNAJB2
GLB1	PLK1
GLB1	VCP
GLB1	ABCE1
GLB1	YPEL5
GLB1	CSNK2B
GLB1	MEPCE
GLB1	MARS2
GLB1	NEU1
GLB1	USP42
GLB1	FBXO6
GLB1	CTNNBIP1
GLB1	VAPA
GLB1	TFIP11
GLB1	DNAJB4
GLB1	ATP6AP2
GLB1	FOS
GLB1	TK1
GLB1	VIM
GLB1	UBC
GLB1	CTSA
GLB1	H2AFX
MAN2B1	SMAD9
MAN2B1	SPOP
MAN2B1	CCNB2
MAN2B1	GLA
MAN2B1	UBC
MAN2B1	CCNB1
MAN2B1	SLC2A4
MAN2B1	NAGA
MAN2B1	RPL22
MAN2B1	DHODH
MAN2B1	BTK
MAN2B1	RPL22L1
MAN2B1	TMEM55B
MAN2B1	TMEM55A
MAN2B1	NKX3-1
MAN2B1	MOV10
MAN2B1	FBXO6
MAN2B1	RRN3
MAN2B1	NXF1
MAN2B1	LGALS9
MAN2B2	UBC
MAN2B2	NAAA
MAN2B2	SIAE
MAN2B2	FBXO6
MAN2C1	POLR3B
MAN2C1	ZNRD1
MAN2C1	CDC14A
MAN2C1	PPIE
MAN2C1	POLR1D
MAN2C1	POLR3K
MAN2C1	POLR3H
MAN2C1	POLR3A
MAN2C1	POLR1C
MAN2C1	TEX33
MAN2C1	SART1
MAN2C1	CDC14B
MAN2C1	HIST1H2BK
MAN2C1	POLR1A
MAN2C1	HSPA4L
MAN2C1	OTC
MAN2C1	HIST1H2BJ
MAN2C1	BPGM
MAN2C1	HSP90AA1
MAN2C1	HSP90AB1
MAN2C1	ENO2
MAN2C1	UBC
MAN2C1	HSPA1B
MAN2C1	HSPA8
MAN2C1	PC
MAN2C1	ENO3
MAN2C1	PGAM2
MAN2C1	HSPA6
MAN2C1	PGAM1
MAN2C1	POLR2E
MAN2C1	PCMT1
MAN2C1	AHCY
MAN2C1	HIST1H2BO
MAN2C1	DDX6
MAN2C1	PPIF
MAN2C1	HIST1H2BB
MAN2C1	HSPA1L
MAN2C1	HSPA4
MAN2C1	ATP6V1E1
MAN2C1	DLST
MAN2C1	BRCA1
MAN2C1	ATP6V1A
MAN2C1	PRRC2A
MAN2C1	CSNK1A1
MAN2C1	CSNK1D
MAN2C1	CSNK1E
MAN2C1	POLR2H
MAN2C1	CLTCL1
MAN2C1	HSPA2
MAN2C1	HIST1H2BD
MAN2C1	YWHAE
MAN2C1	HIST1H2BC
MAN2C1	POLR2L
MAN2C1	PPIA
MAN2C1	RACK1
MAN2C1	HIST1H3A
MAN2C1	H3F3A
MAN2C1	CLTC
MAN2C1	HIST3H3
MAN2C1	HIST2H2BE
MAN2C1	HIST2H2BF
MAN2C1	EXOSC6
MAN2C1	H3F3C
MAN2C1	HIST2H3A
MAN2C1	CDC20B
MAN2C1	XRN1
MAN2C1	PGAM4
MAN2C1	HIST3H2BB
MAN2C1	D2HGDH
MAN2C1	HSPH1
MAN2C1	TFAP2C
MAN2C1	UPF1
MAN2C1	HIST1H2BH
MAN2C1	ATP6V1E2
MAN2C1	HIST1H2BA
MAN2C1	SGTB
MAN2C1	HIST1H2BN
MAN2C1	HIST1H2BM
MAN2C1	HIST1H2BL
MAN2C1	POLR3C
MAN2C1	POLR1E
MAN2C1	POLR3F
MAN2C1	POLR1B
MANBA	CTNNB1
MANBA	HNF4A
MANBA	DNAJC3
MANBA	PTPRK
MANBA	TAZ
MANBA	KIRREL2
MANBA	LIPH
MANBA	DNASE2B
MANBA	GPHA2
MANBA	SIAE
MANBA	FBXO6
MANBA	KLK11
MANBA	CLEC18A
ENGASE	ACTR6
ENGASE	EGFR
ENGASE	UBB
ENGASE	UBC
ENGASE	GYS1
ENGASE	GYS2
ENGASE	RPS27A
ENGASE	UBA52
NEU2	PEX14
NEU2	ZWINT
NEU2	NTRK1
NEU2	MCM2
NEU2	PEX5
NEU2	TFAP4
NEU2	KEAP1
NEU2	CWF19L2
NEU2	PYHIN1
NEU2	NOTCH2NL
NEU2	ALKBH3
NEU2	KIAA1671
NEU2	FAM217B
NEU2	NOTCH3
NEU2	NOSIP
NEU4	RBPMS
NEU4	MDFI
NEU4	RHOXF2
NEU4	PLSCR1
NEU4	NTRK1
NEU4	TCF4
NEU4	PSMA3
NEU4	AP2B1
NEU4	DLG4
NEU4	TRIP6
NEU1	FBXO6
NEU1	VAPA
NEU1	HDAC5
NEU1	UBC
NEU1	CTSA
NEU1	GLB1
NEU1	KCNA2
NEU1	JUNB
NEU1	RCC1
NEU1	KCNA4
NEU1	GALNS
NEU1	LIG4
NEU1	EEF1A1
NEU1	E2F4
NEU3	KLK5
NEU3	NTRK1
NEU3	UBC
NEU3	GRB2
NEU3	CAV1
NEU3	KLK11
AGA	HNF4A
AGA	HBB
AGA	HBA1
AGA	RBL2
AGA	ZER1
AGA	FBXO6
AGA	MOB4
AGA	ALB
FUCA2	FBXO6
FUCA2	UBC
FUCA2	MEOX2
FUCA2	CUL3
FUCA1	APP
FUCA1	SLC2A4
FUCA1	VCL
FUCA1	VAV2
FUCA1	CUL3
FUCA1	PAXIP1
FUCA1	MARK2
FUCA1	BARD1
FUCA1	USP21
HEXA	HEXB
HEXA	SLC2A4
HEXA	H2AFX
HEXA	GM2A
HEXA	HNF4A
HEXA	CRK
HEXA	BAG6
HEXA	ST13
HEXA	PPP5C
HEXA	YPEL5
HEXA	GRB2
HEXA	TUBA1B
HEXA	TUBA4A
HEXA	EIF4EBP1
HEXA	EIF4EBP2
HEXA	TUBA3C
HEXA	HNRNPD
HEXA	IQCB1
HEXA	TUBA3E
HEXA	NAPRT
HEXA	TUBA1A
HEXA	SGTB
HEXA	CEP170P1
HEXA	FBXO6
HEXA	USP22
HEXA	FAN1
HEXA	SYNCRIP
HEXA	EIF4EBP3
HEXA	ABL1
HEXA	FYN
HEXB	UBC
HEXB	SLC2A4
HEXB	GM2A
HEXB	NUP214
HEXB	ST13
HEXB	PPP5C
HEXB	ABCE1
HEXB	GRB2
HEXB	CSNK2B
HEXB	TUBA1B
HEXB	TUBA4A
HEXB	EIF4EBP1
HEXB	EIF4EBP2
HEXB	TUBA3C
HEXB	IQCB1
HEXB	KIF19
HEXB	TUBA3E
HEXB	NAPRT
HEXB	TUBA1A
HEXB	TGS1
HEXB	SMC6
HEXB	TSNAX
HEXB	VCPKMT
HEXB	FBXO6
HEXB	BACH1
HEXB	EIF4EBP3
HEXB	SOD1
HEXB	HEXA
