gene	node_type
DOLK	gene
MAN2A1	gene
MAN2A2	gene
DPM1	gene
ALG11	gene
MGAT5	gene
DOLPP1	gene
ALG5	gene
GALNT19	gene
GALNAC-T18	gene
GALNT16	gene
GALNT11	gene
ALG8	gene
B3GALNT2	gene
FUT1	gene
ALG12	gene
GALNT15	gene
ALG9	gene
CHPF2	gene
FUT2	gene
ALG6	gene
B3GNT10	gene
CHSY1	gene
B3GALT4	gene
PIGV	gene
GALNT13	gene
CHPF	gene
GALNAC-T17	gene
PIGB	gene
B3GALNT1	gene
CSGALNACT2	gene
PIGZ	gene
OK/KNS-CL.1	gene
POC1B-GALNT4	gene
GALNT1	gene
B3GNT3	gene
GALNT6	gene
CHSY-2	gene
B3GNT5	gene
GALNT2	gene
H1	gene
SEJ	gene
H2	gene
B3GALT5	gene
B3GALT6	gene
GALNT17	gene
B3GNT6	gene
GALNAC-T10	gene
GALNT7	gene
GALNTL6	gene
GALNT9	gene
CHGN	gene
GALNT10	gene
PIGM	gene
POMGNT1	gene
UGGT1	gene
UGGT2	gene
DPY19L2	gene
DPY19L2P2	gene
B3GNT8	gene
B3GNTL1	gene
FUT7	gene
FUT11	gene
GBGT1	gene
FUT9	gene
FUT4	gene
DPY19L1	gene
DPY19L3	gene
DPY19L4	gene
DPY19L2P1	gene
ALG1L	gene
ALG1L2	gene
A4GNT	gene
FUT10	gene
GLT8D1	gene
GLT8D2	gene
GLT6D1	gene
B3GNT7	gene
B4GAT1	gene
B4GALNT2	gene
B3GLCT	gene
B3GNT9	gene
GCNT7	gene
ST6GAL1	gene
ST6GAL2	gene
EDEM3	gene
MAN1A1	gene
MAN1A2	gene
MAN1B1	gene
MAN1C1	gene
MOGS	gene
MGAT4A	gene
MGAT4B	gene
MGAT4C	gene
MGAT3	gene
MGAT2	gene
ALG1	gene
MGAT1	gene
GANAB	gene
FUT8	gene
DPAGT1	gene
GALNAC-T18	PPI
GALNAC-T17	PPI
OK/KNS-CL.1	PPI
CHSY-2	PPI
H1	PPI
SEJ	PPI
H2	PPI
GALNAC-T10	PPI
CHGN	PPI
ERGIC3	PPI
CREB3	PPI
UBC	PPI
KCNA6	PPI
TAF1	PPI
POLR2A	PPI
EDA	PPI
RAB39B	PPI
CD274	PPI
TMEM173	PPI
WRAP73	PPI
NOVA2	PPI
GOSR1	PPI
MYC	PPI
NOVA1	PPI
MAX	PPI
NAAA	PPI
PLAUR	PPI
GOLGA2	PPI
PTCH1	PPI
MBTPS1	PPI
PTPRK	PPI
SEC23B	PPI
CHD3	PPI
CLEC12A	PPI
SUSD4	PPI
SLC39A4	PPI
TMEM25	PPI
FBXO6	PPI
GIT1	PPI
LUC7L2	PPI
IKBKAP	PPI
HLA-DRA	PPI
VIM	PPI
HLA-E	PPI
ENO3	PPI
DNAJA2	PPI
PTP4A3	PPI
CIAO1	PPI
DPM2	PPI
ALDH1A2	PPI
GFPT2	PPI
UBR5	PPI
EGFR	PPI
TUBB4A	PPI
NTRK1	PPI
ALDH2	PPI
SLC25A5	PPI
JUN	PPI
ATP5B	PPI
GPI	PPI
TUBB	PPI
BPGM	PPI
ENO2	PPI
HSPA1A	PPI
HSPA1B	PPI
ARAF	PPI
DLAT	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
PC	PPI
SLC25A4	PPI
SLC25A6	PPI
PGAM2	PPI
ATP6V1B1	PPI
HSPA6	PPI
CTPS1	PPI
PSMC3	PPI
PGAM1	PPI
SRM	PPI
NFKB1	PPI
M6PR	PPI
ATP6V1B2	PPI
VDAC1	PPI
TUBG1	PPI
ATP5A1	PPI
VARS	PPI
EEF1G	PPI
PRDX3	PPI
ALDH1B1	PPI
DNAJA1	PPI
PRDX2	PPI
GTF2H1	PPI
HSPA1L	PPI
BMI1	PPI
ATP5C1	PPI
RPL4	PPI
PPP1CC	PPI
ATP6V1A	PPI
HSPA9	PPI
HNF4A	PPI
PSMC4	PPI
VDAC2	PPI
ATP5O	PPI
TDO2	PPI
MCM2	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
IDH3G	PPI
CLTCL1	PPI
HSPA2	PPI
AK2	PPI
SUMO3	PPI
ACTB	PPI
SUMO2	PPI
PPP1CA	PPI
PPP1CB	PPI
YWHAE	PPI
ACTA2	PPI
SUMO1	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
NOP14	PPI
CLTC	PPI
E2F1	PPI
GALK2	PPI
ZBTB16	PPI
EEF1A2	PPI
GFPT1	PPI
ACACA	PPI
PRDX4	PPI
PSMD2	PPI
CLN3	PPI
ILK	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
DMC1	PPI
TSC22D1	PPI
NEDD8	PPI
TUBB8	PPI
SUMO4	PPI
TUBA3E	PPI
ELMSAN1	PPI
AATK	PPI
TUBA1A	PPI
HUWE1	PPI
