gene	node_type
DOLK	gene
MAN2A1	gene
MAN2A2	gene
DPM1	gene
ALG11	gene
MGAT5	gene
DOLPP1	gene
ALG5	gene
GALNT19	gene
GALNAC-T18	gene
GALNT16	gene
GALNT11	gene
ALG8	gene
B3GALNT2	gene
FUT1	gene
ALG12	gene
GALNT15	gene
ALG9	gene
CHPF2	gene
FUT2	gene
ALG6	gene
B3GNT10	gene
CHSY1	gene
B3GALT4	gene
PIGV	gene
GALNT13	gene
CHPF	gene
GALNAC-T17	gene
PIGB	gene
B3GALNT1	gene
CSGALNACT2	gene
PIGZ	gene
OK/KNS-CL.1	gene
POC1B-GALNT4	gene
GALNT1	gene
B3GNT3	gene
GALNT6	gene
CHSY-2	gene
B3GNT5	gene
GALNT2	gene
H1	gene
SEJ	gene
H2	gene
B3GALT5	gene
B3GALT6	gene
GALNT17	gene
B3GNT6	gene
GALNAC-T10	gene
GALNT7	gene
GALNTL6	gene
GALNT9	gene
CHGN	gene
GALNT10	gene
PIGM	gene
POMGNT1	gene
UGGT1	gene
UGGT2	gene
DPY19L2	gene
DPY19L2P2	gene
B3GNT8	gene
B3GNTL1	gene
FUT7	gene
FUT11	gene
GBGT1	gene
FUT9	gene
FUT4	gene
DPY19L1	gene
DPY19L3	gene
DPY19L4	gene
DPY19L2P1	gene
ALG1L	gene
ALG1L2	gene
A4GNT	gene
FUT10	gene
GLT8D1	gene
GLT8D2	gene
GLT6D1	gene
B3GNT7	gene
B4GAT1	gene
B4GALNT2	gene
B3GLCT	gene
B3GNT9	gene
GCNT7	gene
ST6GAL1	gene
ST6GAL2	gene
EDEM3	gene
MAN1A1	gene
MAN1A2	gene
MAN1B1	gene
MAN1C1	gene
MOGS	gene
MGAT4A	gene
MGAT4B	gene
MGAT4C	gene
MGAT3	gene
MGAT2	gene
ALG1	gene
MGAT1	gene
GANAB	gene
FUT8	gene
DPAGT1	gene
GALNAC-T18	PPI
GALNAC-T17	PPI
OK/KNS-CL.1	PPI
CHSY-2	PPI
H1	PPI
SEJ	PPI
H2	PPI
GALNAC-T10	PPI
CHGN	PPI
DPM2	PPI
UBC	PPI
DPM3	PPI
MUC7	PPI
MUC16	PPI
MUCL1	PPI
MUC4	PPI
MUC3B	PPI
MUC13	PPI
MUC5B	PPI
MUC12	PPI
MUC1	PPI
MUC5AC	PPI
MUC3A	PPI
MUC2	PPI
MUC21	PPI
MUC17	PPI
MUC6	PPI
MUC19	PPI
MUC20	PPI
MUC15	PPI
NCAN	PPI
CSPG5	PPI
DCN	PPI
VCAN	PPI
BGN	PPI
CSPG4	PPI
BCAN	PPI
DYNC1I2	PPI
DCTN2	PPI
DCTN1	PPI
DYNC1H1	PPI
DYNC2H1	PPI
DYNC2LI1	PPI
DYNLL2	PPI
BICD1	PPI
DCTN5	PPI
DCTN4	PPI
DCTN6	PPI
DYNC1I1	PPI
DYNC1LI2	PPI
DCTN3	PPI
RAB6A	PPI
PAFAH1B1	PPI
DYNLL1	PPI
KERA	PPI
ACAN	PPI
OGN	PPI
LUM	PPI
PRELP	PPI
FMOD	PPI
OMD	PPI
GPC6	PPI
AGRN	PPI
SDC3	PPI
GPC4	PPI
SDC1	PPI
SDC4	PPI
SDC2	PPI
GPC1	PPI
GPC3	PPI
GPC5	PPI
HSPG2	PPI
GPC2	PPI
PIGX	PPI
DAG1	PPI
UMOD	PPI
ADAMTS13	PPI
ADAMTSL1	PPI
SPON1	PPI
ADAMTS7	PPI
ADAMTS5	PPI
THBS1	PPI
CFP	PPI
ADAMTSL4	PPI
PRKCSH	PPI
CALR	PPI
CANX	PPI
PDIA3	PPI
MLEC	PPI
ALG14	PPI
SACM1L	PPI
LARGE	PPI
GYLTL1B	PPI
CHSY3	PPI
MBTPS1	PPI
DDOST	PPI
RER1	PPI
ALG2	PPI
GOSR1	PPI
OPN4	PPI
GOLGA2	PPI
SERPINA1	PPI
ERGIC3	PPI
PARK2	PPI
STT3A	PPI
STT3B	PPI
PTPRC	PPI
MTOR	PPI
STUB1	PPI
NOD2	PPI
SOAT2	PPI
SEL1L	PPI
SHH	PPI
SOAT1	PPI
CEBPA	PPI
ISG15	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
SUMO4	PPI
CALML6	PPI
CALML5	PPI
E2F4	PPI
CALML3	PPI
CALM1	PPI
NKX3-1	PPI
OS9	PPI
PCSK9	PPI
MYC	PPI
APP	PPI
DNAJC10	PPI
PDIA6	PPI
TXNDC5	PPI
YBX1	PPI
PPP3R2	PPI
PPP3R1	PPI
NEDD4	PPI
NEDD4L	PPI
UVRAG	PPI
DNAJB11	PPI
LIPC	PPI
PDIA4	PPI
HSP90B1	PPI
STX16	PPI
MCM7	PPI
UBXN6	PPI
PSMD14	PPI
SLC38A1	PPI
ILK	PPI
SENP3	PPI
MAPK7	PPI
TMEM173	PPI
SEC23B	PPI
ACER3	PPI
MSMO1	PPI
SEC23A	PPI
NEDD8	PPI
WRAP73	PPI
