V1	V2
ASNS	DLD
ASNS	UBC
ASNS	HSPA1A
ASNS	HSPA1B
ASNS	HSPA8
ASNS	TPR
ASNS	ITGA4
ASNS	AKR1B1
ASNS	HSPA6
ASNS	CTPS1
ASNS	PSMC3
ASNS	VCAM1
ASNS	RAB4A
ASNS	CDK2
ASNS	DNAJB1
ASNS	DDX6
ASNS	EEF1G
ASNS	HSPA1L
ASNS	HSPA4
ASNS	SYK
ASNS	STT3A
ASNS	CSNK1A1
ASNS	CSNK1D
ASNS	CSNK1E
ASNS	CCT8
ASNS	CCT4
ASNS	PGD
ASNS	ATXN1
ASNS	HSPA2
ASNS	PSMD4
ASNS	CSE1L
ASNS	SUMO3
ASNS	DNAJB13
ASNS	TPI1
ASNS	ABCE1
ASNS	SUMO2
ASNS	SUMO1
ASNS	MRPS9
ASNS	PSMD2
ASNS	PWP1
ASNS	IKBKE
ASNS	CEP55
ASNS	FAM78A
ASNS	SUMO4
ASNS	TRIM69
ASNS	NUP93
ASNS	STT3B
ASNS	HSPH1
ASNS	KAT2B
ASNS	COPS5
ASNS	OTUB1
ASNS	DCUN1D1
ASNS	ATG101
ASNS	DDA1
ASNS	PFDN4
ASNS	SIRT7
ASNS	CTPS2
ASNS	STRN4
ASNS	DNAJB4
ASNS	PRKAG2
ASNS	RAB21
ASNS	DNPEP
ASNS	INO80
ASNS	MRPS2
ASNS	MRPS16
ASNS	WDR27
ASNS	BMPR1B
ASNS	PSMD14
ASNS	NTN3
ASNS	CHEK1
ASNS	XPO1
ASNS	LSM1
ASNS	AKR1B10
ASNS	EED
ASNS	RPS6KA5
ASNS	DNAJB5
ASNS	NTN1
ASNS	HSPA4L
ASNS	EGFR
ASNS	ALDOA
ASNS	NTRK1
ASNS	ALDOB
ASNS	JUN
ASNS	HSP90AB1
CA4	PRDX2
CA4	HTT
CA4	PIH1D1
CA4	SLC4A4
CA4	SLC4A1
CA2	SLC4A1
CA2	JUN
CA2	CDK1
CA2	UBC
CA2	HSPD1
CA2	PCNA
CA2	GOT1
CA2	SLC9A1
CA2	FUS
CA2	DYNLL1
CA2	EWSR1
CA2	KCNMA1
CA2	CUL1
CA2	CUL4A
CA2	NONO
CA2	CA9
CA2	SLC4A8
CA2	HUWE1
CA2	SOST
CA2	SLC26A6
CA2	ANKZF1
CA2	USP42
CA2	PLCB1
CA2	DISP3
CA6	KRT31
CA6	KRT40
CA6	NOTCH2NL
CA7	DYNLL1
CA7	ITPR1
CA7	LNX1
CA7	FBXO32
CA7	HSD17B10
CA7	SOST
CA7	PLCB1
CA7	ENAM
CA3	SRC
CA3	FBXO32
CA3	HSD17B10
CA3	ENAM
CA3	BAG3
CA9	SUMO4
CA9	HEATR3
CA9	CAND1
CA9	LNX1
CA9	IPO4
CA9	TNPO1
CA9	FBXO32
CA9	SAAL1
CA9	IPO9
CA9	HSD17B10
CA9	SOST
CA9	XPO5
CA9	PLCB1
CA9	ENAM
CA9	ATXN10
CA9	G3BP2
CA9	RTCB
CA9	TNPO3
CA9	SRPRB
CA9	IPO5
CA9	XPO1
CA9	XPOT
CA9	CAND2
CA9	IPO7
CA9	CA2
CA9	ATP5B
CA9	UBC
CA9	CDH1
CA9	ATP4A
CA9	TAF1
CA9	ATP5A1
CA9	CTNNA1
CA9	CTNNB1
CA9	HADHA
CA9	RPS5
CA9	KPNA2
CA9	CSE1L
CA9	DYNLL1
CA9	ACACA
CA9	ITPR1
CA14	EXOC7
CA14	PLAA
CA14	EXOC6B
CA14	EXOC5
CA14	TNPO2
CA14	RANBP6
CA14	LTN1
CA14	NF1
CA14	PEX19
CA14	MTOR
CA14	PI4KA
CA14	EIF2B2
CA14	KNTC1
CA14	RRP1
CA14	DYNLL1
CA14	COG7
CA14	NUP160
CA14	EIF2B5
CA14	ATR
CA14	EIF2B1
CA14	ZNF273
CA14	ITPR1
CA14	COG2
CA14	IQCB1
CA14	KIF14
CA14	NCAPH2
CA14	THADA
CA14	ERMP1
CA14	MON2
CA14	EXOC8
CA14	EXOC6
CA14	LNX1
CA14	KIAA1524
CA14	FBXO32
CA14	SLC22A18
CA14	DCPS
CA14	SAAL1
CA14	COG8
CA14	XPO6
CA14	HSD17B10
CA14	SOST
CA14	NUP85
CA14	AP1M1
CA14	FANCD2
CA14	XPO4
CA14	HEATR1
CA14	COG4
CA14	PLCB1
CA14	EIF2B3
CA14	ENAM
CA14	EXOC1
CA14	EIF2B4
CA12	UBC
CA12	ATP5C1
CA12	CUX1
CA12	LGALS7
CA12	DYNLL1
CA12	ITPR1
CA12	MAPK6
CA12	LNX1
CA12	RDH11
CA12	FBXO32
CA12	TOE1
CA12	HSD17B10
CA12	SOST
CA12	MRPL9
CA12	KATNBL1
CA12	PLCB1
CA12	ENAM
CA12	DAXX
CA12	SGSM2
CA13	LNX1
CA13	FBXO32
CA13	HSD17B10
CA13	SOST
CA13	PLCB1
CA13	ENAM
CA13	DYNLL1
CA13	ITPR1
CA5B	SHMT2
CA5B	ELAVL1
CA5B	NXF1
CA5A	DYNLL1
CA5A	ITPR1
CA5A	LNX1
CA5A	FBXO32
CA5A	HSD17B10
CA5A	SOST
CA5A	PLCB1
CA5A	ENAM
CA5A	UBC
CA1	HSD17B7
CA1	DYNLL1
CA1	TFCP2
CA1	ITPR1
CA1	MAPK6
CA1	LNX1
CA1	FBXO32
CA1	HSD17B10
CA1	SOST
CA1	PLCB1
CA1	ENAM
