gene	node_type
ASNS	gene
CA4	gene
CA2	gene
CA6	gene
CA7	gene
CA3	gene
CA9	gene
CA14	gene
CA12	gene
CA13	gene
CA5B	gene
CA5A	gene
CA1	gene
UBC	PPI
SUMO3	PPI
SLC4A1	PPI
SLC4A4	PPI
SLC4A8	PPI
SLC26A6	PPI
ITPR1	PPI
SLC9A1	PPI
LNX1	PPI
NONO	PPI
SRC	PPI
HSPD1	PPI
CTNNA1	PPI
CDH1	PPI
CTNNB1	PPI
SUMO4	PPI
SUMO2	PPI
SUMO1	PPI
ENAM	PPI
PSMD14	PPI
GOT1	PPI
PCNA	PPI
SOST	PPI
HEATR3	PPI
SAAL1	PPI
ATXN10	PPI
G3BP2	PPI
RTCB	PPI
CAND2	PPI
IPO9	PPI
XPO5	PPI
TNPO3	PPI
XPOT	PPI
IPO7	PPI
HADHA	PPI
KPNA2	PPI
CAND1	PPI
IPO4	PPI
TNPO1	PPI
SRPRB	PPI
IPO5	PPI
ATP5B	PPI
ATP5A1	PPI
RPS5	PPI
CSE1L	PPI
ACACA	PPI
XPO1	PPI
DYNLL1	PPI
VCAM1	PPI
SYK	PPI
NOTCH2NL	PPI
FBXO32	PPI
ATP4A	PPI
PGD	PPI
PLCB1	PPI
HSD17B10	PPI
ATXN1	PPI
ABCE1	PPI
HTT	PPI
RAB4A	PPI
RAB21	PPI
BAG3	PPI
KAT2B	PPI
OTUB1	PPI
EGFR	PPI
EWSR1	PPI
CSNK1A1	PPI
CHEK1	PPI
PSMC3	PPI
CSNK1D	PPI
CSNK1E	PPI
PSMD2	PPI
FUS	PPI
KCNMA1	PPI
ITGA4	PPI
EEF1G	PPI
PSMD4	PPI
CEP55	PPI
SIRT7	PPI
DDX6	PPI
LSM1	PPI
ELAVL1	PPI
DNPEP	PPI
USP42	PPI
CDK2	PPI
ATG101	PPI
DDA1	PPI
PRKAG2	PPI
HUWE1	PPI
ANKZF1	PPI
DISP3	PPI
LGALS7	PPI
RDH11	PPI
KATNBL1	PPI
SGSM2	PPI
STT3A	PPI
STT3B	PPI
STRN4	PPI
PIH1D1	PPI
JUN	PPI
CDK1	PPI
TAF1	PPI
ATP5C1	PPI
CUX1	PPI
MAPK6	PPI
TOE1	PPI
MRPL9	PPI
DAXX	PPI
SHMT2	PPI
TPR	PPI
AKR1B1	PPI
CTPS1	PPI
MRPS9	PPI
PWP1	PPI
IKBKE	PPI
NUP93	PPI
CTPS2	PPI
INO80	PPI
BMPR1B	PPI
NTN3	PPI
AKR1B10	PPI
EED	PPI
RPS6KA5	PPI
NTN1	PPI
ALDOA	PPI
NTRK1	PPI
ALDOB	PPI
PRDX2	PPI
CUL4A	PPI
ZNF273	PPI
NXF1	PPI
HSD17B7	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
DNAJB1	PPI
HSPA1L	PPI
HSPA4	PPI
CCT8	PPI
CCT4	PPI
HSPA2	PPI
DNAJB13	PPI
HSPH1	PPI
COPS5	PPI
DCUN1D1	PPI
PFDN4	PPI
DNAJB4	PPI
WDR27	PPI
DNAJB5	PPI
HSPA4L	PPI
HSP90AB1	PPI
CUL1	PPI
KRT31	PPI
KRT40	PPI
FAM78A	PPI
TRIM69	PPI
PI4KA	PPI
NCAPH2	PPI
THADA	PPI
ERMP1	PPI
MON2	PPI
EXOC8	PPI
KIAA1524	PPI
SLC22A18	PPI
XPO6	PPI
XPO4	PPI
TFCP2	PPI
TPI1	PPI
MRPS2	PPI
MRPS16	PPI
EXOC7	PPI
PLAA	PPI
EXOC6B	PPI
EXOC5	PPI
TNPO2	PPI
RANBP6	PPI
LTN1	PPI
NF1	PPI
PEX19	PPI
MTOR	PPI
EIF2B2	PPI
KNTC1	PPI
RRP1	PPI
COG7	PPI
NUP160	PPI
EIF2B5	PPI
ATR	PPI
EIF2B1	PPI
COG2	PPI
IQCB1	PPI
KIF14	PPI
EXOC6	PPI
DCPS	PPI
COG8	PPI
NUP85	PPI
AP1M1	PPI
FANCD2	PPI
HEATR1	PPI
COG4	PPI
EIF2B3	PPI
EXOC1	PPI
EIF2B4	PPI
DLD	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
GHR	PPI
IRF1	PPI
HSPA5	PPI
LAMC1	PPI
MYH3	PPI
SLC2A1	PPI
