gene	node_type
FADS6	gene
FADS3	gene
ACOX3	gene
ACOX1	gene
ACO2	gene
HEL-S-284	gene
CDYL	gene
HTD2	gene
ACSBG2	gene
ACSL5	gene
ACSL6	gene
ACSBG1	gene
ACSL1	gene
ACSL3	gene
ACSL4	gene
PP35	gene
DUS3L	gene
DUS1L	gene
DUS2	gene
DUS4L	gene
TECRL	gene
HADH	gene
ECHS1	gene
HADHB	gene
ACAA2	gene
ACAA1	gene
FADS2	gene
UBC	PPI
HDAC1	PPI
HDAC2	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA2	PPI
EPRS	PPI
MYC	PPI
HADHA	PPI
PEX7	PPI
NMT2	PPI
NMT1	PPI
HIST1H3A	PPI
PEX5	PPI
ELOVL5	PPI
SLC27A5	PPI
ECH1	PPI
SLC27A1	PPI
PEX5L	PPI
SLC27A6	PPI
FXN	PPI
SUZ12	PPI
SLC27A2	PPI
SLC27A4	PPI
EZH2	PPI
STAT3	PPI
PHYH	PPI
TNNI3K	PPI
ITPR1	PPI
YES1	PPI
LYN	PPI
BCAT2	PPI
BCAT1	PPI
EHMT2	PPI
NCS1	PPI
RRAGB	PPI
RRAGA	PPI
ZNF644	PPI
REST	PPI
SETDB1	PPI
SMARCA4	PPI
SMARCB1	PPI
SQSTM1	PPI
HAT1	PPI
ZNF16	PPI
SKP1	PPI
LRRK2	PPI
WIZ	PPI
SUMO2	PPI
UPF2	PPI
NPEPPS	PPI
SUMO4	PPI
FMO4	PPI
FMO3	PPI
FMO5	PPI
EPHX1	PPI
HSD11B1	PPI
TERT	PPI
CLPP	PPI
PGRMC2	PPI
CYP3A4	PPI
CYP3A5	PPI
CYP3A7	PPI
CYB5R2	PPI
CYP3A43	PPI
TOPBP1	PPI
CTBP1	PPI
PGRMC1	PPI
CYB5R3	PPI
BCAP31	PPI
PRKCE	PPI
PRKAR1B	PPI
MAPK3	PPI
FASTKD3	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR2B	PPI
SPG20	PPI
PSMD4	PPI
SUMO1	PPI
MIER2	PPI
HSPA1L	PPI
HSP90AB1	PPI
YBX1	PPI
ABCG1	PPI
KAT5	PPI
MEX3C	PPI
RPS9	PPI
MINOS1	PPI
CAPN1	PPI
HSD17B10	PPI
PSMD14	PPI
SIRT4	PPI
ATP6V1A	PPI
GRB2	PPI
LRRK1	PPI
UCHL5	PPI
SUMO3	PPI
ALDOA	PPI
ALDOB	PPI
CDK2	PPI
TRIM63	PPI
YWHAZ	PPI
SKI	PPI
YWHAQ	PPI
YWHAB	PPI
MIER1	PPI
SMURF2	PPI
SMAD6	PPI
ATL1	PPI
TYSND1	PPI
VCAM1	PPI
ATP4A	PPI
WASL	PPI
FANCA	PPI
TRAPPC3L	PPI
TRAPPC3	PPI
DUX1	PPI
ATL3	PPI
ATL2	PPI
LONP2	PPI
ECI2	PPI
SCP2	PPI
HSD17B4	PPI
RBBP4	PPI
PSMC3	PPI
PSMD2	PPI
HIST3H3	PPI
PARK2	PPI
FERMT1	PPI
MAPK1	PPI
GRK5	PPI
HMGA2	PPI
MDH2	PPI
CSNK1D	PPI
DLG4	PPI
YWHAH	PPI
IFRD2	PPI
CYHR1	PPI
FERMT3	PPI
SLC26A11	PPI
OSR1	PPI
FERMT2	PPI
GTPBP2	PPI
ING2	PPI
IFRD1	PPI
LEO1	PPI
RTF1	PPI
ADRB2	PPI
PSMA3	PPI
NOVA1	PPI
NOVA2	PPI
MLH1	PPI
YWHAG	PPI
HECW2	PPI
RPSA	PPI
NDRG1	PPI
NEDD4L	PPI
NEDD4	PPI
PSMC2	PPI
TAF12	PPI
PARK7	PPI
ING1	PPI
VCL	PPI
HSPB2	PPI
RAB21	PPI
CLN3	PPI
UBE2V1	PPI
UBE2I	PPI
TAF1	PPI
LAMTOR5	PPI
EGFR	PPI
SLC2A4	PPI
UBA1	PPI
UBE2N	PPI
TRIP12	PPI
GRAP	PPI
SMN1	PPI
PAN2	PPI
ATF2	PPI
MYO5C	PPI
MYO5B	PPI
MYO5A	PPI
HSPA4L	PPI
TPR	PPI
HSPH1	PPI
ASB9	PPI
CALM1	PPI
XPO1	PPI
YPEL5	PPI
PRKAA2	PPI
TUBA8	PPI
OGDHL	PPI
TUBAL3	PPI
DNM1L	PPI
CLUH	PPI
GFPT2	PPI
PFKM	PPI
HSPA1A	PPI
HSPD1	PPI
DARS	PPI
PFKL	PPI
MAT2A	PPI
CCT8	PPI
YWHAE	PPI
TUBA1B	PPI
TUBA4A	PPI
CCT2	PPI
MAT1A	PPI
PFKP	PPI
OGDH	PPI
GFPT1	PPI
GRIN2B	PPI
TUBA3C	PPI
TUBA3E	PPI
TUBA1A	PPI
TRIM38	PPI
PDE9A	PPI
RTN3	PPI
ZBED1	PPI
PAICS	PPI
NT5C2	PPI
