gene	node_type
CYP1A1	gene
CYP2D6	gene
CYP2B6	gene
CYP2C	gene
CYP1B1	gene
CYP19A1	gene
CYP4F8	gene
CYP2C18	gene
CYP2A7	gene
CYP4X1	gene
CYP4Z1	gene
CYP2D7	gene
CYP2S1	gene
CYP4F12	gene
CYP2C8	gene
CYP1A2	gene
CYP4B1	gene
CYP3A5	gene
CYP3A7	gene
CYP2U1	gene
CYP3A43	gene
CYP2F1	gene
CYP2A13	gene
CYP17A1	PPI
CYP11A1	PPI
CYP2E1	PPI
JUN	PPI
LPL	PPI
HSP90AA1	PPI
HSP90AB1	PPI
CYP3A4	PPI
CYP21A2	PPI
PYGB	PPI
CYP2A6	PPI
CYP2C9	PPI
ATF2	PPI
CYP11B1	PPI
CD36	PPI
CYP11B2	PPI
EIF2AK2	PPI
EIF2S2	PPI
MUT	PPI
CYP7A1	PPI
TCEA1	PPI
TPP2	PPI
CSTF2	PPI
CYP2C19	PPI
HSPA4	PPI
HPCAL1	PPI
TXLNA	PPI
TSFM	PPI
RECQL	PPI
IQGAP1	PPI
MCM2	PPI
ACADVL	PPI
CYP2J2	PPI
MLLT4	PPI
ETF1	PPI
CYP4F2	PPI
EIF4G2	PPI
GTF2I	PPI
HDLBP	PPI
CYP27A1	PPI
CSTF1	PPI
PTPN11	PPI
PSME1	PPI
CYP24A1	PPI
CYP4F3	PPI
PPP1R8	PPI
CSTF3	PPI
PICALM	PPI
CKAP5	PPI
SF3A1	PPI
NSDHL	PPI
NFE2L2	PPI
PKN2	PPI
CYP51A1	PPI
CYP27C1	PPI
CYP4F22	PPI
CYP20A1	PPI
CYP26C1	PPI
CYP2R1	PPI
CYP4V2	PPI
RAVER1	PPI
NUP35	PPI
CYP2W1	PPI
DTD1	PPI
CTNNBL1	PPI
PSMF1	PPI
CMTM5	PPI
ZNF503	PPI
OTUB1	PPI
RPRD1A	PPI
QKI	PPI
OSBPL9	PPI
VRK1	PPI
NAA15	PPI
EIF2A	PPI
NAA50	PPI
CYP4F11	PPI
CYP26B1	PPI
FGF21	PPI
RBM12	PPI
CYP39A1	PPI
ADD3	PPI
MCTS1	PPI
HPCAL4	PPI
CYP8B1	PPI
MINPP1	PPI
DIS3	PPI
GSTK1	PPI
CAB39	PPI
SBDS	PPI
TLN1	PPI
CYP46A1	PPI
CYP27B1	PPI
CYP26A1	PPI
SNX3	PPI
SNX2	PPI
USO1	PPI
BRD4	PPI
CLN5	PPI
ZMPSTE24	PPI
CYP7B1	PPI
LETM1	PPI
CYB5R3	PPI
POR	PPI
HNF4A	PPI
CYB5A	PPI
SAE1	PPI
UBC	PPI
HSPB2	PPI
CREB1	PPI
JUND	PPI
RAB38	PPI
DBNL	PPI
SDC2	PPI
PSEN1	PPI
SLC7A2	PPI
AMZ2	PPI
ECSIT	PPI
TMEM260	PPI
ACAD8	PPI
A2M	PPI
APOE	PPI
PPFIA1	PPI
NT5E	PPI
CDK2	PPI
ADAMTSL4	PPI
SOD2	PPI
PKM	PPI
HSPA6	PPI
DNAJB1	PPI
LONP1	PPI
BLMH	PPI
EXOC6	PPI
RIN3	PPI
RNF32	PPI
GABARAPL1	PPI
MAP1LC3A	PPI
MAST1	PPI
PGRMC1	PPI
IFIT3	PPI
DFFA	PPI
HSD11B1	PPI
FMO4	PPI
FMO3	PPI
ACSL1	PPI
ETV5	PPI
FMO5	PPI
BCAP31	PPI
PPP5C	PPI
MESDC2	PPI
CYB5R2	PPI
RDH13	PPI
ATOH8	PPI
ACSL6	PPI
ACSL5	PPI
PGRMC2	PPI
EPHX1	PPI
YWHAB	PPI
YWHAZ	PPI
E2F1	PPI
MYC	PPI
ONECUT1	PPI
HNF1A	PPI
