V1	V2
XYLB	EIF2S1
XYLB	UBC
XYLB	HSPA1B
XYLB	HSPA8
XYLB	HSPA6
XYLB	RCC1
XYLB	EIF2S2
XYLB	GK
XYLB	HSPA1L
XYLB	EIF2S3
XYLB	EIF2B2
XYLB	CCT4
XYLB	CLTCL1
XYLB	IST1
XYLB	HSPA2
XYLB	UBE2G2
XYLB	PPP2R2A
XYLB	PPP2R2B
XYLB	CLTC
XYLB	EIF2B5
XYLB	EIF2B1
XYLB	GK2
XYLB	PPP2R2D
XYLB	EXOSC5
XYLB	EXOSC3
XYLB	EIF2B3
XYLB	EIF2B4
XYLB	PPP2R2C
AKR1B1	PGAM2
AKR1B1	UCHL3
AKR1B1	NME1
AKR1B1	DSP
AKR1B1	GOT1
AKR1B1	GJA1
AKR1B1	AKR1C4
AKR1B1	PGAM1
AKR1B1	ATP5J
AKR1B1	TFE3
AKR1B1	ANXA7
AKR1B1	NME2
AKR1B1	PPIB
AKR1B1	MCC
AKR1B1	PAX7
AKR1B1	MSN
AKR1B1	FKBP2
AKR1B1	CALR
AKR1B1	TKT
AKR1B1	SERPINB3
AKR1B1	EEF1D
AKR1B1	HLA-B
AKR1B1	GDI1
AKR1B1	STIP1
AKR1B1	VHL
AKR1B1	MDH2
AKR1B1	HNF4A
AKR1B1	AKR1C3
AKR1B1	SERPINB4
AKR1B1	HINT1
AKR1B1	GNAQ
AKR1B1	GDI2
AKR1B1	ANXA11
AKR1B1	AKR1D1
AKR1B1	PGD
AKR1B1	ARHGDIA
AKR1B1	ARHGDIB
AKR1B1	AKR1C2
AKR1B1	IST1
AKR1B1	PRMT2
AKR1B1	SUMO3
AKR1B1	HSPE1
AKR1B1	SUMO2
AKR1B1	NUTF2
AKR1B1	PPP1CB
AKR1B1	FKBP1A
AKR1B1	SUMO1
AKR1B1	EIF5A
AKR1B1	FKBP1B
AKR1B1	GSTO1
AKR1B1	MRPS35
AKR1B1	PRKCE
AKR1B1	DST
AKR1B1	AKR1C1
AKR1B1	RBL2
AKR1B1	KCNAB2
AKR1B1	BIRC3
AKR1B1	BIRC2
AKR1B1	NACA
AKR1B1	IKBKE
AKR1B1	KCNAB1
AKR1B1	PTGES3
AKR1B1	RGN
AKR1B1	SMAD1
AKR1B1	ZNF318
AKR1B1	CWF19L1
AKR1B1	SUMO4
AKR1B1	EIF5AL1
AKR1B1	ASB18
AKR1B1	CIR1
AKR1B1	PGAM4
AKR1B1	PSMA8
AKR1B1	ASB5
AKR1B1	FBXO32
AKR1B1	ASB9
AKR1B1	SGTB
AKR1B1	DYNLL2
AKR1B1	PGLYRP2
AKR1B1	CSMD1
AKR1B1	SIN3A
AKR1B1	HSD17B10
AKR1B1	ARHGDIG
AKR1B1	C1orf43
AKR1B1	EIF5A2
AKR1B1	NACA2
AKR1B1	TKTL2
AKR1B1	CDT1
AKR1B1	RBKS
AKR1B1	GSTO2
AKR1B1	MED20
AKR1B1	TXNRD2
AKR1B1	ISYNA1
AKR1B1	HEYL
AKR1B1	FBXO28
AKR1B1	DNAJC11
AKR1B1	HEY2
AKR1B1	IFT172
AKR1B1	CARHSP1
AKR1B1	TRAF6
AKR1B1	CSDC2
AKR1B1	HEY1
AKR1B1	AKR1B15
AKR1B1	NTN3
AKR1B1	PSMA7
AKR1B1	NPHP1
AKR1B1	MAP3K7
AKR1B1	KCNAB3
AKR1B1	AKR7A2
AKR1B1	SGTA
AKR1B1	CALU
AKR1B1	AKR1B10
AKR1B1	ZNF253
AKR1B1	AKR7A3
AKR1B1	NTN1
AKR1B1	SOD2
AKR1B1	SHBG
AKR1B1	ASL
AKR1B1	NTRK1
AKR1B1	ENO1
AKR1B1	P4HB
AKR1B1	ANXA6
AKR1B1	ASNS
AKR1B1	ENO2
AKR1B1	UBC
AKR1B1	TXN
AKR1B1	PCNA
AKR1B1	ATP1A3
AKR1B1	ETFA
AKR1B1	AKR1A1
DCXR	DEF6
DCXR	SPHK1
DCXR	GSTK1
DCXR	TRAF6
DCXR	APP
DCXR	JUN
DCXR	UBC
DCXR	ABCE1
DCXR	CRADD
DCXR	DMWD
CRYL1	ABCC6
CRYL1	UBC
CRYL1	GDI1
CRYL1	GDI2
CRYL1	ELAVL1
