gene	node_type
IDO2	gene
ALOX12B	gene
TBXAS1	gene
PTGS2	gene
PTSG1	gene
PTGS1	gene
PTGES	gene
PTGES2	gene
PTGES3	gene
PTGDS	gene
ACO2	gene
HEL-S-284	gene
CDYL	gene
HTD2	gene
PP35	gene
DUS3L	gene
DUS1L	gene
DUS2	gene
DUS4L	gene
TECRL	gene
PLPP3	gene
PLPP4	gene
PLPP5	gene
PLPP1	gene
PLPPR2	gene
PLPPR3	gene
PLPPR4	gene
PLPP2	gene
LPIN2	gene
LPIN1	gene
LPIN3	gene
LOC51064	gene
GSTM3	gene
GSTMU3	gene
GSTM5	gene
GSTK1	gene
GSTM4	gene
GSTM2	gene
GSTA1	gene
GSTA3	gene
GSTM1	gene
GSTA5	gene
GSTT4	gene
GSTP1	gene
GSTT2B	gene
GSTA2	gene
GSTT2	gene
GSTA4	gene
GSTT1	gene
LANCL1	gene
MGST2	gene
MGST3	gene
MGST1	gene
PTGIS	gene
PGIS	gene
DHRS4L2	gene
CBR3	gene
DHRS4	gene
HPGD	gene
GSTMU3	PPI
DNAJA4	PPI
STK26	PPI
STK24	PPI
STK25	PPI
SOCS3	PPI
DNAJA2	PPI
UBC	PPI
RCC1	PPI
CDK2	PPI
DNAJA1	PPI
STK3	PPI
B3GALNT1	PPI
GPANK1	PPI
NFKB1	PPI
TGM1	PPI
KIR3DS1	PPI
DPPA4	PPI
CCDC51	PPI
GMCL1	PPI
ALOXE3	PPI
MBD2	PPI
MBD1	PPI
E2F4	PPI
HSP90AA1	PPI
MTNR1B	PPI
VCP	PPI
PSMC5	PPI
RBX1	PPI
SUMO1	PPI
MDM2	PPI
PRKCE	PPI
NUCB1	PPI
CAV1	PPI
EP300	PPI
HNRNPA0	PPI
CUL1	PPI
CUL4A	PPI
HNRNPD	PPI
ELAVL1	PPI
LRRK2	PPI
ELMO1	PPI
COPS5	PPI
FAF2	PPI
PSMD1	PPI
VIMP	PPI
DERL1	PPI
COPS7A	PPI
COPS3	PPI
USP22	PPI
CASK	PPI
CELF2	PPI
ERBB2	PPI
TP53	PPI
ZFP36	PPI
MAPK3	PPI
NOS1	PPI
HSPA4	PPI
CTNNB1	PPI
NOS2	PPI
CAV2	PPI
DLG4	PPI
FBXO6	PPI
NCL	PPI
GOLT1B	PPI
NDUFA4	PPI
COQ9	PPI
MYC	PPI
H2AFX	PPI
HTT	PPI
SUMO2	PPI
DLK1	PPI
EXOSC10	PPI
ECH1	PPI
BIRC3	PPI
BIRC2	PPI
ENDOG	PPI
C1ORF189	PPI
SHISA2	PPI
EID3	PPI
PEO1	PPI
NMES1	PPI
RGN	PPI
SURF1	PPI
MAPRE1	PPI
STK11	PPI
HIF1A	PPI
FAXC	PPI
SUMO4	PPI
USP49	PPI
PIWIL4	PPI
FRMD5	PPI
CARM1	PPI
PIWIL2	PPI
RAD54L	PPI
KAT2A	PPI
KAT2B	PPI
PINX1	PPI
OTUB1	PPI
SUCLG2	PPI
PIWIL1	PPI
DNAJC7	PPI
TRIM56	PPI
UNK	PPI
NACA2	PPI
SIL1	PPI
GSTO2	PPI
AGO3	PPI
AGO4	PPI
ISYNA1	PPI
SMYD2	PPI
CA10	PPI
ATAD3A	PPI
COPG2	PPI
HDAC6	PPI
RPS6KB2	PPI
FTSJ1	PPI
AGO2	PPI
UBQLN1	PPI
STUB1	PPI
DICER1	PPI
MAPRE3	PPI
NOD1	PPI
DYRK1B	PPI
TRAF6	PPI
KCTD3	PPI
CD2AP	PPI
COPG1	PPI
DNMT3A	PPI
AIP	PPI
PSMD9	PPI
PIK3C2A	PPI
PIK3C2B	PPI
IRS4	PPI
RIOK3	PPI
TERT	PPI
POLR3A	PPI
CEP290	PPI
CALU	PPI
AKR1B10	PPI
FKBP6	PPI
FBXO24	PPI
CA11	PPI
EED	PPI
URI1	PPI
ABL1	PPI
EGFR	PPI
GH1	PPI
FN1	PPI
ESR1	PPI
ALDOA	PPI
NR3C1	PPI
HSPB1	PPI
RPN2	PPI
ALDOB	PPI
RPLP0	PPI
PGR	PPI
P4HB	PPI
FES	PPI
ANXA6	PPI
NR3C2	PPI
HSP90AB1	PPI
HSPA1A	PPI
HSPA1B	PPI
GZMB	PPI
AR	PPI
THRA	PPI
BCR	PPI
SRC	PPI
CFTR	PPI
PDIA4	PPI
LCP1	PPI
AKR1B1	PPI
NME1	PPI
RAG1	PPI
VCAM1	PPI
EIF2AK2	PPI
TAF1	PPI
NME2	PPI
MCC	PPI
MSN	PPI
EEF1G	PPI
FKBP2	PPI
ARNT	PPI
CALR	PPI
CANX	PPI
EEF1D	PPI
ECHS1	PPI
HLA-B	PPI
STIP1	PPI
ARRB2	PPI
AHR	PPI
VHL	PPI
HNF4A	PPI
CASP3	PPI
SARS	PPI
MCM2	PPI
HINT1	PPI
IDH3A	PPI
HMGA2	PPI
PPP5C	PPI
CASP7	PPI
SUMO3	PPI
CAV3	PPI
ABCE1	PPI
MAX	PPI
HSPE1	PPI
FKBP1A	PPI
FKBP1B	PPI
GSTO1	PPI
HSF1	PPI
E2F1	PPI
EWSR1	PPI
FKBP4	PPI
PPID	PPI
CHAF1A	PPI
FKBP5	PPI
NACA	PPI
SPTAN1	PPI
IKBKE	PPI
SIM2	PPI
FKBP8	PPI
MESDC2	PPI
HK2	PPI
HK3	PPI
ATXN1	PPI
KRTAP10-3	PPI
KRTAP10-7	PPI
PTGDR	PPI
RARRES3	PPI
CACNA1A	PPI
BCAT2	PPI
SHBG	PPI
CAPN1	PPI
AKT1	PPI
ARR3	PPI
MLH1	PPI
LEP	PPI
CCT7	PPI
HIST1H2AJ	PPI
H2AFJ	PPI
TUBB6	PPI
POLR3C	PPI
ALG12	PPI
TUBB2B	PPI
GNL3	PPI
RIOK2	PPI
ACAT2	PPI
PAPOLG	PPI
MAK16	PPI
NIFK	PPI
GTPBP4	PPI
TBL1XR1	PPI
WDR12	PPI
POLR1E	PPI
SRR	PPI
EIF5A2	PPI
SLC25A31	PPI
TKTL2	PPI
RAB6C	PPI
POLR3F	PPI
ATG5	PPI
PPA2	PPI
PABPC3	PPI
TUBB1	PPI
DHX35	PPI
RPF2	PPI
POLR1B	PPI
GRPEL1	PPI
RPRD1B	PPI
MYO5C	PPI
UTP3	PPI
ACSS2	PPI
SAR1A	PPI
CTPS2	PPI
PAPOLB	PPI
RAB6B	PPI
GLRX2	PPI
SMC4	PPI
OLA1	PPI
ACSS1	PPI
SPTLC3	PPI
GNL3L	PPI
DDX18	PPI
POLR3B	PPI
TUBA8	PPI
CALML5	PPI
LARS	PPI
MORF4L1	PPI
MRTO4	PPI
OGDHL	PPI
INO80	PPI
MYO5B	PPI
CDC14A	PPI
PPIE	PPI
SRRM2	PPI
RUVBL2	PPI
RUVBL1	PPI
VDAC3	PPI
CFL2	PPI
FARSA	PPI
DIS3	PPI
POLR1D	PPI
NOC2L	PPI
TRRAP	PPI
MYO5A	PPI
POLR3H	PPI
SUPT16H	PPI
PCYT1B	PPI
GMPPB	PPI
SAR1B	PPI
TARSL2	PPI
TUBAL3	PPI
EIF4E1B	PPI
AKR1B15	PPI
PSMD11	PPI
DNM1L	PPI
PSMD14	PPI
PES1	PPI
NOP56	PPI
PEX7	PPI
NTN3	PPI
PPP6C	PPI
NME4	PPI
PRMT5	PPI
TNPO2	PPI
XPO1	PPI
PFAS	PPI
KPNA5	PPI
POLR1C	PPI
SPTLC1	PPI
SPTLC2	PPI
PMM2	PPI
DHX15	PPI
PRPF4	PPI
NDUFS4	PPI
PSMD3	PPI
TREH	PPI
PRPF3	PPI
ACTN4	PPI
NARS	PPI
ACSL4	PPI
EIF4E2	PPI
CDC14B	PPI
DKC1	PPI
CLUH	PPI
CS	PPI
RPS6KA5	PPI
MED6	PPI
SNRNP200	PPI
TRAPPC6A	PPI
ATP5H	PPI
CLPX	PPI
ALDH1A2	PPI
GFPT2	PPI
PRPF6	PPI
ACSL3	PPI
POLR1A	PPI
NTN1	PPI
HSPA4L	PPI
NDUFB10	PPI
ALDH1A1	PPI
GLUD1	PPI
SOD1	PPI
OTC	PPI
GOT2	PPI
OAT	PPI
TUBB4A	PPI
GAPDH	PPI
NTRK1	PPI
HIST1H2AB	PPI
APP	PPI
ALDH2	PPI
SLC25A5	PPI
MYL1	PPI
ATP5B	PPI
EIF4E	PPI
ENO1	PPI
PYGL	PPI
GPI	PPI
TUBB	PPI
BPGM	PPI
GALT	PPI
PFKM	PPI
PDHA1	PPI
CYC1	PPI
RPSA	PPI
ENO2	PPI
DLD	PPI
HIST1H2AG	PPI
ATXN1L	PPI
DLAT	PPI
PRKAR1A	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
PYGB	PPI
PYGM	PPI
TOP1	PPI
PC	PPI
MTHFD1	PPI
PABPC1	PPI
SLC25A4	PPI
SLC25A6	PPI
TPR	PPI
ACTN1	PPI
MYH7	PPI
ITGA4	PPI
EEF2	PPI
TPT1	PPI
PLS3	PPI
PRKAR2A	PPI
ENO3	PPI
FDPS	PPI
AKR1A1	PPI
SLC2A4	PPI
DARS	PPI
PGAM2	PPI
ATP6V1B1	PPI
HSPA6	PPI
GOT1	PPI
AKR1C4	PPI
CTPS1	PPI
PFKL	PPI
ERCC2	PPI
ARF4	PPI
PGAM1	PPI
ATP5J	PPI
HK1	PPI
POLR2E	PPI
BTF3	PPI
RAB5A	PPI
RAB6A	PPI
HIST1H2AD	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
GPD1	PPI
VDAC1	PPI
GART	PPI
UBA1	PPI
AHCY	PPI
CFL1	PPI
EEF1B2	PPI
ATP5F1	PPI
ACAT1	PPI
ATP5A1	PPI
DDX6	PPI
TARS	PPI
VARS	PPI
YWHAQ	PPI
CALML3	PPI
RPA1	PPI
CAD	PPI
MAPK1	PPI
TKT	PPI
PDHA2	PPI
PRDX5	PPI
PRDX3	PPI
PDIA3	PPI
PPIF	PPI
ADSL	PPI
ALDH1B1	PPI
GDI1	PPI
MAT2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
RRM2	PPI
ATIC	PPI
YWHAB	PPI
PRDX2	PPI
CTH	PPI
SHMT1	PPI
SHMT2	PPI
HSPA1L	PPI
MPI	PPI
RFC4	PPI
RFC2	PPI
RFC1	PPI
CBS	PPI
GCK	PPI
COPB2	PPI
ACTN2	PPI
GLRX	PPI
ATP5C1	PPI
ATP6V1E1	PPI
PGM1	PPI
DLST	PPI
TALDO1	PPI
ATP6V1A	PPI
HSPA9	PPI
CCT6A	PPI
MDH2	PPI
EIF2S3	PPI
GARS	PPI
IARS	PPI
GPD2	PPI
PSMC4	PPI
ABCG1	PPI
VDAC2	PPI
RANGAP1	PPI
NOP2	PPI
RPS10	PPI
ALDH1A3	PPI
ATP5O	PPI
CCT5	PPI
CSNK1A1	PPI
CSNK1D	PPI
CCT3	PPI
GLUD2	PPI
PCYT1A	PPI
AARS	PPI
CSNK1E	PPI
LIG4	PPI
GDI2	PPI
CCT8	PPI
CCT4	PPI
PAPOLA	PPI
RAB5C	PPI
AKR1D1	PPI
PGD	PPI
KPNA1	PPI
DGKQ	PPI
AKR1C2	PPI
SUCLG1	PPI
CLTCL1	PPI
HSPA2	PPI
BCAT1	PPI
AK2	PPI
HMGCS2	PPI
PSMD4	PPI
CSE1L	PPI
ADK	PPI
SEC13	PPI
SNU13	PPI
NPEPPS	PPI
MARS	PPI
EIF6	PPI
NUP107	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
RAB5B	PPI
ARF3	PPI
NUTF2	PPI
YWHAG	PPI
CALM1	PPI
NCS1	PPI
YWHAE	PPI
ACTA2	PPI
HIST1H4A	PPI
PPIA	PPI
YWHAZ	PPI
EIF5A	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
CCT2	PPI
ARF1	PPI
CYCS	PPI
MAT1A	PPI
SLC25A3	PPI
CLTC	PPI
GALK2	PPI
HMGCS1	PPI
PFKP	PPI
OGDH	PPI
ERCC6	PPI
AKR1C1	PPI
YWHAH	PPI
EEF1A2	PPI
GFPT1	PPI
RAD51	PPI
KCNMA1	PPI
ACACA	PPI
