gene	node_type
PTGES	gene
PTGES2	gene
PTGES3	gene
PTGS2	gene
PTSG1	gene
PTGS1	gene
HPGD	gene
UBC	PPI
HDAC6	PPI
AIP	PPI
TERT	PPI
HSP90AA1	PPI
HSP90AB1	PPI
SRC	PPI
AHR	PPI
VCP	PPI
HSF1	PPI
FKBP4	PPI
TP53	PPI
ELAVL1	PPI
CAV1	PPI
NUCB1	PPI
PTGIS	PPI
NOS1	PPI
NCL	PPI
ZFP36	PPI
ELMO1	PPI
NOS2	PPI
USP22	PPI
ERBB2	PPI
CTNNB1	PPI
MDM2	PPI
AR	PPI
HTT	PPI
HSPA1A	PPI
HSPA1B	PPI
NR3C1	PPI
AGO2	PPI
CELF2	PPI
CASP7	PPI
CASP3	PPI
STIP1	PPI
CAV2	PPI
EP300	PPI
DICER1	PPI
DNMT3A	PPI
COPS7A	PPI
COPS3	PPI
CUL4A	PPI
RBX1	PPI
PSMD1	PPI
KAT2A	PPI
PSMC5	PPI
CUL1	PPI
COPS5	PPI
KAT2B	PPI
ARNT	PPI
AGO4	PPI
ESR1	PPI
EIF2AK2	PPI
PGR	PPI
ARRB2	PPI
NR3C2	PPI
THRA	PPI
COPG2	PPI
COPG1	PPI
PRKCE	PPI
BCR	PPI
HNRNPD	PPI
ABL1	PPI
HSPA4	PPI
HIF1A	PPI
AGO3	PPI
SUMO1	PPI
MAPK3	PPI
FKBP5	PPI
PPP5C	PPI
HNRNPA0	PPI
VIMP	PPI
DERL1	PPI
GZMB	PPI
DNAJC7	PPI
FKBP2	PPI
LRRK2	PPI
STUB1	PPI
H2AFX	PPI
FES	PPI
CHAF1A	PPI
MYC	PPI
ABCE1	PPI
MTNR1B	PPI
HMGA2	PPI
OTUB1	PPI
FAF2	PPI
DLG4	PPI
EGFR	PPI
HSPB1	PPI
EWSR1	PPI
FBXO6	PPI
EXOSC10	PPI
FRMD5	PPI
CFTR	PPI
RPS6KB2	PPI
VCAM1	PPI
PIWIL4	PPI
PIWIL2	PPI
PIWIL1	PPI
TRIM56	PPI
UNK	PPI
FBXO24	PPI
RAG1	PPI
MCM2	PPI
SIM2	PPI
CASK	PPI
NDUFA4	PPI
COQ9	PPI
SUMO2	PPI
NMES1	PPI
STK11	PPI
USP49	PPI
NOD1	PPI
DYRK1B	PPI
IRS4	PPI
POLR3A	PPI
FKBP6	PPI
URI1	PPI
PDIA4	PPI
PPID	PPI
FKBP8	PPI
SMYD2	PPI
UBQLN1	PPI
E2F1	PPI
C1ORF189	PPI
SURF1	PPI
RAD54L	PPI
PINX1	PPI
FTSJ1	PPI
TRAF6	PPI
CD2AP	PPI
EED	PPI
GH1	PPI
FN1	PPI
TAF1	PPI
MCC	PPI
HLA-B	PPI
VHL	PPI
CAV3	PPI
MAX	PPI
IKBKE	PPI
APP	PPI
ECH1	PPI
BIRC3	PPI
BIRC2	PPI
ENDOG	PPI
SHISA2	PPI
PEO1	PPI
SIL1	PPI
KCTD3	PPI
CEP290	PPI
CA11	PPI
HNF4A	PPI
GOLT1B	PPI
DLK1	PPI
EID3	PPI
RGN	PPI
MAPRE1	PPI
FAXC	PPI
SUMO4	PPI
CARM1	PPI
SUCLG2	PPI
NACA2	PPI
GSTO2	PPI
ISYNA1	PPI
CA10	PPI
ATAD3A	PPI
MAPRE3	PPI
PSMD9	PPI
PIK3C2A	PPI
PIK3C2B	PPI
RIOK3	PPI
CALU	PPI
AKR1B10	PPI
ALDOA	PPI
RPN2	PPI
ALDOB	PPI
RPLP0	PPI
P4HB	PPI
ANXA6	PPI
LCP1	PPI
AKR1B1	PPI
NME1	PPI
NME2	PPI
MSN	PPI
EEF1G	PPI
CALR	PPI
CANX	PPI
EEF1D	PPI
ECHS1	PPI
SARS	PPI
HINT1	PPI
IDH3A	PPI
HSPE1	PPI
FKBP1A	PPI
FKBP1B	PPI
GSTO1	PPI
NACA	PPI
SPTAN1	PPI
MESDC2	PPI
SUMO3	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
TXN	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
HSPA5	PPI
LAMC1	PPI
MYH3	PPI
HSPA8	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
