gene	node_type
PTGS2	gene
PTSG1	gene
PTGS1	gene
EPHX3	gene
ALOX5	gene
PTGES	gene
PTGES2	gene
PTGES3	gene
LTA4H	gene
DHRS4L2	gene
CBR3	gene
DHRS4	gene
EPHX1	gene
GGT1	gene
GGT	gene
LTC4S	gene
MTNR1B	PPI
VCP	PPI
PSMC5	PPI
RBX1	PPI
SUMO1	PPI
MDM2	PPI
PRKCE	PPI
NUCB1	PPI
CAV1	PPI
EP300	PPI
HNRNPA0	PPI
CUL1	PPI
CUL4A	PPI
HNRNPD	PPI
ELAVL1	PPI
PTGIS	PPI
LRRK2	PPI
ELMO1	PPI
COPS5	PPI
FAF2	PPI
PSMD1	PPI
VIMP	PPI
DERL1	PPI
COPS7A	PPI
COPS3	PPI
USP22	PPI
CASK	PPI
CELF2	PPI
ERBB2	PPI
TP53	PPI
UBC	PPI
ZFP36	PPI
MAPK3	PPI
NOS1	PPI
HSPA4	PPI
CTNNB1	PPI
NOS2	PPI
CAV2	PPI
DLG4	PPI
FBXO6	PPI
NCL	PPI
PRKACA	PPI
ALOX5AP	PPI
PIK3R1	PPI
MAPKAPK2	PPI
MEOX1	PPI
GRB2	PPI
REL	PPI
CAMK2G	PPI
COTL1	PPI
HHIPL2	PPI
NUTM1	PPI
CEP57L1	PPI
SYCE1	PPI
TGFBRAP1	PPI
CEP63	PPI
DICER1	PPI
MAD1L1	PPI
APP	PPI
YES1	PPI
HCK	PPI
FGR	PPI
GOLT1B	PPI
NDUFA4	PPI
COQ9	PPI
MYC	PPI
H2AFX	PPI
HTT	PPI
SUMO2	PPI
DLK1	PPI
EXOSC10	PPI
ECH1	PPI
BIRC3	PPI
BIRC2	PPI
ENDOG	PPI
C1ORF189	PPI
SHISA2	PPI
EID3	PPI
PEO1	PPI
NMES1	PPI
RGN	PPI
SURF1	PPI
MAPRE1	PPI
STK11	PPI
HIF1A	PPI
FAXC	PPI
SUMO4	PPI
USP49	PPI
PIWIL4	PPI
FRMD5	PPI
CARM1	PPI
PIWIL2	PPI
RAD54L	PPI
KAT2A	PPI
KAT2B	PPI
PINX1	PPI
OTUB1	PPI
SUCLG2	PPI
PIWIL1	PPI
DNAJC7	PPI
TRIM56	PPI
UNK	PPI
NACA2	PPI
SIL1	PPI
GSTO2	PPI
AGO3	PPI
AGO4	PPI
ISYNA1	PPI
SMYD2	PPI
CA10	PPI
ATAD3A	PPI
COPG2	PPI
HDAC6	PPI
RPS6KB2	PPI
FTSJ1	PPI
AGO2	PPI
UBQLN1	PPI
STUB1	PPI
MAPRE3	PPI
NOD1	PPI
DYRK1B	PPI
TRAF6	PPI
KCTD3	PPI
CD2AP	PPI
COPG1	PPI
