gene	node_type
ME2	gene
LDHD	gene
AKR1B1	gene
HAGH	gene
GLO1	gene
HEL-S-74	gene
ACOT12	gene
PC	gene
ME3	gene
ME1	gene
AHCY	PPI
HIST1H2BO	PPI
ATP5A1	PPI
PSMA3	PPI
DDX6	PPI
TARS	PPI
EEF1G	PPI
CAD	PPI
PDHA2	PPI
PKLR	PPI
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
RRM2	PPI
DNAJA1	PPI
ATIC	PPI
STIP1	PPI
PYCR1	PPI
HIST1H2BB	PPI
GCK	PPI
COPB2	PPI
ATP5C1	PPI
ATP6V1A	PPI
HSPA9	PPI
CCT6A	PPI
IARS	PPI
PSMC4	PPI
NSF	PPI
RPS5	PPI
ALDH1A3	PPI
ARCN1	PPI
PSMD8	PPI
PCYT1A	PPI
MCM2	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
IDH3G	PPI
COPB1	PPI
COPA	PPI
HSPA2	PPI
PSMD4	PPI
VCP	PPI
ADK	PPI
NPEPPS	PPI
EIF3B	PPI
HSD17B7	PPI
HIST1H2BD	PPI
ACTB	PPI
PRPS1	PPI
ACTR2	PPI
RPS3A	PPI
ATP6V0D1	PPI
PSMC5	PPI
RPS15A	PPI
YWHAE	PPI
PSMC6	PPI
RAB11A	PPI
ACTA2	PPI
HIST1H4A	PPI
HIST1H2BC	PPI
RPL30	PPI
RPL10A	PPI
RACK1	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
HIST1H3A	PPI
CCT2	PPI
RPL24	PPI
H3F3A	PPI
MAT1A	PPI
GALK2	PPI
PFKP	PPI
EEF1A2	PPI
GFPT1	PPI
PPID	PPI
ACACA	PPI
PSMD2	PPI
EIF3I	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
ICT1	PPI
USP10	PPI
PSMD6	PPI
HIST3H3	PPI
HIST2H2BE	PPI
TUBB8	PPI
PYCRL	PPI
HIST2H2BF	PPI
H3F3C	PPI
TUBA3E	PPI
USP51	PPI
HIST2H3A	PPI
TUBA1A	PPI
RRM2B	PPI
H2BFWT	PPI
HUWE1	PPI
PGAM4	PPI
HIST3H2BB	PPI
ATP6V0D2	PPI
PSMA8	PPI
BRIX1	PPI
IPO4	PPI
DNAJA4	PPI
CCT6B	PPI
GBF1	PPI
GCN1	PPI
KAT2B	PPI
HIST1H2BH	PPI
HIST1H2BA	PPI
PYCR2	PPI
DNAJA3	PPI
PSMD1	PPI
HIST1H4G	PPI
PHB2	PPI
CCT7	PPI
HIST1H2BN	PPI
HIST1H2BM	PPI
HIST1H2BL	PPI
DOHH	PPI
TUBB6	PPI
TUBB2B	PPI
GTPBP4	PPI
SLC25A31	PPI
WNK1	PPI
TUBB1	PPI
WDR76	PPI
XPO5	PPI
TMEM165	PPI
GPN1	PPI
PFDN4	PPI
ACSS2	PPI
SIRT7	PPI
CTPS2	PPI
MDN1	PPI
ACSS1	PPI
ABCF3	PPI
TUBA8	PPI
COPG2	PPI
PSMD13	PPI
USP22	PPI
RUVBL2	PPI
RUVBL1	PPI
USP15	PPI
PCYT1B	PPI
GMPPB	PPI
COPG1	PPI
SIRT4	PPI
DDX49	PPI
TARSL2	PPI
TUBAL3	PPI
WASL	PPI
IPO5	PPI
PSMD14	PPI
PPP6C	PPI
GAPDHS	PPI
PSMA7	PPI
XPO1	PPI
IDH3B	PPI
ACSL4	PPI
RANBP6	PPI
HIST1H2BK	PPI
DNAJA2	PPI
CLUH	PPI
CS	PPI
TADA2A	PPI
EIF3G	PPI
ALDH1A2	PPI
GFPT2	PPI
INMT	PPI
ACSL3	PPI
POLR1A	PPI
ALDH1A1	PPI
TUBB4A	PPI
GAPDH	PPI
ASL	PPI
