gene	node_type
ME2	gene
LDHD	gene
AKR1B1	gene
HAGH	gene
GLO1	gene
HEL-S-74	gene
ACOT12	gene
PC	gene
ME3	gene
ME1	gene
AKR1C4	PPI
AKR1C3	PPI
AKR1D1	PPI
AKR1C2	PPI
AKR1C1	PPI
KCNAB2	PPI
KCNAB1	PPI
KCNAB3	PPI
AKR7A2	PPI
AKR1B10	PPI
AKR7A3	PPI
UBC	PPI
AKR1A1	PPI
HLCS	PPI
CSRP3	PPI
PRMT2	PPI
MDH2	PPI
GOT1	PPI
TRAF4	PPI
SLC25A31	PPI
SLC25A5	PPI
SLC25A4	PPI
SLC25A6	PPI
PRKAR1B	PPI
PRKAR2A	PPI
PRKAR2B	PPI
UBE2N	PPI
PRKAR1A	PPI
PRKCE	PPI
FZR1	PPI
NPEPPS	PPI
SUMO2	PPI
SUMO1	PPI
SUMO3	PPI
SUMO4	PPI
SIRT4	PPI
MAPK3	PPI
MAPK1	PPI
GJA1	PPI
MYOC	PPI
HIST1H4A	PPI
HIST1H4G	PPI
WASL	PPI
PTEN	PPI
CCT6A	PPI
CCT4	PPI
GFPT1	PPI
CCT6B	PPI
GFPT2	PPI
TPR	PPI
FBXO32	PPI
NPM1	PPI
IFIT1	PPI
ATP6V0D1	PPI
ATP6V0D2	PPI
RHOU	PPI
ICT1	PPI
ADRB2	PPI
GCN1	PPI
MDN1	PPI
ABCF3	PPI
CLUH	PPI
SHBG	PPI
PRPF40B	PPI
MARCH6	PPI
PSMD14	PPI
ASB18	PPI
ASB5	PPI
BAG3	PPI
ASB12	PPI
EWSR1	PPI
NEDD4	PPI
PIN1	PPI
NEDD4L	PPI
HECW2	PPI
PRPF40A	PPI
ACACA	PPI
USP10	PPI
ASB9	PPI
ZCCHC13	PPI
CNBP	PPI
E2F4	PPI
EGFR	PPI
CAD	PPI
POLR2B	PPI
MAT2A	PPI
ATP6V1A	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
MAT1A	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBB8	PPI
TUBA3E	PPI
TUBA1A	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
CTPS2	PPI
TUBA8	PPI
RUVBL2	PPI
TUBAL3	PPI
TUBB4A	PPI
GAPDH	PPI
TUBB	PPI
ATP6V1B1	PPI
CTPS1	PPI
TCP1	PPI
ATP6V1B2	PPI
KCNMA1	PPI
HSPA6	PPI
CCT3	PPI
IDH3A	PPI
HSPA2	PPI
PPP2R2B	PPI
IFT88	PPI
HSP90AB1	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HIST1H2BO	PPI
HIST1H2BB	PPI
HIST1H2BD	PPI
HIST1H2BC	PPI
HIST1H3A	PPI
H3F3A	PPI
HIST3H3	PPI
HIST2H2BE	PPI
HIST2H2BF	PPI
H3F3C	PPI
USP51	PPI
HIST2H3A	PPI
H2BFWT	PPI
HIST3H2BB	PPI
HIST1H2BH	PPI
HIST1H2BA	PPI
HIST1H2BN	PPI
HIST1H2BM	PPI
HIST1H2BL	PPI
WDR76	PPI
SIRT7	PPI
USP22	PPI
HIST1H2BK	PPI
HIST1H2BJ	PPI
RBL2	PPI
WDR45B	PPI
TERF2IP	PPI
CLTCL1	PPI
CLTC	PPI
MCM2	PPI
KAT2B	PPI
TADA2A	PPI
MEOX2	PPI
CSNK1D	PPI
FOXP3	PPI
ISG15	PPI
SMAD1	PPI
MED20	PPI
NPHP1	PPI
CARNMT1	PPI
UBE2G2	PPI
DNAJC19	PPI
CDK2	PPI
BIRC3	PPI
BIRC2	PPI
PGLYRP2	PPI
MAP3K7	PPI
ZNF253	PPI
CUL7	PPI
MAP1LC3B	PPI
INMT	PPI
LTA4H	PPI
PAX7	PPI
CWF19L1	PPI
CSMD1	PPI
TXN	PPI
BST2	PPI
MAP3K13	PPI
FOS	PPI
HUWE1	PPI
MRPS25	PPI
RIC1	PPI
PYM1	PPI
CDT1	PPI
PRKCG	PPI
PRKCB	PPI
ATIC	PPI
RAB11A	PPI
WNK1	PPI
USP15	PPI
NTRK1	PPI
RPL6	PPI
DSP	PPI
TFE3	PPI
MCC	PPI
HLA-B	PPI
VHL	PPI
GNAQ	PPI
DST	PPI
IKBKE	PPI
DNAJC11	PPI
IFT172	PPI
TRAF6	PPI
ASNS	PPI
ETFA	PPI
IKBKG	PPI
NFKB1	PPI
CALML3	PPI
CSE1L	PPI
CALM1	PPI
MDM2	PPI
STK3	PPI
NUP93	PPI
CALML6	PPI
CALML5	PPI
STK26	PPI
STK24	PPI
STK25	PPI
XPO1	PPI
MYL1	PPI
SNRPG	PPI
ATP6V1D	PPI
PRKCA	PPI
TARS	PPI
PKLR	PPI
IARS	PPI
PSMD8	PPI
PSMD4	PPI
EIF3B	PPI
PRPS1	PPI
EEF1A1	PPI
EEF1A2	PPI
PSMD2	PPI
PSMA8	PPI
BRIX1	PPI
IPO4	PPI
GBF1	PPI
PSMD1	PPI
