gene	node_type
CAT	gene
CAT	gene
SOD2	gene
SOD1	gene
HEL-S-44	gene
SOD3	gene
NTRK1	PPI
AMY1A	PPI
AMY2A	PPI
APP	PPI
ENO1	PPI
CYC1	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
PCNA	PPI
PKM	PPI
SLC2A4	PPI
JUP	PPI
HSPA6	PPI
NFKB1	PPI
AMY2B	PPI
TAF1	PPI
PPIB	PPI
PSMA1	PPI
MAPK3	PPI
MAPK1	PPI
TKT	PPI
HSPA1L	PPI
MDH2	PPI
ABL2	PPI
NEDD4	PPI
UQCRFS1	PPI
CSNK1D	PPI
MCM2	PPI
EIF2B2	PPI
PEX5	PPI
SMARCA4	PPI
KPNA1	PPI
HSPA2	PPI
RAD23B	PPI
ACTR3	PPI
GNAS	PPI
MRPS25	PPI
PTPN11	PPI
EHHADH	PPI
BIRC3	PPI
BIRC2	PPI
HNRNPD	PPI
KEAP1	PPI
KPNB1	PPI
EZH2	PPI
DDI2	PPI
SUMO4	PPI
DHX57	PPI
USP53	PPI
DDI1	PPI
UPF1	PPI
PGLYRP2	PPI
NEDD4L	PPI
SDF2	PPI
PARK7	PPI
KLF6	PPI
HSD17B10	PPI
HNRNPAB	PPI
SOST	PPI
NTMT1	PPI
MIS12	PPI
TKTL2	PPI
GABARAPL1	PPI
CCDC8	PPI
POLR3F	PPI
RPF2	PPI
ECT2	PPI
MOV10	PPI
SDF2L1	PPI
MYO5C	PPI
PRTFDC1	PPI
TUBA8	PPI
MYO5B	PPI
AKAP8L	PPI
MYO5A	PPI
KPNA5	PPI
CCP110	PPI
MAP3K7	PPI
PEX14	PPI
CS	PPI
KLF7	PPI
ABL1	PPI
ESR1	PPI
TUBB4A	PPI
TP53	PPI
ALDOB	PPI
SLC25A5	PPI
ATP5B	PPI
GPI	PPI
P4HB	PPI
TUBB	PPI
BPGM	PPI
APRT	PPI
GALT	PPI
FH	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
ENO2	PPI
DLD	PPI
HSPD1	PPI
PSKH1	PPI
SLC25A4	PPI
SLC25A6	PPI
TPR	PPI
MYH8	PPI
GYS1	PPI
HSP90B1	PPI
AKR1B1	PPI
PGAM2	PPI
ATP6V1B1	PPI
UCHL3	PPI
H2AFX	PPI
PFKL	PPI
PGAM1	PPI
SDS	PPI
RAB4A	PPI
ATP6V1B2	PPI
VDAC1	PPI
MCC	PPI
AHCY	PPI
ATP5A1	PPI
CAD	PPI
MPG	PPI
PDHA2	PPI
PRDX3	PPI
PPIF	PPI
HLA-B	PPI
GCH1	PPI
POLR2B	PPI
MAT2A	PPI
RRM2	PPI
DNAJA1	PPI
STIP1	PPI
PRDX2	PPI
ATP5C1	PPI
ATP6V1A	PPI
HSPA9	PPI
VHL	PPI
VDAC2	PPI
RPL21	PPI
PSMD8	PPI
CCT3	PPI
PSMB3	PPI
PSMB2	PPI
CCT8	PPI
SMARCA2	PPI
IDH3G	PPI
SUCLG1	PPI
COPA	PPI
CLTCL1	PPI
GYS2	PPI
CSE1L	PPI
VCP	PPI
ACTB	PPI
EIF4A1	PPI
RPS3A	PPI
PSMC5	PPI
ARF6	PPI
ACTA2	PPI
PPIA	PPI
SUMO1	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
MAT1A	PPI
CLTC	PPI
GALK2	PPI
PFKP	PPI
EEF1A2	PPI
SCRN1	PPI
KCNMA1	PPI
PRDM2	PPI
STK4	PPI
ACACA	PPI
PRDX4	PPI
PAK2	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
CAMK1	PPI
IKBKE	PPI
EIF4A2	PPI
GOLGB1	PPI
CAMK4	PPI
TUBB8	PPI
MINOS1	PPI
PNCK	PPI
TUBA3E	PPI
DHRS11	PPI
TUBA1A	PPI
GET4	PPI
RRM2B	PPI
CAMK1D	PPI
UBR2	PPI
PGAM4	PPI
SIRT6	PPI
IPO4	PPI
DNAJA4	PPI
TMEM131	PPI
KAT2B	PPI
ERCC4	PPI
DNAJA3	PPI
SDSL	PPI
CAMK1G	PPI
AGPAT1	PPI
TUBB6	PPI
TUBB2B	PPI
MLST8	PPI
FAM192A	PPI
SLC25A31	PPI
DDX47	PPI
TUBB1	PPI
PIF1	PPI
KIAA1549	PPI
CYP4F12	PPI
USP36	PPI
FTSJ1	PPI
NOL12	PPI
TCEAL9	PPI
TNIK	PPI
PPIE	PPI
RUVBL2	PPI
VDAC3	PPI
ACOT9	PPI
GMPPB	PPI
DYNC1LI1	PPI
TUBAL3	PPI
AURKA	PPI
AGPAT2	PPI
RIPK2	PPI
FOXO3	PPI
IDH3B	PPI
AKR1B10	PPI
SMARCA5	PPI
EIF1B	PPI
DNAJA2	PPI
LSM8	PPI
OTC	PPI
CST4	PPI
CST1	PPI
ALDOA	PPI
GOT2	PPI
MYC	PPI
CRYAB	PPI
ALB	PPI
C4BPA	PPI
OAT	PPI
GAPDH	PPI
CHGB	PPI
ALDH2	PPI
MYL1	PPI
FYN	PPI
EIF4E	PPI
PYGL	PPI
PRSS1	PPI
HEXB	PPI
HSP90AA1	PPI
YES1	PPI
ANXA6	PPI
BCL2	PPI
DLAT	PPI
TXN	PPI
PRKAR1A	PPI
CHGA	PPI
HSPA5	PPI
PYGB	PPI
PYGM	PPI
PC	PPI
MTHFD1	PPI
PABPC1	PPI
EEF2	PPI
PDIA4	PPI
TPT1	PPI
LCP1	PPI
PLS3	PPI
PRKAR2A	PPI
ENO3	PPI
FDPS	PPI
AKR1A1	PPI
DARS	PPI
NME1	PPI
HIVEP1	PPI
PPP3CB	PPI
GOT1	PPI
GJA1	PPI
AKR1C4	PPI
PRKACA	PPI
TCP1	PPI
HK1	PPI
BTF3	PPI
RAB5A	PPI
ATP6V1C1	PPI
AGXT	PPI
UBA1	PPI
NME2	PPI
PRKACG	PPI
PRKACB	PPI
CFL1	PPI
ACAT1	PPI
CCNC	PPI
POLR2A	PPI
DNAJB2	PPI
PTBP1	PPI
TARS	PPI
VARS	PPI
EEF1G	PPI
FKBP2	PPI
CALML3	PPI
CALR	PPI
EEF1D	PPI
PRDX5	PPI
PDIA3	PPI
PPP2R1A	PPI
PPP2R1B	PPI
ALDH1B1	PPI
GDI1	PPI
PRKAR1B	PPI
PRKAR2B	PPI
ATIC	PPI
CTH	PPI
HSPA4	PPI
MPI	PPI
CBS	PPI
GCK	PPI
GLRX	PPI
ATP6V1E1	PPI
PGM1	PPI
FEN1	PPI
EIF2S3	PPI
HNF4A	PPI
GARS	PPI
IARS	PPI
SKIV2L2	PPI
IQGAP1	PPI
ALDH1A3	PPI
PPP3CC	PPI
CCT5	PPI
AARS	PPI
SARS	PPI
HINT1	PPI
IDH3A	PPI
GDI2	PPI
CCT4	PPI
RAB5C	PPI
SSR4	PPI
AKR1D1	PPI
PGD	PPI
NCBP2	PPI
AKR1C2	PPI
BCAT1	PPI
AK2	PPI
HMGCS2	PPI
PSMD4	PPI
NAP1L1	PPI
ADK	PPI
SNU13	PPI
NPEPPS	PPI
GFER	PPI
SUMO3	PPI
DSTN	PPI
RAB5B	PPI
MAX	PPI
SUMO2	PPI
NUTF2	PPI
YWHAG	PPI
RRAS2	PPI
CALM1	PPI
YWHAE	PPI
PPP2CB	PPI
HIST1H4A	PPI
FKBP1A	PPI
RAC1	PPI
DYNLT1	PPI
RPS21	PPI
EIF5A	PPI
RACK1	PPI
PPP2CA	PPI
FKBP1B	PPI
DLG4	PPI
ARF1	PPI
HMGCS1	PPI
EWSR1	PPI
AKR1C1	PPI
SSBP1	PPI
YWHAH	PPI
UBE3A	PPI
GFPT1	PPI
C1QBP	PPI
PPP3CA	PPI
NCBP1	PPI
MYO1E	PPI
PDIA2	PPI
PSMD2	PPI
NME3	PPI
PABPC4	PPI
SQSTM1	PPI
DCTN1	PPI
PLS1	PPI
WTAP	PPI
KARS	PPI
EEA1	PPI
PGM5	PPI
PPA1	PPI
UBE3C	PPI
SF3B4	PPI
RGN	PPI
TAF5	PPI
SMAD2	PPI
UGP2	PPI
P3H1	PPI
PABPC1L	PPI
CEP55	PPI
PABPC1L2A	PPI
RARS2	PPI
HEATR6	PPI
TANGO2	PPI
EIF5AL1	PPI
FAAP20	PPI
SLC27A4	PPI
VPS13C	PPI
HECW1	PPI
RBBP6	PPI
ZC3H18	PPI
THNSL2	PPI
HSCB	PPI
SEPT12	PPI
NUP93	PPI
AADAT	PPI
COMMD1	PPI
ASCC1	PPI
USP38	PPI
ATP6V1C2	PPI
THOC2	PPI
DYNC2LI1	PPI
CALML6	PPI
PRPF31	PPI
SYNE2	PPI
HSPH1	PPI
PRCC	PPI
PMM1	PPI
USP9X	PPI
FBXO32	PPI
ATP6V1E2	PPI
PHF21A	PPI
OPTN	PPI
NMD3	PPI
PABPC5	PPI
AKR1E2	PPI
BTF3L4	PPI
VPS13A	PPI
HIST1H4G	PPI
LGMN	PPI
NAP1L4	PPI
TXN2	PPI
ACO2	PPI
KIFC1	PPI
CCDC94	PPI
ACAT2	PPI
SRRT	PPI
EIF5A2	PPI
KLC2	PPI
PPA2	PPI
PABPC3	PPI
WDR76	PPI
METTL14	PPI
TXNRD2	PPI
ACSS2	PPI
GLRX2	PPI
OLA1	PPI
ACSS1	PPI
RNF19A	PPI
PNPO	PPI
MARCH5	PPI
GAR1	PPI
CALML5	PPI
USP35	PPI
HDAC6	PPI
AMFR	PPI
ZNF346	PPI
PRR12	PPI
NAP1L2	PPI
STUB1	PPI
CFL2	PPI
INVS	PPI
FARSA	PPI
STXBP5L	PPI
REXO2	PPI
TIMM13	PPI
NFS1	PPI
TARSL2	PPI
EIF4E1B	PPI
AKR1B15	PPI
MYO1F	PPI
WWP2	PPI
PSMD14	PPI
NME4	PPI
CCS	PPI
PRMT5	PPI
PPP1R12A	PPI
XPO1	PPI
PFAS	PPI
PMM2	PPI
BCAT2	PPI
ABCC3	PPI
PRPF4	PPI
TREH	PPI
PRPF3	PPI
NARS	PPI
NUDT21	PPI
EIF4E2	PPI
CLUH	PPI
ZPR1	PPI
PDCD6	PPI
CDC45	PPI
SNRNP200	PPI
WDHD1	PPI
ALDH1A2	PPI
GFPT2	PPI
PRPF6	PPI
HSPA4L	PPI
CHEK2	PPI
ALDH1A1	PPI
ATP7B	PPI
ATP7A	PPI
SGTA	PPI
