gene	node_type
DKFZP727E011	gene
CBS	gene
CBSL	gene
AHCY	gene
FGFR2-AHCYL1	gene
AHCYL2	gene
AHCYL1	gene
MTR	gene
MAT2A	gene
MAT1A	gene
DNMT1	gene
DNMT3B	gene
DNMT3A	gene
MARS	gene
MARS2	gene
SCLY	gene
CTH	gene
GGT1	gene
GGT	gene
SEPHS1	gene
SEPHS2	gene
FMO3	gene
FMO5	gene
FMO1	gene
FMO6P	gene
FMO2	gene
FMO4	gene
DKFZP727E011	PPI
GCK	PPI
GLRX	PPI
MAP2K2	PPI
ATP5C1	PPI
ATP6V1E1	PPI
LONP1	PPI
PGM1	PPI
DLST	PPI
ATP6V1A	PPI
HSPA9	PPI
MDH2	PPI
EIF2S3	PPI
HNF4A	PPI
GARS	PPI
IARS	PPI
RBM34	PPI
PSMC4	PPI
VDAC2	PPI
NOP2	PPI
NEDD4	PPI
STT3A	PPI
ALDH1A3	PPI
PSMD8	PPI
CSNK1A1	PPI
CSNK1D	PPI
CCT3	PPI
AARS	PPI
SARS	PPI
CSNK1E	PPI
EIF2B2	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
FXR2	PPI
RAB5C	PPI
SMARCA2	PPI
AKR1D1	PPI
PGD	PPI
KPNA1	PPI
AKR1C2	PPI
PPP5C	PPI
COPA	PPI
CLTCL1	PPI
SEC24C	PPI
PRKAG1	PPI
HSPA2	PPI
BCAT1	PPI
AK2	PPI
GYS2	PPI
HMGCS2	PPI
PSMD4	PPI
CSE1L	PPI
VCP	PPI
NAP1L1	PPI
ADK	PPI
SEC13	PPI
SNU13	PPI
NPEPPS	PPI
SUMO3	PPI
EIF3B	PPI
RRP1	PPI
EIF6	PPI
UBASH3A	PPI
NUP107	PPI
HIST1H2BD	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
RAB5B	PPI
CKS1B	PPI
ACTR2	PPI
ABCE1	PPI
RHOA	PPI
VBP1	PPI
SUMO2	PPI
NUTF2	PPI
PSMC5	PPI
YWHAE	PPI
ETF1	PPI
PPP2CB	PPI
ACTA2	PPI
RHOB	PPI
HIST1H4A	PPI
HIST1H2BC	PPI
RAN	PPI
PPIA	PPI
FKBP1A	PPI
RPS27A	PPI
UBA52	PPI
SUMO1	PPI
SKP1	PPI
EIF5A	PPI
ACTG1	PPI
ACTG2	PPI
UBE2I	PPI
PPP2CA	PPI
CSNK2B	PPI
ACTC1	PPI
EEF1A1	PPI
FKBP1B	PPI
ACTA1	PPI
TUBA1B	PPI
