gene1	gene	score
GLB1	TNFRSF1A	1
GLB1	NEU1	1
GLB1	UBC	1
GLB1	CTSA	1
NEU4	MDFI	1
NEU1	CTSA	1
NEU1	GLB1	1
IMPA1	UBC	1
ST3GAL3	MUC21	1
ST3GAL3	MUC17	1
ST3GAL3	MUC6	1
ST3GAL3	MUC19	1
ST3GAL3	MUC20	1
ST3GAL3	MUC15	1
ST3GAL3	MUC7	1
ST3GAL3	MUC16	1
ST3GAL3	MUCL1	1
ST3GAL3	MUC4	1
ST3GAL3	OMD	1
ST3GAL3	MUC3B	1
ST3GAL3	MUC13	1
ST3GAL3	MUC5B	1
ST3GAL3	MUC12	1
ST3GAL3	KERA	1
ST3GAL3	MUC1	1
ST3GAL3	ACAN	1
ST3GAL3	OGN	1
ST3GAL3	LUM	1
ST3GAL3	PRELP	1
ST3GAL3	MUC5AC	1
ST3GAL3	MUC3A	1
ST3GAL3	MUC2	1
ST3GAL3	FMOD	1
ST6GALNAC4	MUC5B	1
ST6GALNAC4	MUC12	1
ST6GALNAC4	MUC1	1
ST6GALNAC4	MUC5AC	1
ST6GALNAC4	MUC3A	1
ST6GALNAC4	MUC2	1
ST6GALNAC4	MUC21	1
ST6GALNAC4	MUC17	1
ST6GALNAC4	MUC6	1
ST6GALNAC4	MUC19	1
ST6GALNAC4	MUC20	1
ST6GALNAC4	MUC15	1
ST6GALNAC4	MUC7	1
ST6GALNAC4	MUC16	1
ST6GALNAC4	MUCL1	1
ST6GALNAC4	MUC4	1
ST6GALNAC4	MUC3B	1
ST6GALNAC4	MUC13	1
ST3GAL1	MUC21	1
ST3GAL1	MUC17	1
ST3GAL1	MUC6	1
ST3GAL1	MUC19	1
ST3GAL1	MUC20	1
ST3GAL1	MUC15	1
ST3GAL1	MUC7	1
ST3GAL1	MUC16	1
ST3GAL1	MUCL1	1
ST3GAL1	MUC4	1
ST3GAL1	OMD	1
ST3GAL1	MUC3B	1
ST3GAL1	MUC13	1
ST3GAL1	MUC5B	1
ST3GAL1	MUC12	1
ST3GAL1	KERA	1
ST3GAL1	MUC1	1
ST3GAL1	ACAN	1
ST3GAL1	OGN	1
ST3GAL1	LUM	1
ST3GAL1	PRELP	1
ST3GAL1	MUC5AC	1
ST3GAL1	MUC3A	1
ST3GAL1	MUC2	1
ST3GAL1	FMOD	1
ST3GAL2	MUC21	1
ST3GAL2	MUC17	1
ST3GAL2	MUC6	1
ST3GAL2	MUC19	1
ST3GAL2	MUC20	1
ST3GAL2	MUC15	1
ST3GAL2	MUC7	1
ST3GAL2	MUC16	1
ST3GAL2	MUCL1	1
ST3GAL2	MUC4	1
ST3GAL2	OMD	1
ST3GAL2	MUC3B	1
ST3GAL2	MUC13	1
ST3GAL2	MUC5B	1
ST3GAL2	MUC12	1
ST3GAL2	KERA	1
ST3GAL2	MUC1	1
ST3GAL2	ACAN	1
ST3GAL2	OGN	1
ST3GAL2	LUM	1
ST3GAL2	PRELP	1
ST3GAL2	MUC5AC	1
ST3GAL2	MUC3A	1
ST3GAL2	MUC2	1
ST3GAL2	FMOD	1
HEXA	HEXB	1
HEXA	GM2A	1
HEXB	GM2A	1
HEXB	HEXA	1
CDIPT	UBC	1
NEU1	GALNS	0.409
NEU1	KCNA4	0.403
NEU1	KCNA2	0.401
IMPA1	CALB1	0.401
IMPA1	S100B	0.39
GLB1	USP42	0.388
NAGPA	EPS15	0.387
NAGPA	AP2A1	0.385
NEU3	GRB2	0.38
NEU3	NTRK1	0.378
NEU4	NTRK1	0.371
NEU2	NTRK1	0.367
NEU3	CAV1	0.255
CDIPT	PCSK9	0.176
IMPA1	NXF3	0.174
IMPA1	NXF2	0.173
IMPA1	NXF5	0.173
NEU4	RHOXF2	0.17
IMPA1	NXF1	0.17
HEXA	EIF4EBP1	0.167
HEXA	EIF4EBP2	0.167
HEXA	EIF4EBP3	0.167
HEXB	EIF4EBP1	0.167
HEXB	EIF4EBP2	0.167
HEXB	EIF4EBP3	0.167
IMPA2	UBC	0.165
IMPA1	E2F3	0.163
CDIPT	WASF3	0.161
CDIPT	KRT8	0.16
CDIPT	NHSL1	0.16
CDIPT	BRK1	0.16
CDIPT	WASF1	0.16
CDIPT	CYFIP2	0.16
CDIPT	NCKAP1	0.16
CDIPT	WASF2	0.16
GLB1	LGALS3	0.159
IMPA1	SUMO4	0.159
CDIPT	KRT18	0.159
CDIPT	KRT19	0.159
CDIPT	LCP1	0.159
CDIPT	ATP2A2	0.159
CDIPT	DST	0.159
CDIPT	TIMM50	0.159
CDIPT	CYFIP1	0.159
CDIPT	MYO18A	0.159
CDIPT	ABI2	0.159
CDIPT	LIMA1	0.159
CDIPT	PIK3C2A	0.159
GLB1	H2AFX	0.158
IMPA1	SUMO3	0.158
IMPA1	SUMO1	0.158
HEXA	H2AFX	0.158
CDIPT	NOS2	0.157
NEU4	TRIP6	0.156
CDIPT	MMS19	0.156
CDIPT	AGO4	0.156
GLB1	ABCE1	0.155
NEU3	UBC	0.155
HEXB	ABCE1	0.155
NEU4	RBPMS	0.154
NEU1	HDAC5	0.154
HEXB	UBC	0.154
HEXB	VCPKMT	0.154
CDIPT	CLN5	0.154
CDIPT	UBL4A	0.154
NANP	BAG3	0.152
NEU4	DLG4	0.152
IMPA2	CCT6A	0.152
ST6GALNAC4	BAG3	0.152
HEXA	SLC2A4	0.152
HEXB	SLC2A4	0.152
CDIPT	EGFR	0.152
CDIPT	SLC2A4	0.152
GLB1	YPEL5	0.151
NEU1	FBXO6	0.151
IMPA1	CNBP	0.151
IMPA1	ZCCHC13	0.151
IMPA2	CNBP	0.151
