gene	node_type
PMVK	gene
DHCR24	gene
LBR	gene
TM7SF2	gene
PP35	gene
DUS3L	gene
DUS1L	gene
DUS2	gene
DUS4L	gene
TECRL	gene
MVK	gene
NSDHL	gene
ACAT1	gene
ACAT2	gene
ERG1	gene
CYP1A1	gene
CYP2D6	gene
CYP2B6	gene
CYP2C	gene
CYP1B1	gene
CYP19A1	gene
CYP4F8	gene
CYP2C18	gene
CYP2A7	gene
CYP4X1	gene
CYP4Z1	gene
CYP2D7	gene
CYP2S1	gene
CYP4F12	gene
CYP2C8	gene
CYP1A2	gene
CYP4B1	gene
CYP3A5	gene
CYP3A7	gene
CYP2U1	gene
CYP3A43	gene
CYP2F1	gene
CYP2A13	gene
DHDDS	gene
UBIAD1	gene
HMGCR	gene
FDFT1	gene
IDI1	gene
IDI2	gene
EBP	gene
DHCR7	gene
HMGCL	gene
HMGCLL1	gene
MVD	gene
LSS	gene
MLF2	PPI
SLC25A35	PPI
ARL6IP6	PPI
SCNM1	PPI
SLC25A32	PPI
CENPH	PPI
MBD5	PPI
RASGRF2	PPI
MPDU1	PPI
EED	PPI
RGS20	PPI
MYC	PPI
SSB	PPI
UBC	PPI
VCAM1	PPI
TAF1	PPI
MAX	PPI
TBPL1	PPI
PITPNA	PPI
LUZP1	PPI
NEDD1	PPI
FUNDC2	PPI
SLC38A1	PPI
NANOG	PPI
ERAP1	PPI
NDUFA4	PPI
IKBKB	PPI
SIAH2	PPI
COQ9	PPI
NCOR1	PPI
UFL1	PPI
EGFR	PPI
HRAS	PPI
GBA	PPI
TP53	PPI
CISD3	PPI
AR	PPI
UBL4A	PPI
JUP	PPI
ATP2A2	PPI
FBL	PPI
SNCA	PPI
ATP12A	PPI
RAD23A	PPI
ACTA2	PPI
REEP5	PPI
MDM2	PPI
POU5F1	PPI
CKAP5	PPI
CUL7	PPI
CYP51A1	PPI
LRRK2	PPI
TCTN3	PPI
PRPF40B	PPI
TUBA1A	PPI
EVC2	PPI
TMEM17	PPI
FNBP4	PPI
RNF169	PPI
HIPK4	PPI
OTUB1	PPI
TCTN2	PPI
PASK	PPI
SRPK1	PPI
SIGMAR1	PPI
SAV1	PPI
NPHS2	PPI
LUC7L	PPI
UTP3	PPI
LATS2	PPI
TMEM216	PPI
KCND3	PPI
C14ORF1	PPI
AKAP8L	PPI
CAMK2A	PPI
GOLT1B	PPI
PHLDA3	PPI
E2F3	PPI
OBSL1	PPI
PRPF40A	PPI
SC5D	PPI
LATS1	PPI
LMNA	PPI
NTRK1	PPI
JUN	PPI
HSPA1B	PPI
HSPA8	PPI
ATP1A3	PPI
ATP6V1B1	PPI
TCF3	PPI
HSPA6	PPI
PRKACA	PPI
RCC1	PPI
CSNK2A2	PPI
ATP6V1B2	PPI
PRKACG	PPI
PRKACB	PPI
YWHAB	PPI
ARRB2	PPI
HSPA1L	PPI
CTNNB1	PPI
RPL4	PPI
PPP1CC	PPI
CBX5	PPI
YAP1	PPI
CEBPA	PPI
CLK3	PPI
MECP2	PPI
HSPA2	PPI
HSD17B7	PPI
SUMO2	PPI
YWHAG	PPI
PPP1CA	PPI
PPP1CB	PPI
HIST1H4A	PPI
CSNK2A1	PPI
HIST1H3A	PPI
SRPK2	PPI
C1QBP	PPI
STK4	PPI
CBX3	PPI
MAD2L1	PPI
SQLE	PPI
RAP2A	PPI
PXN	PPI
SUZ12	PPI
HECW2	PPI
SEC63	PPI
CLPX	PPI
APP	PPI
HSP90AB1	PPI
CDK2	PPI
SARS	PPI
CDC37	PPI
HJURP	PPI
NEDD4L	PPI
ACTR6	PPI
PAK3	PPI
PAH	PPI
NEDD4	PPI
PAK1	PPI
PAK2	PPI
HSPA4L	PPI
TK1	PPI
EPRS	PPI
HSPA1A	PPI
HSPA4	PPI
CCT6A	PPI
SMN1	PPI
CCT6B	PPI
HSPH1	PPI
NECTIN2	PPI
KAT5	PPI
ADH5	PPI
FANCA	PPI
TUBA3E	PPI
SLC36A4	PPI
SLC36A1	PPI
SCD5	PPI
NUP93	PPI
IPO4	PPI
GCN1	PPI
PIGK	PPI
RAD50	PPI
TNPO1	PPI
REEP6	PPI
ATP6V0B	PPI
HIST1H4G	PPI
EIF3C	PPI
ALG1	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
FARSB	PPI
ACER3	PPI
TUBA8	PPI
ELOVL5	PPI
FARSA	PPI
SRPRB	PPI
TUBAL3	PPI
EIF3CL	PPI
SCD	PPI
TNPO2	PPI
SURF4	PPI
ZMPSTE24	PPI
TUBB4A	PPI
RPN1	PPI
RPLP0	PPI
TUBB	PPI
RPS17	PPI
HSPD1	PPI
TOP2A	PPI
RPL7	PPI
RPL17	PPI
MAT2A	PPI
HSD17B3	PPI
EEF1A1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
MAT1A	PPI
TOP2B	PPI
EEF1A2	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
TMED2	PPI
MSMO1	PPI
SLC35G1	PPI
HSDL1	PPI
TUBB8	PPI
SLC36A2	PPI
SLC36A3	PPI
HSD17B12	PPI
CCDC91	PPI
SPACA4	PPI
BAP1	PPI
SH3YL1	PPI
EIF5A2	PPI
MOV10	PPI
POT1	PPI
NXF1	PPI
GMPPB	PPI
ENO1	PPI
HSPA5	PPI
PKM	PPI
PKLR	PPI
CSNK1D	PPI
TERF1	PPI
RPS20	PPI
EIF5A	PPI
UBE2I	PPI
EWSR1	PPI
RARS2	PPI
FOXI2	PPI
TMED4	PPI
ORMDL3	PPI
HTR3C	PPI
HDAC2	PPI
CDS1	PPI
CCNL2	PPI
SIN3A	PPI
FOXB1	PPI
TMED9	PPI
MDN1	PPI
TMEM30A	PPI
PSMD13	PPI
PSMD14	PPI
HAT1	PPI
XPO1	PPI
ORC5	PPI
ORC4	PPI
CDC45	PPI
IPO7	PPI
HLA-C	PPI
NFKB1	PPI
CAD	PPI
PPP2R1A	PPI
PPP2R1B	PPI
MCM5	PPI
MCM7	PPI
FUS	PPI
ATP6V1A	PPI
MCM2	PPI
TMED10	PPI
FOXG1	PPI
SUMO3	PPI
FOXL2	PPI
ACTB	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
ACTA1	PPI
FOXL1	PPI
ORC2	PPI
HDAC1	PPI
MCM6	PPI
DDX6	PPI
VARS	PPI
EEF1G	PPI
MAPK3	PPI
MAPK1	PPI
MPG	PPI
PDIA3	PPI
PPIF	PPI
HLA-B	PPI
ALDH1B1	PPI
ATIC	PPI
PRDX2	PPI
CTH	PPI
CKS2	PPI
SHMT1	PPI
SHMT2	PPI
MPI	PPI
CBS	PPI
GCK	PPI
PGM1	PPI
MDH2	PPI
GARS	PPI
IARS	PPI
EIF1	PPI
ALDH1A3	PPI
AARS	PPI
IDH3A	PPI
AKR1D1	PPI
PGD	PPI
AKR1C2	PPI
CLTCL1	PPI
BCAT1	PPI
PSMD4	PPI
VCP	PPI
ADK	PPI
NPEPPS	PPI
GABARAPL2	PPI
EIF4A1	PPI
CKS1B	PPI
ABCE1	PPI
RHOA	PPI
HNRNPK	PPI
YWHAE	PPI
CNBP	PPI
RHOB	PPI
PPIA	PPI
SUMO1	PPI
RACK1	PPI
DLG4	PPI
CLTC	PPI
GALK2	PPI
PFKP	PPI
AKR1C1	PPI
PRDX4	PPI
PSMD2	PPI
PABPC4	PPI
EIF3I	PPI
CUL1	PPI
CUL3	PPI
BYSL	PPI
EIF3A	PPI
EIF4A2	PPI
PLS1	PPI
USP10	PPI
FASTKD3	PPI
KARS	PPI
PGM5	PPI
PPA1	PPI
NEDD8	PPI
UGP2	PPI
PABPC1L	PPI
PABPC1L2A	PPI
WDR45B	PPI
SUMO4	PPI
EIF5AL1	PPI
THNSL2	PPI
SEPT12	PPI
D2HGDH	PPI
AADAT	PPI
ZCCHC13	PPI
PRPF31	PPI
COPS5	PPI
PABPC5	PPI
MARS2	PPI
AKR1E2	PPI
CNDP1	PPI
CNDP2	PPI
ACO2	PPI
TRAF4	PPI
UNK	PPI
PPA2	PPI
PABPC3	PPI
ACSS2	PPI
SIRT7	PPI
FBXO6	PPI
OLA1	PPI
ACSS1	PPI
LARS	PPI
TNIK	PPI
PPIE	PPI
HDAC5	PPI
SIRT4	PPI
AKR1B15	PPI
PEX7	PPI
GAPDHS	PPI
PRMT5	PPI
PFAS	PPI
BCAT2	PPI
PRPF4	PPI
PRPF3	PPI
NARS	PPI
RAD21	PPI
AKR1B10	PPI
EIF1B	PPI
CLUH	PPI
CS	PPI
SNRNP200	PPI
EIF3G	PPI
PSMD10	PPI
ALDH1A2	PPI
PRPF6	PPI
ALDH1A1	PPI
SOD1	PPI
OTC	PPI
GOT2	PPI
GH1	PPI
ALDOA	PPI
OAT	PPI
GAPDH	PPI
ASL	PPI
ALDOB	PPI
ALDH2	PPI
PYGL	PPI
GPI	PPI
P4HB	PPI
HSP90AA1	PPI
FH	PPI
RHOC	PPI
PFKM	PPI
ENO2	PPI
PYGB	PPI
PYGM	PPI
PC	PPI
MTHFD1	PPI
PABPC1	PPI
ITGA4	PPI
EEF2	PPI
PDIA4	PPI
LCP1	PPI
PLS3	PPI
ENO3	PPI
FDPS	PPI
AKR1A1	PPI
SLC2A4	PPI
DARS	PPI
GOT1	PPI
AKR1C4	PPI
PFKL	PPI
PSMC3	PPI
HK1	PPI
AGXT	PPI
UBA1	PPI
MCC	PPI
AHCY	PPI
ATG5	PPI
MED20	PPI
FTSJ1	PPI
TRAPPC8	PPI
PRKAB1	PPI
TRAF6	PPI
STX16	PPI
BAG3	PPI
VDAC1	PPI
AKT1	PPI
GNAS	PPI
CCNA1	PPI
LNX1	PPI
MLST8	PPI
CYP17A1	PPI
CYP11A1	PPI
CYP2E1	PPI
LPL	PPI
CYP3A4	PPI
CYP21A2	PPI
CYP2A6	PPI
CYP2C9	PPI
ATF2	PPI
CYP11B1	PPI
CD36	PPI
CYP11B2	PPI
EIF2AK2	PPI
EIF2S2	PPI
MUT	PPI
CYP7A1	PPI
TCEA1	PPI
TPP2	PPI
CSTF2	PPI
CYP2C19	PPI
HPCAL1	PPI
TXLNA	PPI
TSFM	PPI
RECQL	PPI
IQGAP1	PPI
ACADVL	PPI
CYP2J2	PPI
MLLT4	PPI
ETF1	PPI
CYP4F2	PPI
EIF4G2	PPI
GTF2I	PPI
HDLBP	PPI
CYP27A1	PPI
CSTF1	PPI
PTPN11	PPI
PSME1	PPI
CYP24A1	PPI
CYP4F3	PPI
PPP1R8	PPI
CSTF3	PPI
PICALM	PPI
SF3A1	PPI
NFE2L2	PPI
PKN2	PPI
CYP27C1	PPI
CYP4F22	PPI
CYP20A1	PPI
CYP26C1	PPI
CYP2R1	PPI
CYP4V2	PPI
RAVER1	PPI
NUP35	PPI
CYP2W1	PPI
DTD1	PPI
CTNNBL1	PPI
PSMF1	PPI
CMTM5	PPI
ZNF503	PPI
RPRD1A	PPI
QKI	PPI
OSBPL9	PPI
VRK1	PPI
NAA15	PPI
EIF2A	PPI
NAA50	PPI
CYP4F11	PPI
CYP26B1	PPI
FGF21	PPI
RBM12	PPI
CYP39A1	PPI
ADD3	PPI
MCTS1	PPI
HPCAL4	PPI
CYP8B1	PPI
MINPP1	PPI
DIS3	PPI
GSTK1	PPI
CAB39	PPI
SBDS	PPI
TLN1	PPI
CYP46A1	PPI
CYP27B1	PPI
CYP26A1	PPI
SNX3	PPI
SNX2	PPI
USO1	PPI
BRD4	PPI
CLN5	PPI
CYP7B1	PPI
LETM1	PPI
CYB5R3	PPI
POR	PPI
HNF4A	PPI
CYB5A	PPI
SAE1	PPI
HSPB2	PPI
CREB1	PPI
JUND	PPI
RAB38	PPI
DBNL	PPI
SDC2	PPI
PSEN1	PPI
SLC7A2	PPI
AMZ2	PPI
ECSIT	PPI
TMEM260	PPI
ACAD8	PPI
A2M	PPI
APOE	PPI
PPFIA1	PPI
NT5E	PPI
ADAMTSL4	PPI
SOD2	PPI
DNAJB1	PPI
LONP1	PPI
BLMH	PPI
EXOC6	PPI
RIN3	PPI
RNF32	PPI
GABARAPL1	PPI
MAP1LC3A	PPI
MAST1	PPI
PGRMC1	PPI
IFIT3	PPI
DFFA	PPI
HSD11B1	PPI
FMO4	PPI
FMO3	PPI
ACSL1	PPI
ETV5	PPI
FMO5	PPI
BCAP31	PPI
PPP5C	PPI
MESDC2	PPI
CYB5R2	PPI
RDH13	PPI
ATOH8	PPI
ACSL6	PPI
ACSL5	PPI
PGRMC2	PPI
EPHX1	PPI
YWHAZ	PPI
E2F1	PPI
ONECUT1	PPI
HNF1A	PPI
FOXP4	PPI
NUS1	PPI
NAF1	PPI
AGPAT1	PPI
SLC27A6	PPI
SLC27A5	PPI
CDIPT	PPI
SLC27A2	PPI
AGPAT2	PPI
